topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,10,4,1000000,1,1,1000,10,1024,10000,5,29,1.9999348870997211
2,10,2,10,1,1,1000,1000,512,100,5,0,1.9999930898676925
2,1,2,10,10,1,1000,10,512,10000,2,0,1.9999936575198844
4,10,2,1000000,1,0,1,10,1024,100,2,29,0.0029205656786669854
2,1,2,1000000,10,1,1000,10,512,100,2,0,1.9999085984542766
2,10,2,10,1,0,1000,10,512,100,2,29,0.8019248250359342
2,10,2,10,1,0,1000,1000,1024,100,2,0,2.0000619971915246
2,10,2,10,1,1,1000,10,1024,100,5,29,0.2663790524081391
2,1,2,1000000,1,0,1000,1000,512,10000,5,0,0.00011561026330060568
4,10,2,10,1,1,1,10,512,10000,2,29,2.000001444203306
2,10,2,1000000,10,0,1000,1000,512,100,5,29,1.9999384722931035
4,1,2,10,10,0,1000,1000,1024,10000,2,0,0.5363630514966656
2,10,4,1000000,10,0,1000,10,1024,100,5,29,1.9999580442977842
4,10,2,1000000,10,0,1,1000,1024,10000,2,29,0.00036629067609019605
2,1,2,10,10,1,1,10,512,100,5,29,0.1396569338706292
2,1,4,1000000,10,0,1000,10,512,100,2,0,2.000023651000984
4,10,4,10,1,0,1,1000,1024,10000,2,0,0.014428345373080973
4,10,4,10,10,0,1000,10,1024,100,2,29,0.4024389386417901
4,1,4,1000000,1,1,1000,10,512,10000,2,29,1.9998574963771336
4,1,2,1000000,10,1,1000,10,1024,100,2,29,1.999956099172915
4,10,2,10,1,0,1000,10,512,10000,2,29,1.9999398009514682
4,1,2,10,1,1,1000,10,1024,10000,2,0,1.9998938513284614
2,1,4,1000000,1,1,1000,10,512,100,2,0,2.0000359222591975
2,10,2,10,1,0,1,1000,512,10000,5,0,0.014713660675609206
2,10,4,10,1,1,1,10,512,10000,2,29,2.0000030496174266
2,10,2,10,10,0,1,1000,1024,10000,5,29,0.13557328010382386
2,1,4,1000000,10,0,1,10,1024,100,2,29,2.0000337179000476
4,1,2,10,1,0,1000,1000,1024,100,2,29,2.000009179556427
4,10,4,1000000,10,0,1,1000,1024,100,2,29,1.999928504956727
4,10,2,1000000,1,0,1000,10,512,10000,5,0,2.000042801391564
4,1,4,10,1,1,1000,1000,512,10000,2,0,0.7298867927914259
2,10,4,1000000,1,0,1000,1000,512,10000,5,0,0.0009487109735141341
4,1,4,1000000,1,1,1000,1000,1024,10000,5,0,0.00010786547330294775
2,1,2,1000000,10,1,1000,1000,1024,10000,2,0,2.000110811825985
2,1,2,10,10,0,1,1000,512,100,5,0,1.9999680592105165
2,10,4,10,10,1,1000,1000,1024,10000,5,0,0.3285347056591695
2,10,4,1000000,10,1,1,1000,512,10000,2,0,1.9999218544468
2,10,4,1000000,10,1,1000,1000,1024,10000,2,0,2.0000330034876583
4,10,2,1000000,10,0,1,10,1024,100,2,29,1.999997089074746
2,1,4,1000000,10,1,1000,10,512,100,2,29,1.9999404987487708
2,1,2,10,1,0,1000,10,1024,10000,2,0,2.0000165203203504
2,1,2,10,10,1,1,1000,512,100,5,29,2.0000078198293063
2,10,2,1000000,1,1,1000,1000,1024,10000,5,0,0.000192724045695773
4,10,2,1000000,1,1,1,1000,1024,10000,2,0,0.0026942914135120095
2,1,4,10,1,1,1,10,1024,10000,5,29,2.0000141494827064
4,10,2,10,10,1,1000,10,512,100,2,29,0.5244916355555393
2,1,4,1000000,1,1,1000,1000,512,100,2,29,1.9999842873032618
4,10,4,10,1,0,1000,10,512,10000,2,29,1.9999781217116654
4,10,4,10,10,0,1000,10,512,100,2,29,0.4262437798296664
2,10,4,10,10,1,1,10,1024,10000,2,29,2.000072479463164
2,1,2,10,10,1,1,1000,512,10000,5,0,0.14265733569730235
2,1,2,10,10,0,1000,10,1024,10000,2,29,1.9999311039471317
2,1,2,1000000,1,0,1000,1000,512,100,2,0,1.9999512531250827
2,10,4,1000000,10,1,1,10,512,10000,2,0,1.9999223285528356
4,1,4,1000000,10,0,1,1000,512,100,2,0,1.9999662498480781
2,10,4,10,1,0,1000,1000,1024,10000,5,0,0.3027517198921465
4,1,4,1000000,1,1,1000,10,1024,10000,5,0,2.0000128186884782
4,10,2,10,10,0,1000,1000,1024,100,2,0,2.0000781121720763
2,1,2,1000000,1,0,1000,1000,512,100,5,0,1.999971433151675
4,1,4,1000000,10,0,1000,1000,1024,100,2,29,1.9999589201377874
4,10,4,10,10,0,1,10,1024,10000,2,29,1.9998847829536281
4,10,4,1000000,1,1,1000,1000,512,100,2,0,2.0000095184679765
4,10,4,10,1,1,1,10,1024,10000,5,0,2.000145342336037
4,1,2,10,1,1,1000,1000,512,100,5,29,1.999964501764311
2,1,4,10,10,1,1,1000,1024,10000,5,0,0.1373789182641492
4,1,2,10,10,1,1,10,1024,100,2,29,0.14328438041581923
2,1,2,10,10,1,1,1000,512,10000,2,29,0.14960194572353838
2,1,2,1000000,1,0,1000,10,1024,100,5,0,1.9999951073401006
4,10,4,10,1,0,1000,1000,512,100,5,29,2.0000359903031066
2,10,2,10,1,1,1,10,1024,10000,5,29,1.9998783045274546
4,10,4,1000000,1,1,1000,10,512,100,5,0,2.000023294702108
4,1,4,1000000,10,1,1000,10,1024,100,5,29,1.9998435843237683
