WindowSize,CompressionLevel,Performance
24,8,38.644
12,7,5.266
13,6,4.3
22,1,1.586
14,4,2.894
13,7,5.554
22,4,2.748
21,7,15.806
15,3,2.392
17,1,1.612
21,5,7.272
13,9,6.862
15,3,2.392
24,0,1.574
10,7,4.874
14,11,301.078
23,5,7.178
16,8,7.548
18,2,2.094
12,6,3.846
22,6,10.266
10,11,363.346
19,1,1.604
24,11,394.158
11,7,5.078
12,5,3.746
11,5,3.49
24,7,20.228
21,1,1.598
15,7,6.39
17,4,2.848
17,11,307.42
18,10,279.698
16,11,284.296
23,8,37.284
12,9,6.47
18,4,2.824
11,11,343.996
18,1,1.63
14,10,301.488
12,1,1.542
18,8,9.684
12,9,6.47
15,2,1.972
15,10,291.618
21,3,2.512
19,10,258.558
19,0,1.614
10,4,3.02
13,9,6.862
12,9,6.47
10,5,3.306
17,1,1.612
15,2,1.972
18,9,11.954
12,1,1.542
22,11,259.594
22,8,25.432
11,7,5.078
18,8,9.684
15,1,1.52
22,10,256.21
18,5,6.714
22,6,10.266
24,9,108.602
13,11,315.078
11,11,343.996
18,3,2.562
20,3,2.546
12,7,5.266
12,2,1.988
11,5,3.49
23,3,2.478
19,3,2.552
11,0,1.526
24,6,10.176
24,11,394.158
15,3,2.392
24,0,1.574
11,8,5.042
14,1,1.46
10,8,5.046
15,10,291.618
18,1,1.63
15,10,291.618
13,2,1.942
15,7,6.39
17,0,1.606
17,5,5.886
23,8,37.284
14,0,1.472
15,6,5.306
14,9,7.404
12,11,328.552
22,4,2.748
19,11,258.502
13,0,1.514
24,0,1.574
11,7,5.078
16,5,5.392
