WindowSize,CompressionLevel,Performance
10,0,1.662
20,7,12.338
21,5,7.272
10,9,6.246
15,1,1.52
20,6,10.658
24,6,10.176
22,5,7.198
24,8,38.644
13,11,315.078
23,9,63.68
11,3,2.476
21,7,15.806
17,5,5.886
23,0,1.556
17,8,8.454
10,9,6.246
16,10,285.0
23,10,318.954
24,11,394.158
16,0,1.59
24,0,1.574
18,9,11.954
10,4,3.02
16,11,284.296
21,3,2.512
19,5,7.372
16,10,285.0
15,5,5.072
19,6,9.336
23,8,37.284
24,0,1.574
19,6,9.336
16,1,1.598
24,2,2.04
18,7,8.628
22,4,2.748
18,7,8.628
24,0,1.574
22,10,256.21
20,6,10.658
23,7,20.474
13,1,1.514
16,2,2.026
13,4,2.972
20,0,1.63
21,5,7.272
24,11,394.158
16,2,2.026
10,8,5.046
24,4,2.708
21,0,1.604
20,8,14.64
12,10,328.816
14,4,2.894
20,5,7.45
16,10,285.0
20,8,14.64
18,6,7.51
16,11,284.296
22,11,259.594
24,5,7.154
22,4,2.748
12,3,2.426
16,9,9.094
15,0,1.534
22,4,2.748
14,9,7.404
14,4,2.894
15,6,5.306
24,3,2.478
19,1,1.604
22,6,10.266
12,5,3.746
21,1,1.598
22,9,34.292
22,4,2.748
12,0,1.528
14,8,6.086
24,4,2.708
14,9,7.404
23,0,1.556
14,11,301.078
11,3,2.476
10,4,3.02
16,4,2.77
21,9,23.614
14,1,1.46
14,3,2.302
14,6,4.874
24,5,7.154
18,4,2.824
15,9,8.084
10,4,3.02
11,2,1.998
19,0,1.614
18,4,2.824
13,10,313.652
19,7,10.05
18,0,1.628
