WindowSize,CompressionLevel,Performance
12,3,2.426
18,8,9.684
18,8,9.684
16,6,5.77
16,11,284.296
19,6,9.336
18,5,6.714
19,5,7.372
22,9,34.292
21,6,10.46
16,8,7.548
12,1,1.542
15,8,6.738
16,5,5.392
17,9,10.152
21,2,2.06
23,0,1.556
18,3,2.562
16,9,9.094
14,4,2.894
16,9,9.094
14,4,2.894
18,10,279.698
19,1,1.604
21,1,1.598
13,7,5.554
18,10,279.698
13,1,1.514
10,9,6.246
13,4,2.972
13,3,2.37
23,6,10.22
15,9,8.084
20,11,246.08
11,10,343.594
23,5,7.178
19,9,14.048
19,9,14.048
18,8,9.684
24,0,1.574
24,8,38.644
12,3,2.426
16,0,1.59
16,4,2.77
21,10,244.734
15,4,2.834
11,7,5.078
12,11,328.552
22,5,7.198
13,3,2.37
10,2,2.146
21,2,2.06
14,0,1.472
16,2,2.026
10,0,1.662
23,10,318.954
12,9,6.47
18,7,8.628
21,0,1.604
21,0,1.604
18,6,7.51
11,6,3.57
23,5,7.178
22,11,259.594
20,4,2.808
11,6,3.57
11,0,1.526
21,11,244.72
22,4,2.748
10,2,2.146
18,11,279.692
22,9,34.292
11,7,5.078
15,4,2.834
22,9,34.292
19,9,14.048
17,10,307.144
19,1,1.604
10,3,2.616
12,11,328.552
20,11,246.08
24,7,20.228
16,4,2.77
19,4,2.8
10,1,1.666
15,8,6.738
10,8,5.046
17,9,10.152
19,11,258.502
12,0,1.528
12,6,3.846
20,6,10.658
21,0,1.604
22,0,1.596
23,3,2.478
24,7,20.228
15,11,292.192
10,1,1.666
19,0,1.614
16,2,2.026
