new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
4,1,1,1,0,0,0,0,0,1,22.254
3,2,3,0,1,1,1,0,1,1,44.108
2,3,1,1,0,0,1,1,0,0,99.52
1,2,1,1,1,0,1,0,0,0,121.92
3,3,3,1,1,1,1,1,1,1,58.82
1,1,3,0,1,0,1,1,1,1,93.876
2,2,2,0,1,1,0,1,1,0,62.308
3,2,1,0,1,0,0,1,1,1,42.664
4,2,3,1,0,1,1,0,1,0,31.842
4,1,2,1,0,1,1,1,1,0,24.108
2,2,2,0,0,1,1,0,1,0,62.642
2,1,3,1,0,0,0,1,1,0,46.918
3,2,2,1,1,1,1,1,1,0,43.26
1,3,3,0,1,0,0,0,1,1,142.084
3,3,2,1,1,1,0,1,0,0,63.314
3,3,2,1,0,1,1,1,0,1,71.926
3,3,2,0,0,1,0,0,0,1,62.514
3,1,1,1,0,1,1,1,0,1,32.242
2,1,2,0,0,1,1,1,0,0,49.988
3,3,3,1,1,1,1,0,0,0,66.928
2,2,1,1,1,1,0,1,1,1,58.836
2,1,2,1,0,1,0,0,0,0,43.66
4,1,2,1,1,1,0,1,0,1,23.39
2,3,2,0,1,1,1,0,0,0,96.304
4,3,1,0,0,0,1,0,0,0,49.752
3,1,2,0,0,1,1,0,1,0,32.322
3,1,2,0,1,1,1,0,0,0,31.724
4,2,1,1,0,1,1,1,1,1,32.202
1,3,2,0,0,0,1,1,0,0,193.952
2,1,3,1,1,1,1,0,1,1,43.192
2,1,2,1,0,0,1,1,1,0,47.286
4,2,1,1,0,1,0,1,0,0,34.686
3,3,3,0,0,1,1,0,0,0,71.602
1,3,1,0,1,0,0,0,0,1,162.686
3,1,3,0,0,1,0,0,0,1,32.498
1,2,2,1,0,0,0,0,1,1,104.996
4,3,3,0,1,1,1,1,0,1,52.754
4,3,1,0,1,1,0,1,1,1,40.828
1,3,1,1,1,0,0,1,0,0,171.528
3,3,1,0,0,0,0,1,0,1,67.52
2,2,2,0,0,0,0,0,1,0,58.532
4,1,3,0,1,0,0,0,0,1,24.508
1,1,3,0,0,1,1,0,1,0,87.562
1,3,3,0,0,1,0,1,0,1,183.39
4,3,2,0,1,0,0,1,1,1,41.048
3,1,3,0,0,1,0,0,0,1,32.498
4,2,2,1,1,1,1,0,1,0,30.834
4,2,2,1,0,1,0,1,1,1,30.378
2,2,1,0,0,1,0,0,1,1,57.792
3,1,1,0,1,1,1,1,1,0,33.448
4,2,3,0,1,0,0,0,0,0,34.632
2,3,2,0,1,0,0,1,1,1,80.032
3,3,3,1,1,1,1,1,0,1,71.098
4,3,1,1,0,0,1,1,1,1,43.034
4,2,1,1,0,0,1,0,0,1,33.854
3,1,3,1,0,0,0,0,0,0,30.808
2,3,1,1,0,0,0,0,1,0,72.72
2,3,2,0,1,0,0,1,1,1,80.032
1,2,2,1,0,1,0,0,1,0,105.038
4,3,3,1,0,0,1,0,0,1,48.498
3,3,3,0,0,0,0,1,0,1,67.308
3,2,3,1,1,1,1,0,1,0,42.104
3,3,1,0,0,1,0,1,1,0,54.806
3,2,2,0,1,0,1,0,0,0,49.738
2,1,3,1,0,1,1,1,0,0,47.042
3,2,1,0,0,0,0,1,0,1,49.928
3,1,1,0,1,0,1,1,1,1,33.696
2,2,1,1,0,1,0,1,1,1,59.958
3,2,1,0,1,1,0,1,0,0,49.678
2,1,3,0,1,1,1,0,1,1,46.284
1,3,3,0,1,1,0,1,0,1,181.516
1,1,3,1,1,0,0,1,0,1,86.6
2,1,3,0,0,0,1,1,0,1,50.49
1,1,1,0,0,0,0,0,1,0,85.394
3,2,2,1,0,1,0,0,0,0,43.802
4,2,1,1,0,1,1,1,1,0,32.09
4,3,2,1,1,1,0,1,1,1,39.126
4,3,1,1,0,1,0,0,0,1,42.946
2,3,1,0,1,0,0,1,1,1,80.234
4,1,1,1,0,1,1,1,1,0,23.724
1,1,3,1,1,0,0,0,0,1,79.292
2,2,2,0,1,0,1,0,1,1,62.186
3,2,3,1,0,0,0,0,0,0,44.022
1,1,1,1,1,0,0,0,0,1,78.356
4,3,2,1,1,1,0,1,0,0,47.642
2,3,1,1,1,0,0,0,0,1,82.356
2,1,3,0,0,1,1,0,1,0,47.224
3,1,3,0,0,1,0,1,1,0,33.736
3,2,1,1,1,0,1,0,1,1,41.106
3,2,3,1,1,0,1,1,0,0,50.224
3,1,2,1,0,1,0,1,0,1,31.584
3,2,2,0,1,1,1,1,1,0,45.652
2,1,1,0,0,0,1,0,1,1,46.466
1,3,1,0,1,1,0,1,0,0,180.946
3,3,3,0,1,1,0,1,1,1,54.534
1,1,2,0,1,1,1,0,1,0,85.608
2,1,2,1,1,1,0,1,0,0,45.708
3,2,3,1,0,0,1,1,1,1,43.858
1,1,1,0,0,0,0,1,1,0,94.0
3,2,1,1,1,0,0,1,1,0,40.09
