topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,10,2,10,1,1,1000,1000,1024,100,5,29,2.0000474013897986
2,1,2,1000000,10,1,1000,1000,1024,100,2,0,1.9999672002288227
4,10,2,1000000,1,1,1000,1000,512,100,2,0,2.0000363264440923
4,1,2,1000000,10,1,1,10,1024,10000,2,29,2.0000566354820895
2,10,2,10,1,1,1000,10,512,10000,2,29,2.0000069718526494
2,1,4,10,10,1,1000,10,512,100,2,29,0.7955905567231137
2,1,4,10,10,1,1000,1000,1024,10000,2,29,0.7906585299080467
2,10,2,10,1,1,1000,1000,1024,100,2,29,2.000015803372553
2,10,4,10,10,0,1000,10,1024,100,5,0,0.3342218376500434
2,1,2,1000000,10,0,1000,1000,512,100,5,0,1.999972515881922
4,1,4,1000000,10,1,1,1000,512,10000,2,29,0.007152826586474526
2,10,2,1000000,10,0,1000,10,1024,10000,5,0,2.0000145341838755
2,1,4,1000000,1,1,1,10,1024,10000,2,29,1.9999557632632214
2,10,2,10,1,0,1,1000,1024,10000,2,29,0.014750518822518016
2,10,4,10,10,0,1000,10,512,100,5,0,0.32212028849108787
2,10,2,10,1,1,1,10,512,100,2,29,0.014821511722873522
4,10,2,1000000,1,0,1,10,512,10000,2,29,1.99995589327785
4,1,2,1000000,10,1,1,1000,512,10000,2,0,0.005094551981026152
2,10,2,10,10,1,1,10,512,10000,5,29,1.9999471642371376
4,10,4,1000000,1,1,1000,1000,512,100,5,29,1.999983458749927
4,1,4,10,10,0,1000,10,512,100,2,0,0.4851171709532935
2,1,4,10,10,1,1000,1000,512,100,5,29,1.9999758631275455
2,10,2,1000000,1,0,1,1000,512,100,5,29,1.9999787407574292
2,1,2,1000000,10,1,1,1000,1024,10000,2,0,2.000012087967693
2,1,4,10,1,1,1,10,1024,10000,2,29,1.9999435401330012
4,10,4,1000000,1,1,1000,1000,1024,100,5,0,1.9999887863528987
4,10,4,1000000,1,0,1,1000,512,10000,2,0,0.002336790186419343
2,10,4,10,10,0,1000,10,1024,100,5,29,0.32031210366571977
2,10,4,10,1,1,1,10,512,100,5,0,0.014767792578094472
2,10,2,10,1,1,1,10,1024,10000,2,29,2.000043969141631
2,10,4,10,1,1,1000,10,512,100,5,0,0.2952244040291761
4,10,2,10,1,1,1000,1000,1024,10000,5,29,0.20927530324612564
2,1,4,1000000,10,1,1,10,1024,10000,2,0,1.999975125375407
4,10,4,10,1,1,1000,1000,512,100,2,29,1.9999536444005266
2,10,2,10,10,1,1000,10,1024,10000,2,0,2.0000722290696524
4,10,2,10,10,1,1000,1000,1024,100,2,0,2.000097809792617
2,10,2,10,10,0,1000,10,512,100,2,29,0.8034459632826237
2,1,2,1000000,1,0,1000,1000,512,100,2,29,2.0001575321655936
4,1,4,1000000,1,0,1,10,1024,10000,2,29,2.0000618803330834
4,1,4,10,1,1,1000,10,512,100,2,0,0.7147178962717851
2,1,2,1000000,10,0,1000,10,512,100,2,0,2.000018947785335
4,1,4,1000000,1,0,1000,10,512,10000,2,29,2.000012671287516
2,10,2,10,10,0,1,1000,1024,100,2,29,1.9998977212175806
4,1,2,10,10,0,1,1000,1024,10000,2,29,0.14528559051238069
4,1,4,1000000,10,1,1000,1000,1024,10000,5,0,1.999986340258659
4,1,2,1000000,1,1,1,1000,1024,10000,2,0,0.003191561829722188
4,10,2,10,10,1,1000,1000,1024,100,2,29,1.9999997895318835
4,1,4,1000000,10,1,1000,1000,512,10000,5,0,1.9999570882098434
2,10,2,10,10,1,1000,1000,1024,100,2,0,2.0000342743151918
2,10,2,10,1,1,1,1000,1024,100,5,0,1.9999759835036643
4,10,2,10,1,0,1,1000,1024,100,5,29,2.0000727499856823
2,1,2,10,10,1,1,1000,1024,10000,5,29,0.14299074973594203
4,1,2,10,1,0,1000,1000,1024,10000,2,29,0.47843572012125407
2,10,4,10,10,0,1000,10,1024,100,2,0,0.7421539977533662
4,10,2,10,1,1,1,1000,1024,10000,5,29,0.01434171308108942
2,10,2,10,10,0,1000,10,512,100,5,29,0.2805769900502134
2,1,4,1000000,10,0,1,1000,1024,100,2,0,1.9999860219043344
2,1,4,1000000,1,0,1000,1000,512,100,5,29,1.9999778059208697
2,10,4,10,10,1,1000,10,512,100,5,29,0.33828982943213703
2,10,4,1000000,1,0,1000,10,512,100,5,29,9.8582470955928e-05
2,1,4,10,1,0,1,1000,512,100,2,0,1.9999766807282084
4,10,4,10,1,1,1,1000,1024,10000,2,29,0.01466912737895964
4,1,2,10,1,0,1000,10,512,100,2,29,0.47542417124484054
2,1,2,1000000,1,1,1000,10,1024,10000,5,29,1.999955847725313
4,1,2,1000000,10,1,1,10,512,100,2,0,0.006234339354198475
2,1,2,10,1,1,1,1000,512,100,2,29,2.0000064529373662
4,10,4,10,10,1,1000,1000,1024,100,5,29,2.0000164916068184
2,1,4,1000000,10,0,1000,10,512,10000,5,0,1.9999514150466242
4,10,4,10,1,0,1,1000,512,100,5,29,1.999981466835864
2,1,4,1000000,1,0,1000,10,512,10000,2,0,1.9999469656632964
4,10,2,1000000,10,0,1000,1000,512,100,5,0,2.0000015432336995
4,10,4,1000000,10,1,1000,1000,512,100,5,0,1.9999902002800949
2,1,2,10,1,0,1000,10,512,100,5,29,0.2858103015341019
2,1,4,1000000,1,1,1000,1000,512,100,2,0,2.000069207320664
4,10,4,1000000,1,1,1,1000,512,10000,5,29,3.9645063750286304e-05
2,10,2,1000000,1,1,1000,1000,512,100,2,29,1.9999485783698823
4,10,4,1000000,10,1,1000,10,1024,10000,5,0,1.9999920086770964
2,10,4,1000000,10,1,1,10,1024,10000,5,29,2.0000298142529105
2,10,2,10,1,0,1000,1000,1024,10000,5,29,0.2834857017050472
2,10,4,1000000,1,0,1,10,1024,100,2,29,0.0025566562937803516
4,10,4,1000000,10,0,1000,10,512,10000,5,0,1.9999689858134904
2,10,4,10,1,1,1000,1000,512,100,5,0,1.99998912615735
2,10,4,10,1,1,1000,10,512,100,5,0,0.2953193837020351
4,10,4,1000000,10,1,1,1000,512,10000,5,0,0.0003219876629483365
4,10,4,1000000,10,0,1,10,512,100,5,0,8.04243740786223e-05
2,10,4,1000000,1,1,1000,10,1024,10000,2,0,1.999970872802897
4,1,2,10,10,1,1000,1000,512,100,5,0,1.9999955920895036
4,10,4,10,10,0,1,1000,512,10000,5,29,0.07792099251963273
2,1,2,10,1,1,1000,1000,512,10000,2,0,0.8671031695920512
