new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,0,2,0,1,0,1024,9,337.4748
0,2,2,2,0,1,1024,0,337.4748
0,0,1,2,1,0,2048,1,337.4748
1,2,1,0,1,0,1024,1,165.88
1,1,2,1,0,1,512,9,337.4748
1,1,2,2,0,1,2048,9,337.4748
1,2,2,2,0,0,512,5,165.3112
0,2,1,2,1,1,4096,1,337.4748
1,1,1,2,1,0,512,9,337.4748
1,2,1,0,0,0,1024,9,166.3772
0,0,1,0,1,1,512,5,337.4748
1,0,2,0,1,0,1024,9,337.4748
0,2,1,2,1,0,4096,1,337.4748
0,0,2,1,1,1,512,1,337.4748
0,1,1,0,1,0,1024,5,337.4748
1,2,2,0,1,0,2048,5,165.683
0,2,2,2,0,0,1024,9,165.1044
0,1,1,2,0,1,512,0,337.4748
0,2,1,0,0,0,2048,9,167.909
0,0,2,2,1,1,2048,0,165.5004
0,0,2,1,1,0,1024,1,337.4748
1,2,1,0,1,0,4096,0,337.4748
1,0,1,2,0,1,1024,9,337.4748
1,1,1,2,1,1,512,9,337.4748
0,1,1,0,0,1,2048,9,337.4748
0,0,1,0,1,1,4096,5,337.4748
1,0,1,2,1,1,1024,0,337.4748
0,1,2,0,0,0,4096,9,337.4748
0,0,1,1,0,0,1024,0,337.4748
0,1,2,0,1,1,4096,9,337.4748
1,2,2,1,1,0,1024,0,337.4748
0,0,2,1,0,0,2048,0,164.7834
0,2,1,1,0,1,1024,9,337.4748
0,1,1,2,1,0,1024,5,337.4748
0,1,1,0,1,1,4096,5,337.4748
1,0,2,1,0,1,512,1,337.4748
0,1,1,0,1,0,4096,1,337.4748
1,2,1,0,0,0,2048,5,166.5024
1,2,1,2,0,0,1024,9,337.4748
1,1,2,1,1,1,4096,5,337.4748
0,0,2,1,0,0,2048,9,337.4748
0,0,1,1,1,1,2048,0,337.4748
1,1,1,2,0,1,2048,9,337.4748
1,0,1,0,0,1,4096,0,166.5042
1,2,2,0,1,0,512,5,164.5372
0,1,2,2,0,1,1024,0,31.926
1,0,1,1,1,0,4096,5,337.4748
1,0,1,0,0,1,1024,5,337.4748
0,0,1,2,1,0,4096,0,337.4748
1,1,1,0,1,0,512,9,337.4748
1,1,1,1,0,1,2048,0,337.4748
1,0,1,0,0,1,4096,5,337.4748
0,0,1,2,1,0,4096,0,337.4748
0,1,1,0,0,0,1024,1,337.4748
0,2,2,1,0,1,512,5,163.3292
0,0,1,0,1,0,512,1,337.4748
1,2,1,0,0,1,512,9,166.1178
0,0,1,2,0,1,1024,0,337.4748
1,1,1,1,1,1,1024,1,337.4748
0,2,2,2,1,1,2048,9,165.8712
0,0,1,1,1,1,512,1,337.4748
1,2,2,2,0,0,512,1,164.9142
1,2,2,1,1,0,4096,1,167.3408
0,0,2,2,1,1,512,1,337.4748
1,0,1,2,0,0,512,1,337.4748
1,0,2,0,0,0,2048,0,166.4034
1,0,2,2,0,0,512,9,337.4748
1,1,2,1,1,0,4096,0,32.9028
1,1,2,1,0,0,512,0,31.3498
1,0,2,2,1,0,512,5,337.4748
0,0,1,2,1,1,1024,5,337.4748
0,1,2,2,0,0,4096,0,31.4676
0,0,2,2,1,0,512,5,337.4748
1,0,2,0,1,0,512,9,337.4748
0,1,2,2,0,0,512,0,31.1458
1,2,1,2,1,0,2048,9,337.4748
0,0,1,1,0,0,2048,0,337.4748
0,1,1,0,0,0,512,0,32.1214
0,1,2,1,1,1,4096,0,31.9532
0,0,1,0,1,1,1024,5,337.4748
1,2,2,2,1,1,512,1,163.6666
0,0,1,2,1,1,2048,1,337.4748
0,2,1,2,0,0,4096,5,337.4748
1,2,1,0,1,1,2048,1,166.2124
0,1,2,0,1,0,512,1,337.4748
1,0,2,0,1,1,1024,1,337.4748
0,2,2,2,1,0,4096,1,166.4626
0,2,1,0,1,0,1024,5,167.7964
0,1,2,0,1,0,1024,9,337.4748
0,1,1,0,0,0,512,1,337.4748
1,2,2,2,0,1,2048,5,164.538
1,2,2,2,1,1,4096,1,164.7978
1,1,1,0,0,0,2048,1,337.4748
1,2,2,1,0,0,1024,5,164.644
1,2,2,0,1,1,512,0,337.4748
0,1,1,0,0,1,2048,1,337.4748
1,0,2,0,0,1,2048,9,337.4748
1,1,2,2,0,1,4096,5,337.4748
0,2,1,0,1,1,1024,9,165.7104
1,0,2,0,0,1,2048,1,337.4748
