fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,0,0,1,1,128,8,1024,135632.60012307068
1,0,1,1,1,128,2,256,141082.40004860755
1,0,1,0,1,256,32,256,137280.00002788275
0,0,1,1,0,128,2,256,46483.79996654132
0,0,0,1,1,128,8,1024,46358.40003758815
1,0,1,0,1,128,2,1024,135485.60009129732
1,0,0,1,0,128,2,1024,131781.1999281674
1,0,1,1,1,128,8,256,136435.99997651053
1,0,0,0,0,64,2,1024,131859.59997359803
1,1,0,0,0,256,2,4096,133927.59995505158
1,0,0,0,0,256,2,4096,132200.20000917048
0,1,1,1,0,256,2,256,46517.20000529761
1,0,1,1,1,128,32,4096,136977.20001246242
1,1,0,1,1,64,8,1024,125966.19994770741
1,0,1,0,1,256,2,4096,134923.19999701096
0,1,1,0,0,64,8,4096,46121.60013316586
1,0,1,1,0,256,32,4096,138895.19998661728
0,0,1,0,0,64,8,256,46528.79992663784
1,1,1,1,0,64,8,4096,129001.7998553074
1,1,0,0,0,256,2,256,133900.5999717747
1,1,1,0,0,128,2,256,136797.800072511
1,1,1,1,0,128,32,4096,127500.7999421594
0,1,0,1,1,64,32,4096,46490.60002390766
1,0,0,0,0,64,32,1024,135660.39997609262
0,0,1,0,1,256,8,1024,46106.199916500984
1,1,0,1,1,128,32,4096,131405.0000029325
0,1,0,1,0,128,2,256,46584.79997695243
0,1,1,1,1,64,2,4096,46733.40007961395
1,1,0,0,0,256,32,4096,132785.60002524915
1,0,0,0,1,64,8,4096,129471.00007145638
1,1,0,1,1,128,2,256,130922.99999990089
1,0,0,1,0,256,8,256,134239.3999282274
0,1,0,1,1,128,2,4096,46322.39994314892
0,0,1,1,0,128,32,256,46470.99996068418
1,0,1,1,0,256,32,256,140016.79999236733
0,0,0,0,0,128,32,1024,46582.19995636054
1,0,0,0,1,128,32,1024,132768.19992749035
0,0,0,0,1,256,2,1024,46354.19996421287
1,1,1,1,1,128,2,1024,132656.99995235048
0,1,1,1,1,128,8,1024,46970.19991575926
1,1,1,0,0,128,32,1024,132014.59993084625
1,0,1,0,1,128,32,256,134666.40002051555
1,0,0,1,0,256,32,256,135843.99994302294
1,1,1,0,0,64,8,1024,133447.60000608783
0,0,0,0,1,64,32,256,46295.39995265383
1,1,1,0,0,128,8,1024,133603.00008317386
1,1,1,0,0,128,32,4096,128492.59995975699
1,0,0,0,0,256,8,1024,131793.39988928306
1,1,0,1,1,128,2,1024,127180.00001277942
0,0,1,0,0,256,8,4096,46383.39996389751
1,1,1,0,1,64,32,1024,130145.19999175078
1,0,0,0,1,128,8,1024,130543.59996496473
1,1,0,0,1,64,8,1024,134931.80002554003
1,1,1,1,1,64,2,1024,131163.40005012424
0,0,0,1,0,256,8,1024,46393.400097548314
0,0,1,0,0,128,8,256,46139.99997080881
0,1,0,1,0,256,8,256,46658.80001418318
1,0,0,1,0,128,32,256,134485.20004786213
0,0,0,0,0,64,2,1024,47571.00002420373
1,0,1,0,1,256,2,256,135600.20003435074
1,0,1,0,0,256,8,1024,138245.20005239962
0,0,0,1,1,256,2,256,46438.20009297412
0,0,0,0,0,256,8,256,46305.60002641444
1,1,0,0,0,128,8,1024,136314.99998449394
0,0,1,1,1,64,2,256,46643.19996968942
1,1,1,0,0,256,32,4096,131082.0000250093
1,0,0,0,0,64,32,1024,135660.3999866031
0,0,0,0,1,128,32,1024,46299.200045558246
1,0,0,0,0,256,8,4096,135307.40010310092
0,1,0,1,1,256,8,4096,46447.60000697847
1,0,1,0,0,128,2,1024,137218.2000406351
0,0,1,1,1,128,32,1024,46659.60003207753
0,0,0,0,1,64,8,4096,46327.799925902014
0,0,1,1,1,128,2,1024,46692.59998622485
1,1,1,1,1,256,2,1024,129201.20005538373
1,1,1,0,0,256,2,1024,135845.19992344835
0,1,0,0,0,64,2,1024,46111.59998836148
1,1,1,1,1,128,2,4096,131763.60002144155
1,1,0,0,0,64,2,256,132203.80005676544
0,1,1,0,1,64,2,4096,46299.400071215845
0,1,0,0,0,64,2,256,46500.400001950366
1,1,1,0,1,64,32,256,133542.0000626019
0,1,1,0,1,128,8,1024,46188.799898028024
0,1,1,0,1,128,32,1024,46436.79997099551
1,1,0,1,0,128,2,256,135754.40002959874
1,1,1,0,0,256,8,256,131089.200080205
0,1,0,0,1,128,8,256,46673.200053060136
0,0,1,1,0,64,32,4096,46914.0000392554
0,1,1,0,1,256,2,4096,46381.399969259306
1,0,0,1,1,256,32,256,135542.60003847405
1,1,1,0,1,64,2,1024,132269.1999993734
0,0,1,1,1,64,8,1024,46645.6000242467
0,1,0,1,0,128,8,4096,46586.40013958002
0,1,0,0,0,64,32,1024,46223.999963093556
1,1,1,1,1,256,32,4096,132021.19992767513
0,1,1,1,1,256,32,4096,46325.40003190158
0,0,1,1,1,128,32,1024,46659.59999260902
0,0,0,0,1,128,32,256,46035.000040315404
0,1,0,1,1,256,2,256,46319.000082092
1,0,1,1,0,256,32,256,140016.79991182705
