ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,80642.4
1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,86368.2
1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,91391.2
1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,75352.2
0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,72072.2
0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,86022.6
1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,79438.6
0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,79172.6
1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,85499.0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,77402.0
1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,97786.6
1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,62121.0
1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,90125.6
1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,92892.4
0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,71838.4
0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,72048.8
0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,82039.0
1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,64362.4
1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,73187.4
1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,74195.6
0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,71660.0
0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,80661.6
1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,67680.0
0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,83799.2
1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,65951.2
0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,84024.4
0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,69098.8
0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,88367.0
0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,67096.0
1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,74393.8
1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,90636.6
1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,81349.0
0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,77180.0
0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,67615.2
1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,80980.6
0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,63726.6
0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,74753.2
1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,84851.0
0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,71719.6
0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,67907.2
1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,75565.0
1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,65940.0
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,63590.2
0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,88372.8
0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,95785.4
1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,71177.0
0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,83009.6
0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,67102.4
1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,81072.8
1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,66077.0
0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,80589.8
0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,93430.4
0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,76766.6
0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,61093.0
1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,87083.4
0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,68052.2
0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,72776.8
0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,71618.6
0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,82745.8
0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,75352.4
1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,91218.8
0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,61299.8
