topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,10,2,1000000,10,0,1000,10,1024,100,5,0,1.9999319785913283
2,1,4,10,10,0,1000,10,512,10000,5,29,1.999941091559501
4,10,4,1000000,1,1,1000,1000,1024,10000,2,29,0.0004833544347192138
2,1,4,10,1,1,1,10,512,100,5,0,0.014698424441428671
2,1,4,1000000,10,1,1,1000,512,100,5,0,2.000023907487884
4,10,4,10,1,1,1,1000,1024,100,5,29,2.0000546011888196
4,1,2,1000000,1,1,1,1000,512,100,5,0,1.9999772842691483
2,10,4,10,10,0,1000,10,512,10000,5,0,1.9999178329891656
2,10,2,1000000,1,1,1000,10,512,10000,5,0,2.000017754375351
2,1,2,10,10,1,1,1000,512,100,2,29,2.000028965621127
4,1,4,10,1,0,1,1000,512,10000,5,29,0.014661314120100919
4,10,4,10,10,1,1000,1000,512,10000,2,29,0.4038299011488944
2,10,4,10,10,1,1000,10,512,10000,2,29,2.000028393634668
4,1,2,10,10,1,1,1000,512,10000,2,0,0.14527002584287274
2,1,4,1000000,10,1,1000,10,512,10000,2,29,1.99994901091154
4,1,2,1000000,1,1,1,10,1024,10000,2,29,2.0000423889656465
4,1,2,10,1,1,1,1000,512,100,2,0,1.9999990885969143
2,10,4,1000000,1,1,1000,1000,512,10000,2,0,1.9999778754405797
2,1,4,10,10,0,1,1000,1024,100,5,29,2.0000667581605596
4,1,4,1000000,1,0,1000,10,1024,100,5,0,0.00014830758131040503
4,10,4,1000000,10,0,1000,10,1024,10000,5,29,1.9999787415745391
2,10,2,1000000,1,1,1000,10,1024,10000,5,0,1.9999576973512052
2,10,2,1000000,1,0,1000,10,1024,100,2,29,0.00010460723339049855
2,1,4,1000000,1,0,1,1000,1024,100,2,29,1.9999011463816376
