WindowSize,CompressionLevel,Performance
19,11,258.502
18,6,7.51
17,7,7.636
11,11,343.996
10,11,363.346
17,5,5.886
15,7,6.39
23,7,20.474
14,1,1.46
15,10,291.618
18,5,6.714
22,10,256.21
18,11,279.692
13,8,5.62
20,9,17.4
13,10,313.652
24,5,7.154
13,4,2.972
11,4,3.04
22,2,2.05
21,9,23.614
14,7,5.896
13,10,313.652
19,2,2.1
11,2,1.998
19,6,9.336
24,4,2.708
12,1,1.542
20,7,12.338
15,6,5.306
21,1,1.598
20,4,2.808
11,11,343.996
20,0,1.63
22,6,10.266
24,10,392.744
13,3,2.37
17,6,6.34
21,2,2.06
23,7,20.474
23,0,1.556
17,10,307.144
23,0,1.556
16,2,2.026
21,2,2.06
12,9,6.47
12,5,3.746
13,8,5.62
15,6,5.306
13,5,4.128
20,1,1.636
11,2,1.998
16,5,5.392
23,4,2.726
19,5,7.372
14,0,1.472
11,8,5.042
18,2,2.094
24,6,10.176
15,6,5.306
16,4,2.77
21,10,244.734
21,1,1.598
21,7,15.806
16,2,2.026
18,7,8.628
15,5,5.072
23,7,20.474
20,8,14.64
16,1,1.598
12,9,6.47
15,10,291.618
11,2,1.998
11,11,343.996
24,6,10.176
18,1,1.63
22,3,2.5
19,0,1.614
12,9,6.47
22,0,1.596
16,8,7.548
18,11,279.692
20,5,7.45
14,8,6.086
10,4,3.02
24,1,1.57
11,9,6.286
21,3,2.512
14,4,2.894
16,2,2.026
14,10,301.488
10,0,1.662
19,9,14.048
13,6,4.3
14,5,4.678
19,6,9.336
23,9,63.68
10,11,363.346
12,5,3.746
14,2,1.9
