WindowSize,CompressionLevel,Performance
14,11,301.078
15,10,291.618
12,11,328.552
18,3,2.562
14,6,4.874
24,0,1.574
17,4,2.848
17,7,7.636
21,4,2.768
23,8,37.284
19,2,2.1
19,6,9.336
21,3,2.512
15,2,1.972
15,3,2.392
22,7,19.626
10,11,363.346
22,10,256.21
24,6,10.176
16,10,285.0
17,2,2.102
10,7,4.874
18,8,9.684
21,9,23.614
16,8,7.548
19,7,10.05
24,4,2.708
18,9,11.954
22,10,256.21
19,6,9.336
18,0,1.628
15,10,291.618
23,10,318.954
16,5,5.392
20,0,1.63
15,1,1.52
21,6,10.46
24,9,108.602
12,9,6.47
12,8,5.318
10,1,1.666
24,8,38.644
19,8,11.508
17,9,10.152
12,5,3.746
18,2,2.094
23,10,318.954
18,7,8.628
23,5,7.178
19,2,2.1
20,2,2.088
15,9,8.084
23,5,7.178
22,11,259.594
16,10,285.0
12,1,1.542
17,9,10.152
23,10,318.954
24,3,2.478
12,11,328.552
24,7,20.228
24,6,10.176
21,10,244.734
15,3,2.392
11,0,1.526
17,5,5.886
19,0,1.614
15,7,6.39
11,8,5.042
13,5,4.128
17,6,6.34
16,2,2.026
17,9,10.152
13,0,1.514
23,3,2.478
19,11,258.502
21,4,2.768
11,11,343.996
24,3,2.478
22,6,10.266
24,1,1.57
18,7,8.628
21,5,7.272
18,3,2.562
16,2,2.026
17,6,6.34
13,7,5.554
19,7,10.05
17,1,1.612
20,0,1.63
23,10,318.954
12,4,3.004
17,8,8.454
21,1,1.598
13,11,315.078
19,1,1.604
12,11,328.552
20,2,2.088
10,5,3.306
16,11,284.296
