new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,2,2,0,1,1,0,1,0,1,71.19
1,2,1,1,0,0,1,1,1,0,118.782
1,1,1,1,1,0,1,1,1,1,87.112
4,1,2,1,1,1,1,1,1,1,23.47
4,3,1,0,1,1,0,1,1,0,40.784
1,2,3,0,1,1,0,1,1,0,118.158
1,2,3,0,1,0,0,1,1,0,118.192
3,1,3,0,0,1,1,0,1,1,32.66
4,3,2,0,0,1,0,0,1,1,38.966
1,2,1,0,0,1,1,0,1,1,117.018
3,3,3,1,0,0,0,0,1,0,50.856
1,1,2,1,0,0,0,1,1,1,88.924
1,2,2,1,0,0,1,0,1,1,112.63
4,2,3,1,0,1,1,1,0,0,36.124
4,3,2,0,1,1,1,1,0,0,52.758
3,1,2,1,1,1,1,0,0,1,29.398
3,1,2,0,1,1,0,1,0,0,33.206
1,1,1,0,0,1,1,1,0,0,95.088
1,2,1,1,0,0,0,1,1,0,112.992
3,2,3,1,1,1,0,1,1,1,40.266
4,3,3,0,1,0,0,0,1,0,39.904
3,3,3,1,0,1,1,1,1,1,59.254
3,3,1,1,0,0,1,1,1,1,59.066
3,1,1,1,0,0,1,1,1,1,32.156
4,1,1,0,1,0,0,1,0,0,24.874
2,2,2,0,0,0,0,0,1,0,58.532
2,1,3,0,0,1,1,1,1,1,50.644
3,3,2,1,1,1,1,0,1,0,56.482
1,1,2,1,1,0,0,1,0,0,86.292
4,2,2,1,0,1,1,1,1,0,31.878
4,3,1,0,1,1,1,0,0,0,48.892
2,3,3,0,1,1,0,1,0,1,95.62
1,3,3,0,0,0,1,0,1,0,156.848
2,2,3,1,0,0,0,0,0,0,62.928
4,3,2,0,0,1,0,0,0,0,46.236
2,2,3,0,1,0,0,1,1,1,62.3
1,1,2,1,0,0,0,0,1,1,81.4
4,2,2,0,0,1,1,0,1,0,32.436
2,1,3,1,0,1,1,0,0,0,44.616
1,3,1,0,0,1,0,0,1,0,141.752
4,3,2,1,1,1,1,1,1,1,43.26
4,2,1,1,1,1,1,1,0,0,35.556
3,1,2,0,1,0,0,1,1,1,33.268
2,1,3,0,1,1,1,1,1,0,49.524
2,2,1,1,0,1,0,1,0,1,67.912
1,3,1,1,1,0,0,1,0,1,171.77
1,3,2,0,1,1,1,1,1,0,163.91
3,3,1,0,0,1,1,1,0,1,75.458
3,3,1,0,0,0,1,0,1,0,58.76
3,2,3,0,1,1,1,0,0,1,50.236
3,3,3,1,0,1,0,0,1,1,50.262
3,3,3,1,1,1,0,0,0,0,58.846
1,3,3,0,0,0,1,0,0,0,181.204
2,3,3,0,1,1,0,1,1,1,80.148
3,2,3,1,0,1,0,0,0,0,44.274
1,1,1,1,1,0,1,0,1,1,79.442
2,2,1,0,0,1,1,1,1,0,66.368
2,1,1,0,0,0,1,1,0,0,50.154
2,3,3,1,0,1,0,1,1,1,77.566
2,1,2,1,0,0,1,1,0,0,47.016
4,3,1,1,0,0,0,1,1,0,39.528
1,3,3,0,1,1,0,0,0,0,165.164
2,3,2,0,1,1,1,1,0,0,103.458
2,2,1,0,0,1,1,1,0,1,75.83
1,3,2,1,0,1,0,1,1,0,147.438
2,1,2,1,0,0,1,1,1,1,47.366
3,2,2,0,1,0,1,1,0,0,53.476
1,2,1,1,0,0,1,1,1,0,118.782
3,3,2,1,1,1,1,1,1,0,58.854
1,1,3,0,0,1,0,0,1,0,86.902
4,1,3,1,0,1,1,1,1,1,24.574
3,1,2,1,0,1,0,1,0,0,31.382
4,2,2,1,1,1,1,1,1,1,31.816
4,1,3,1,0,1,1,0,0,1,23.896
4,3,2,0,1,0,1,1,1,0,44.456
4,2,2,0,0,0,0,0,0,0,34.18
1,2,1,0,0,1,0,1,0,0,135.368
4,3,3,0,0,0,1,1,0,1,53.14
4,2,3,0,1,0,1,0,1,0,32.838
2,1,2,1,0,0,1,0,0,1,44.536
2,3,3,1,1,1,1,0,0,0,92.482
1,3,3,0,0,0,0,0,0,0,166.532
4,1,3,0,1,0,1,0,1,0,24.83
1,2,1,0,1,0,1,0,1,0,115.976
1,2,1,0,1,0,1,1,1,1,124.938
1,1,1,0,1,0,0,1,1,0,92.746
1,3,2,0,1,0,1,0,0,1,178.316
3,2,1,1,1,0,1,0,0,0,46.338
3,2,1,0,0,1,1,0,1,1,43.634
1,1,3,1,0,0,1,1,0,0,88.782
1,2,1,1,0,0,1,0,1,1,112.572
3,1,1,1,1,1,0,0,1,1,28.656
3,2,3,1,1,0,1,0,1,1,41.866
1,2,2,1,1,1,0,0,1,0,103.938
4,3,1,0,0,0,0,0,0,0,45.526
2,3,2,1,0,1,0,1,1,0,77.282
2,1,1,1,0,1,1,0,1,1,43.84
4,1,3,0,0,0,1,0,0,1,25.094
3,1,2,0,1,0,0,1,0,0,33.082
4,2,1,1,0,0,1,1,0,1,36.142
