WindowSize,CompressionLevel,Performance
24,1,1.57
16,5,5.392
18,10,279.698
21,4,2.768
15,9,8.084
16,7,6.998
14,1,1.46
11,6,3.57
19,4,2.8
21,5,7.272
19,6,9.336
21,7,15.806
10,4,3.02
10,10,363.364
17,3,2.564
14,6,4.874
19,10,258.558
15,11,292.192
12,1,1.542
19,3,2.552
17,11,307.42
21,9,23.614
13,11,315.078
20,8,14.64
10,1,1.666
10,8,5.046
16,4,2.77
19,6,9.336
22,3,2.5
17,5,5.886
17,3,2.564
24,5,7.154
23,0,1.556
10,3,2.616
11,9,6.286
15,11,292.192
15,9,8.084
18,11,279.692
21,1,1.598
16,5,5.392
17,8,8.454
17,5,5.886
21,7,15.806
18,2,2.094
12,10,328.816
15,0,1.534
21,8,18.874
10,11,363.346
17,11,307.42
23,8,37.284
17,7,7.636
20,2,2.088
24,10,392.744
20,0,1.63
23,7,20.474
23,5,7.178
15,1,1.52
16,4,2.77
21,5,7.272
18,2,2.094
20,10,246.512
23,9,63.68
15,11,292.192
13,5,4.128
16,10,285.0
13,10,313.652
19,1,1.604
11,11,343.996
21,0,1.604
17,0,1.606
17,10,307.144
10,6,3.386
12,3,2.426
20,11,246.08
21,8,18.874
15,6,5.306
23,3,2.478
19,0,1.614
18,3,2.562
18,0,1.628
10,3,2.616
19,4,2.8
21,3,2.512
10,4,3.02
13,11,315.078
20,7,12.338
18,7,8.628
24,10,392.744
16,3,2.508
18,8,9.684
15,3,2.392
18,1,1.63
19,2,2.1
19,11,258.502
14,7,5.896
11,11,343.996
11,5,3.49
11,3,2.476
23,2,2.032
12,2,1.988
