new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
3,1,1,1,1,0,1,1,0,1,31.29
3,2,1,1,0,1,0,0,0,1,42.802
3,2,3,0,0,1,0,0,0,0,46.868
2,2,3,0,0,0,1,0,1,0,63.374
3,1,2,1,0,1,0,1,1,1,31.712
3,1,2,1,0,1,0,0,0,1,29.96
3,3,2,1,0,0,0,0,1,0,50.36
2,3,2,0,1,1,0,1,0,1,95.614
1,3,3,0,1,1,1,0,1,0,155.944
3,3,1,1,0,0,1,1,0,0,71.584
2,1,3,1,0,1,1,1,0,1,47.506
2,2,3,1,1,0,0,0,0,1,61.282
4,3,1,1,1,0,1,0,1,0,40.818
4,1,1,1,0,0,0,0,0,0,22.312
2,1,2,1,0,0,0,0,1,1,43.662
1,1,3,1,0,0,0,1,1,1,88.844
4,3,3,1,0,1,0,0,1,0,38.576
4,2,2,1,0,1,0,0,1,1,28.906
2,3,2,0,1,0,1,0,1,1,83.486
1,3,1,0,1,1,0,1,1,1,152.758
3,1,1,1,1,1,0,1,1,0,30.814
2,2,1,1,0,1,0,0,1,0,55.688
4,1,1,0,1,1,0,0,1,1,23.274
2,2,2,1,1,1,0,1,1,0,58.706
2,2,1,0,0,1,0,0,0,1,65.37
1,2,1,0,0,1,0,0,1,1,109.242
3,2,1,0,1,1,1,0,0,1,49.204
3,1,2,0,1,0,1,0,0,0,31.684
1,1,3,1,0,0,1,0,0,1,82.914
2,2,3,0,0,1,0,1,0,0,71.474
1,3,2,0,0,0,0,1,0,1,182.374
1,2,3,1,1,0,1,1,1,1,117.948
2,2,2,0,1,0,0,1,1,0,62.17
4,3,2,1,1,1,1,0,1,0,41.46
3,1,3,1,0,1,0,0,0,0,30.83
4,1,3,0,0,0,1,1,0,0,25.25
1,1,1,0,0,0,0,1,1,0,94.0
3,1,3,0,0,1,1,1,0,1,34.214
4,2,1,0,1,1,0,0,0,1,33.15
3,3,1,1,0,1,1,0,0,1,66.864
3,3,3,0,1,0,1,0,0,1,69.816
1,1,3,1,0,0,1,1,1,1,89.246
3,1,1,0,1,1,0,0,0,0,30.642
1,3,2,1,1,1,1,0,0,0,171.186
2,2,2,0,0,0,1,1,0,0,75.428
4,1,1,0,1,1,0,0,0,0,23.266
3,2,3,1,0,0,0,1,1,0,40.768
3,2,3,1,1,1,0,0,0,1,43.238
2,3,2,0,1,0,0,1,1,1,80.032
3,1,1,0,1,1,0,0,0,0,30.642
2,3,2,1,1,1,0,0,0,0,83.402
4,1,2,0,0,0,1,0,1,0,24.514
2,2,3,0,1,1,0,0,1,1,58.384
2,2,2,0,1,0,0,0,0,0,64.772
1,3,1,1,1,1,0,0,1,0,135.598
3,2,3,0,1,1,0,0,1,1,40.426
1,2,3,1,0,0,0,0,1,1,105.396
2,1,3,1,0,0,0,1,0,1,47.06
2,3,3,0,0,1,1,1,0,1,104.798
3,3,1,1,1,1,1,0,0,1,66.204
1,1,1,0,1,0,1,1,0,0,93.512
1,1,2,1,1,1,0,1,0,1,86.594
4,3,1,1,1,0,1,0,0,1,46.604
4,3,2,1,0,1,1,0,1,1,41.794
4,3,1,0,0,0,1,0,1,0,42.788
3,3,3,1,0,1,0,1,0,0,64.01
3,3,1,1,1,1,1,0,0,1,66.204
1,3,3,1,1,0,0,0,0,1,156.34
1,2,3,1,0,1,1,1,1,0,118.872
3,2,2,0,1,1,1,1,1,0,45.652
3,3,1,1,1,1,1,1,0,0,71.014
3,2,2,1,0,0,0,1,1,0,40.642
1,2,1,1,0,1,1,1,0,1,134.874
2,3,2,0,1,0,1,1,1,1,87.546
1,2,3,0,0,0,0,0,0,0,123.562
3,2,1,0,1,0,0,1,0,0,49.254
2,3,1,1,0,0,0,0,0,1,83.266
1,2,3,1,0,0,1,0,1,1,112.892
1,2,2,0,1,0,1,0,1,1,116.534
1,1,2,1,1,0,1,0,0,1,79.856
3,2,1,0,1,1,1,1,1,0,45.818
4,3,2,0,1,1,0,0,1,1,38.94
3,3,2,1,1,0,1,0,0,1,66.4
4,1,2,1,0,1,0,0,1,1,23.018
2,3,1,1,1,1,0,0,1,0,71.512
2,1,2,1,0,0,0,0,1,0,43.346
3,3,2,0,1,0,0,1,0,1,66.854
2,1,1,1,0,1,1,1,1,0,46.894
2,3,2,1,1,1,1,1,0,1,98.686
1,2,1,1,1,1,0,1,1,0,111.684
1,2,2,0,1,0,0,0,1,1,108.868
2,2,3,0,1,1,1,1,1,1,66.036
4,2,1,1,1,0,1,1,0,1,35.806
3,2,2,1,1,0,1,0,0,1,46.864
1,3,2,0,0,0,1,0,0,0,180.764
3,1,2,1,1,1,0,0,0,0,29.544
1,2,2,1,1,0,0,1,0,0,125.714
2,2,1,1,0,0,1,0,0,1,66.022
1,2,3,1,0,0,1,1,1,1,119.416
4,3,2,1,0,0,0,1,1,0,39.67
