topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,10,2,10,10,1,1000,1000,512,100,5,0,2.000026285877116
2,1,2,1000000,1,1,1,10,512,100,2,0,0.001329610350936561
4,10,2,1000000,1,0,1,10,512,100,5,29,0.0008731732456381323
4,1,4,1000000,1,1,1,1000,1024,10000,2,0,0.0018845177782990119
2,10,4,10,10,0,1,10,1024,10000,5,0,1.9999878255132113
4,1,2,1000000,10,0,1000,1000,1024,10000,2,29,2.000063386477911
2,1,2,1000000,1,0,1000,10,512,100,2,0,1.9999686856818337
4,1,4,10,1,0,1,1000,1024,100,5,0,1.999966546322528
2,10,4,1000000,10,0,1000,10,1024,100,2,29,2.000052800677683
2,10,2,1000000,1,0,1000,10,1024,10000,5,29,2.000079383004577
2,10,2,1000000,10,1,1,10,512,10000,2,0,2.0000487299501883
4,1,4,1000000,10,0,1,1000,512,100,2,0,2.0001341014100302
2,10,2,10,10,0,1,10,512,100,2,0,0.14943496738252474
2,10,4,1000000,10,0,1,1000,1024,100,2,0,2.0000676216082662
2,1,2,1000000,10,1,1,1000,512,100,5,0,1.9998188919927937
2,10,4,10,1,0,1,10,512,10000,5,0,1.9998774013893825
2,10,4,10,1,0,1000,1000,1024,100,5,29,1.9999354295624852
4,1,4,1000000,10,1,1000,10,512,10000,5,0,2.0000094137089968
2,1,4,1000000,10,1,1000,1000,1024,100,2,29,2.0000202517347225
2,1,4,1000000,10,0,1,10,512,10000,5,29,1.9998624381959147
4,1,4,10,1,0,1000,1000,512,10000,5,0,0.2522564869247195
2,10,4,1000000,10,1,1000,10,512,10000,5,29,1.9998999427611626
4,10,4,10,1,0,1000,10,1024,100,2,29,0.6857287874953992
2,10,2,1000000,10,1,1,10,512,10000,2,29,2.00009955320531
2,1,2,10,1,0,1000,10,1024,10000,2,0,1.999999991813955
2,10,2,1000000,1,1,1000,1000,512,100,2,0,2.0000935351414957
2,1,4,1000000,10,1,1000,10,512,10000,2,29,2.0000557537841352
2,1,2,10,10,1,1,10,1024,10000,5,29,1.9999995952898433
4,1,2,10,1,1,1,10,512,10000,2,29,1.9998891951953717
4,1,4,1000000,10,0,1,1000,1024,100,2,0,1.999886900075485
4,1,2,1000000,1,0,1,10,512,100,2,29,0.00326306201697318
4,1,4,10,10,0,1,1000,512,10000,5,29,0.08229971497038589
4,1,2,1000000,10,1,1,1000,1024,10000,2,29,0.007204461012745779
2,1,2,1000000,10,0,1,1000,1024,10000,2,0,1.9999756902715637
4,10,4,10,10,1,1,10,512,10000,5,29,1.9999168416792574
2,10,4,1000000,10,1,1000,1000,1024,100,5,0,2.000060833340069
2,10,4,1000000,10,1,1,10,512,100,5,0,1.9999114202663684
4,10,2,1000000,10,1,1000,10,1024,100,5,29,2.000048849789764
2,10,2,10,10,0,1,1000,512,100,2,29,2.000032711437355
2,1,4,1000000,1,0,1000,1000,1024,100,5,29,1.999942007343151
4,10,2,10,1,0,1,10,1024,10000,2,29,2.0000780475613973
