new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
1,1,2,0,0,0,2048,9,337.4748
1,2,1,0,1,0,1024,9,167.6726
0,0,1,0,1,1,1024,9,337.4748
0,2,2,0,1,0,2048,1,164.565
1,0,2,1,0,0,4096,9,337.4748
1,0,2,1,1,1,512,0,164.3898
0,1,2,1,1,0,4096,0,32.1888
0,1,1,0,1,0,4096,1,337.4748
0,1,1,1,0,0,1024,1,337.4748
1,1,1,2,0,0,2048,0,337.4748
0,2,1,1,0,1,1024,0,337.4748
1,0,2,2,0,1,1024,0,164.182
0,2,2,2,1,0,2048,5,165.781
1,1,1,0,0,0,512,5,337.4748
1,2,1,0,1,1,1024,0,337.4748
0,2,1,1,0,0,4096,9,337.4748
0,1,2,2,0,0,1024,1,337.4748
0,0,2,0,0,1,2048,1,337.4748
1,2,1,0,0,0,2048,0,337.4748
1,2,1,2,0,1,1024,5,337.4748
0,0,2,1,1,1,512,5,337.4748
1,2,2,1,0,0,2048,5,167.3888
1,2,2,0,0,0,4096,1,166.5774
1,2,2,1,0,0,4096,9,166.6352
1,1,1,0,0,0,512,5,337.4748
1,1,1,0,0,1,512,1,337.4748
0,0,1,1,0,1,1024,0,337.4748
0,1,2,2,0,0,512,1,337.4748
0,1,2,2,1,1,512,5,337.4748
0,2,2,0,1,1,1024,9,164.2734
0,1,2,2,0,0,2048,0,31.9334
0,0,1,0,1,0,512,1,337.4748
0,2,1,0,1,0,2048,9,166.2336
1,0,2,0,0,0,512,1,337.4748
0,1,2,0,0,0,2048,0,31.6514
1,0,1,1,0,1,2048,0,337.4748
0,0,1,0,1,1,4096,5,337.4748
0,2,2,2,0,1,1024,0,337.4748
0,1,1,0,0,0,2048,0,32.2248
0,2,2,1,1,0,1024,0,337.4748
1,0,2,2,0,0,4096,9,337.4748
1,2,2,2,1,1,4096,9,165.6936
0,2,1,2,1,1,2048,9,337.4748
0,0,1,0,1,0,4096,5,337.4748
1,2,2,2,0,1,2048,1,166.0986
0,0,1,2,0,0,2048,0,337.4748
1,1,1,1,0,1,512,0,337.4748
0,1,1,1,1,0,4096,0,337.4748
0,0,1,2,0,1,512,1,337.4748
1,2,2,1,1,1,512,5,165.232
1,2,1,2,0,0,2048,0,337.4748
1,0,2,1,1,0,4096,9,337.4748
1,0,2,2,1,1,512,9,337.4748
0,0,1,2,0,0,4096,5,337.4748
1,1,1,0,1,1,512,0,32.952
0,2,1,1,0,0,1024,9,337.4748
1,0,1,1,0,1,4096,9,337.4748
1,0,1,0,0,0,4096,5,337.4748
0,1,2,0,1,0,4096,9,337.4748
1,1,2,2,0,0,2048,0,31.4314
0,2,2,1,0,1,2048,0,337.4748
0,2,1,0,0,1,512,1,166.8656
1,1,1,1,0,1,512,1,337.4748
1,2,2,0,0,1,2048,0,337.4748
0,0,2,1,0,0,4096,9,337.4748
1,1,1,1,1,0,4096,0,337.4748
0,1,2,1,1,1,2048,0,32.8896
1,2,1,1,0,0,2048,0,337.4748
1,0,2,1,1,0,4096,1,337.4748
1,1,1,1,0,1,512,1,337.4748
1,1,1,0,1,1,4096,9,337.4748
1,0,1,0,1,0,512,9,337.4748
1,0,1,2,0,0,2048,9,337.4748
1,2,1,0,0,1,1024,0,337.4748
1,0,2,1,0,0,1024,9,337.4748
0,0,1,1,0,0,1024,9,337.4748
1,2,1,1,0,0,512,1,337.4748
1,0,1,1,1,0,1024,9,337.4748
0,1,1,1,1,0,512,1,337.4748
0,0,2,0,0,1,2048,0,166.7804
1,1,1,1,1,1,2048,5,337.4748
1,2,1,0,1,0,1024,0,337.4748
1,2,2,2,0,1,1024,0,337.4748
1,2,1,0,1,1,512,5,167.95
1,1,1,2,1,0,4096,0,337.4748
0,0,2,0,0,0,2048,9,337.4748
1,1,2,2,0,0,512,0,32.0308
0,2,1,2,0,1,2048,1,337.4748
0,1,2,1,1,0,1024,1,337.4748
0,1,2,1,0,0,512,1,337.4748
0,1,1,1,1,1,1024,5,337.4748
0,0,1,1,0,1,512,9,337.4748
0,0,2,0,0,1,1024,9,337.4748
0,0,2,0,1,0,2048,1,337.4748
1,2,2,1,0,1,4096,1,166.9868
1,1,2,1,0,1,1024,1,337.4748
0,2,2,1,0,1,1024,1,165.5134
1,1,2,0,1,0,2048,5,337.4748
0,2,1,1,1,0,4096,9,337.4748
0,0,1,0,1,0,4096,1,337.4748
