new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
1,3,3,0,1,1,0,1,1,1,152.738
4,3,3,1,1,0,0,1,1,0,38.966
2,3,2,0,0,0,1,1,0,1,104.506
4,3,1,1,1,1,1,1,1,1,42.854
2,2,3,0,1,1,0,1,1,0,61.874
2,2,2,1,0,0,0,1,1,0,59.56
3,3,3,1,0,0,1,0,1,1,57.46
2,2,3,0,0,1,0,1,1,1,62.748
2,3,2,0,0,1,1,1,1,0,87.904
3,3,3,0,1,0,1,1,1,0,61.32
1,3,1,1,0,0,1,0,0,1,172.048
4,2,3,0,0,1,0,1,1,1,31.996
3,3,1,1,0,1,0,1,0,0,63.958
2,2,1,1,1,1,0,1,0,0,66.642
3,2,1,1,0,0,1,1,1,1,44.01
1,1,1,0,0,0,0,1,0,1,94.544
1,3,1,0,1,1,1,0,1,1,155.318
4,3,3,1,1,0,0,1,1,1,39.126
2,1,3,1,1,0,0,1,0,1,45.908
3,2,2,0,0,1,0,0,1,0,40.534
1,3,2,0,1,0,1,0,0,1,178.316
4,1,2,0,0,0,1,1,1,0,25.284
2,3,2,1,0,0,0,0,0,0,83.894
4,3,1,0,0,0,1,0,0,1,49.802
1,2,2,1,1,1,0,0,0,0,115.52
1,2,3,0,1,0,0,0,0,1,121.886
4,2,1,0,0,0,1,1,0,1,38.314
2,3,3,1,0,0,0,1,1,0,77.526
4,3,1,1,0,1,1,1,1,0,43.126
4,1,2,1,1,1,0,0,0,1,22.476
3,1,1,1,1,1,0,0,1,0,28.674
4,3,1,0,0,1,1,0,1,0,42.734
2,1,1,0,0,1,0,1,1,0,49.854
2,2,3,1,0,0,0,1,0,1,67.754
3,1,3,1,1,0,1,0,0,0,30.258
4,1,3,1,0,1,0,1,0,1,23.782
1,1,3,0,0,1,0,1,1,1,94.792
3,2,1,1,0,0,1,1,0,0,50.868
3,1,3,0,1,1,0,1,1,0,33.33
1,3,3,0,1,0,1,0,1,1,156.43
3,2,1,1,0,0,1,0,0,1,47.036
3,2,2,1,0,1,1,1,1,1,43.758
1,3,1,0,1,1,0,1,1,0,152.628
1,3,2,0,1,0,1,0,0,0,178.012
1,1,2,1,0,0,1,0,1,1,82.424
4,3,1,0,0,0,1,1,0,0,53.148
4,3,3,0,0,0,0,0,0,1,46.244
2,3,2,1,0,0,0,1,1,1,77.482
2,2,3,1,0,1,1,1,0,0,71.35
1,3,3,1,1,0,0,0,1,1,136.484
3,2,3,0,1,0,0,0,1,0,40.586
1,2,2,0,1,0,1,1,0,1,140.74
4,3,2,0,0,1,0,0,0,0,46.236
2,2,3,0,1,1,0,1,0,1,70.908
4,1,2,0,0,1,1,0,0,0,24.628
2,3,2,0,0,1,0,1,0,0,96.672
3,2,2,0,1,0,0,0,0,0,45.3
1,1,1,0,0,1,0,1,1,0,94.09
4,3,2,0,1,1,0,1,1,1,40.708
3,2,1,0,1,1,1,1,0,0,53.388
1,1,2,1,1,1,1,1,0,0,86.776
2,2,2,0,0,0,1,1,0,0,75.428
1,2,2,1,0,0,1,1,0,0,133.556
4,1,3,1,0,1,1,1,1,0,24.49
1,2,1,1,1,0,0,0,1,0,102.938
4,2,3,0,1,1,0,1,0,1,36.114
4,2,3,0,1,0,0,1,0,1,36.348
1,3,1,0,0,0,0,0,0,0,165.376
4,3,1,0,0,0,1,1,0,0,53.148
2,2,3,1,0,1,1,0,0,1,67.2
2,1,2,0,1,0,0,0,0,1,45.592
1,1,1,1,0,0,1,1,0,0,89.06
1,1,1,0,0,0,1,0,0,0,86.354
2,3,3,0,1,1,0,1,1,0,80.318
3,3,1,1,1,0,0,0,0,0,57.47
3,1,3,1,1,1,1,0,0,1,29.97
1,2,3,0,1,1,1,1,0,0,140.09
2,3,1,0,1,0,1,1,0,0,103.084
3,3,2,1,0,0,0,0,1,0,50.36
2,2,1,1,0,0,0,1,1,1,59.814
2,3,2,0,0,1,1,1,1,0,87.904
2,2,1,0,1,1,1,0,0,1,69.046
1,1,1,0,1,0,0,1,0,1,93.1
1,2,2,1,1,0,0,1,1,1,111.882
4,2,2,0,1,0,0,1,1,1,31.674
1,3,2,1,0,1,0,1,0,0,173.734
2,2,1,1,0,0,0,1,0,0,67.672
1,2,3,1,0,1,0,1,1,0,113.224
3,1,2,1,0,1,1,0,1,1,30.368
4,3,2,1,0,0,1,1,0,0,50.338
4,3,3,1,1,1,1,1,1,0,42.526
2,1,3,1,0,0,0,1,1,0,46.918
2,1,3,1,1,0,1,1,1,0,45.94
4,3,2,1,0,0,0,0,0,0,43.528
2,3,3,0,1,1,1,0,1,0,84.118
3,2,2,0,0,0,0,1,0,0,49.796
3,3,1,0,1,0,0,0,0,0,60.504
3,1,2,0,0,0,0,1,1,1,33.832
4,1,3,0,1,0,0,0,0,0,24.77
2,3,3,0,0,0,0,1,0,1,96.398
