new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
1,1,3,1,0,1,0,1,0,1,88.698
4,2,1,0,1,1,1,0,0,1,35.43
3,1,1,0,1,0,0,1,0,0,33.398
4,1,3,1,1,0,1,0,0,1,23.216
3,2,2,0,0,1,0,0,1,1,40.146
2,1,3,1,1,0,1,1,0,1,46.192
3,2,1,1,0,0,1,1,0,1,51.106
2,1,2,1,0,1,1,0,0,1,43.914
1,3,3,1,1,1,1,1,1,0,157.34
2,3,3,0,1,1,1,1,1,1,87.736
1,1,3,0,0,1,0,0,1,1,86.65
2,3,1,0,1,0,1,0,0,0,95.238
3,1,1,0,1,0,1,0,0,0,31.274
2,2,3,1,0,0,0,0,1,1,56.226
4,1,1,1,1,0,0,0,0,1,21.694
3,2,3,0,1,0,0,1,1,0,42.51
4,3,3,0,1,1,1,1,1,1,44.618
1,3,2,1,0,1,0,1,1,1,147.528
4,2,2,1,1,1,1,0,0,0,34.208
3,1,3,0,0,1,1,0,1,1,32.66
1,2,1,0,0,0,1,0,0,1,131.046
3,3,3,1,1,1,1,0,0,0,66.928
3,1,2,1,0,0,1,0,1,1,30.366
3,3,2,0,1,1,0,0,1,1,51.492
2,1,3,1,0,0,1,0,1,0,44.536
3,2,1,0,0,0,0,0,0,0,45.426
1,2,1,0,1,1,0,0,0,0,121.358
2,2,2,1,1,1,0,1,1,1,59.142
4,2,3,1,1,0,1,0,1,1,31.034
1,2,1,0,1,1,1,0,1,1,116.314
2,1,2,0,0,0,0,1,1,0,49.762
3,2,2,0,0,0,1,1,0,0,53.96
1,1,3,1,1,1,0,1,0,1,86.89
3,1,1,1,0,1,0,0,1,1,29.314
4,3,1,1,1,0,1,1,0,0,50.002
1,2,2,0,1,0,1,1,0,1,140.74
2,2,3,0,1,0,1,0,1,1,62.898
1,2,3,1,1,1,0,1,1,1,111.742
2,1,2,1,1,1,1,1,0,1,46.448
4,3,3,1,1,0,1,1,0,1,50.296
4,1,3,0,0,1,0,1,0,0,25.038
2,2,3,1,1,0,1,1,0,1,70.636
3,2,1,0,1,1,1,1,0,0,53.388
1,3,1,0,1,0,1,0,0,1,177.688
3,2,3,1,1,0,0,0,0,0,43.532
3,3,3,0,1,0,0,1,1,0,54.644
3,2,3,1,0,1,0,1,1,0,40.398
3,2,1,0,0,1,0,1,1,0,42.816
1,2,3,1,0,1,1,1,0,0,133.926
2,1,1,0,0,1,0,1,1,1,49.898
3,2,1,1,1,0,0,0,1,0,37.598
3,1,3,0,1,0,0,0,0,0,31.89
2,2,3,0,0,0,1,0,0,1,70.696
4,1,1,0,1,0,0,0,0,0,23.776
4,3,3,0,1,0,0,1,0,1,48.842
2,3,3,1,1,0,0,0,0,0,83.378
4,3,3,1,1,0,1,0,0,0,47.858
4,3,3,1,0,0,1,1,0,0,50.236
4,2,1,1,1,1,0,0,1,0,28.338
2,3,1,1,0,0,1,0,0,0,92.174
4,1,2,1,1,1,1,1,1,1,23.47
1,1,1,1,0,1,1,0,0,0,81.744
2,2,3,1,1,1,1,0,1,0,59.802
3,3,1,1,1,0,0,1,0,0,63.108
2,3,1,0,0,0,1,0,0,0,97.138
1,1,3,0,0,1,0,1,1,1,94.792
2,1,1,1,1,0,0,1,1,1,45.896
3,3,2,1,1,1,0,0,1,0,49.85
4,2,3,0,1,0,1,0,0,1,36.598
2,1,3,1,1,1,0,0,1,0,43.522
4,1,3,1,0,0,0,0,1,0,23.552
2,2,3,0,0,1,0,1,1,1,62.748
4,2,3,1,0,1,1,1,0,1,36.864
3,1,3,0,0,1,0,0,1,1,32.498
1,1,3,1,1,1,1,1,1,1,87.206
3,3,3,1,0,1,0,0,0,0,59.082
4,1,2,0,0,1,1,1,0,1,25.278
2,2,1,0,0,0,1,1,1,0,66.55
1,3,3,1,1,1,0,0,1,0,136.814
4,1,1,0,0,1,0,0,0,0,23.432
3,3,2,1,0,1,1,1,1,1,59.254
3,2,3,1,1,1,0,1,1,0,40.088
2,3,2,1,1,1,1,0,1,0,80.35
2,3,1,0,1,1,1,1,1,1,87.586
3,1,2,1,1,0,0,1,0,1,30.908
4,1,3,1,0,0,0,0,1,0,23.552
4,3,2,0,0,1,0,0,1,0,39.052
4,1,2,0,0,0,1,1,0,1,25.256
4,3,1,1,1,0,1,1,0,1,50.004
3,1,3,0,0,0,0,1,0,0,33.736
1,3,2,1,0,1,1,0,1,0,151.24
1,3,1,0,0,0,1,1,0,0,193.886
3,3,3,0,0,1,1,1,1,0,61.74
2,2,1,1,0,1,0,1,1,1,59.958
2,2,3,1,1,0,0,1,0,1,66.712
1,3,1,0,1,1,1,0,1,1,155.318
3,3,1,1,1,0,1,0,0,0,65.892
1,1,1,1,1,1,0,1,1,1,86.438
3,3,3,1,0,1,1,1,0,0,71.682
1,1,2,1,0,0,1,0,0,0,82.198
