WindowSize,CompressionLevel,Performance
12,10,328.816
16,5,5.392
14,11,301.078
21,8,18.874
24,3,2.478
20,5,7.45
14,3,2.302
20,1,1.636
14,4,2.894
16,6,5.77
24,8,38.644
18,11,279.692
11,0,1.526
13,0,1.514
20,0,1.63
19,7,10.05
20,9,17.4
18,1,1.63
17,0,1.606
23,2,2.032
14,3,2.302
17,6,6.34
19,11,258.502
12,5,3.746
20,5,7.45
17,4,2.848
16,4,2.77
20,9,17.4
20,0,1.63
13,0,1.514
23,5,7.178
18,5,6.714
12,11,328.552
16,0,1.59
10,0,1.662
19,7,10.05
15,10,291.618
19,11,258.502
20,3,2.546
17,2,2.102
10,1,1.666
10,9,6.246
10,4,3.02
23,0,1.556
14,11,301.078
19,9,14.048
22,10,256.21
12,7,5.266
15,3,2.392
23,6,10.22
21,7,15.806
24,0,1.574
11,1,1.526
13,8,5.62
13,3,2.37
23,9,63.68
24,9,108.602
23,1,1.572
22,6,10.266
21,6,10.46
23,0,1.556
20,1,1.636
23,5,7.178
21,3,2.512
18,11,279.692
18,6,7.51
21,8,18.874
14,7,5.896
16,9,9.094
12,11,328.552
16,6,5.77
13,2,1.942
17,10,307.144
19,9,14.048
13,5,4.128
18,6,7.51
14,10,301.488
20,11,246.08
19,8,11.508
21,3,2.512
16,8,7.548
14,10,301.488
15,4,2.834
18,3,2.562
16,1,1.598
11,10,343.594
24,1,1.57
10,11,363.346
14,7,5.896
12,0,1.528
16,2,2.026
18,8,9.684
18,11,279.692
10,9,6.246
18,11,279.692
20,9,17.4
10,11,363.346
12,8,5.318
13,9,6.862
18,4,2.824
