new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,2,2,0,1,1,4096,1,164.8436
0,0,2,2,1,1,1024,1,337.4748
0,1,1,1,0,1,2048,9,337.4748
0,2,2,0,0,0,1024,9,164.7506
0,2,1,2,1,1,2048,0,337.4748
1,0,2,0,1,0,1024,9,337.4748
1,2,1,2,0,0,1024,9,337.4748
0,2,1,0,1,1,1024,5,165.5956
1,0,1,2,0,0,1024,5,337.4748
0,1,1,1,0,0,4096,9,337.4748
0,0,1,2,1,1,4096,1,337.4748
0,2,1,0,0,1,2048,5,168.3288
0,0,1,0,0,0,1024,1,337.4748
0,0,2,2,1,0,512,5,337.4748
1,0,2,1,1,1,512,0,164.3898
0,1,2,2,1,1,1024,1,337.4748
0,1,2,2,0,1,512,5,337.4748
0,2,1,2,0,0,4096,9,337.4748
1,2,2,1,0,0,1024,9,164.8816
1,2,2,1,0,1,1024,0,337.4748
1,1,2,0,1,0,512,1,337.4748
0,0,2,0,0,1,1024,5,337.4748
1,2,2,0,0,0,1024,9,166.7386
0,1,2,1,1,1,2048,0,32.8896
1,2,2,0,0,0,2048,1,162.2004
1,1,1,2,0,1,512,9,337.4748
0,0,2,1,0,1,4096,1,337.4748
0,2,2,2,1,0,4096,1,166.4626
0,0,2,1,0,1,512,1,337.4748
1,1,1,1,1,0,512,9,337.4748
1,1,2,2,1,0,4096,0,31.862
1,0,2,0,0,1,2048,0,165.7684
0,2,1,2,1,0,512,5,337.4748
1,2,2,1,0,0,1024,0,337.4748
1,0,1,1,1,1,1024,0,337.4748
0,0,2,1,1,1,1024,0,166.5828
0,2,2,2,1,1,4096,9,165.688
1,0,2,2,0,0,4096,0,166.9954
0,2,2,2,1,0,4096,1,166.4626
1,2,1,1,0,0,4096,9,337.4748
0,2,1,2,1,0,2048,0,337.4748
0,0,1,1,1,1,2048,0,337.4748
1,1,2,2,0,0,1024,1,337.4748
0,0,1,0,0,1,1024,5,337.4748
0,0,2,1,1,1,4096,9,337.4748
1,1,2,1,1,1,4096,5,337.4748
1,2,2,2,1,0,2048,0,337.4748
1,1,2,0,1,0,2048,1,337.4748
1,1,1,0,0,0,1024,9,337.4748
0,1,2,0,1,1,512,1,337.4748
1,1,2,2,1,0,512,5,337.4748
0,1,1,1,1,1,1024,0,337.4748
0,1,1,1,0,0,512,5,337.4748
0,0,2,0,0,1,4096,5,337.4748
0,0,1,0,1,0,2048,1,337.4748
0,1,1,0,1,0,2048,5,337.4748
0,0,2,0,0,1,512,5,337.4748
1,0,1,2,0,1,4096,1,337.4748
0,0,2,2,0,0,4096,9,337.4748
0,1,2,2,0,1,4096,5,337.4748
1,1,1,0,1,1,2048,9,337.4748
1,1,1,2,0,0,512,0,337.4748
1,1,2,0,1,0,512,5,337.4748
0,2,2,2,0,1,2048,1,164.6412
1,1,2,0,1,0,512,9,337.4748
1,0,2,2,0,0,4096,1,337.4748
1,0,1,2,1,1,1024,0,337.4748
0,1,2,1,0,1,2048,5,337.4748
0,0,2,2,0,0,4096,1,337.4748
0,2,2,1,1,1,512,9,163.964
0,0,2,1,1,1,1024,0,166.5828
1,2,2,1,0,1,512,1,165.3788
0,0,2,2,1,1,512,5,337.4748
1,1,1,1,1,1,512,0,337.4748
0,0,2,0,1,0,4096,5,337.4748
1,2,2,2,0,1,512,9,164.441
1,2,2,1,1,1,512,0,337.4748
0,2,1,0,1,1,1024,0,337.4748
0,0,1,2,0,0,512,1,337.4748
0,2,1,2,0,1,2048,9,337.4748
1,0,2,1,1,0,2048,0,166.2018
1,2,1,2,1,0,512,0,337.4748
1,0,1,1,1,0,4096,0,337.4748
1,1,1,2,0,0,512,0,337.4748
1,0,1,2,0,0,2048,1,337.4748
1,0,1,2,0,1,512,9,337.4748
1,2,2,0,1,1,1024,5,166.3478
1,1,2,2,0,0,1024,1,337.4748
0,2,2,1,0,0,1024,5,166.7564
0,1,2,1,0,0,2048,5,337.4748
1,2,2,2,1,1,2048,1,165.5798
1,0,2,0,0,0,512,1,337.4748
1,2,2,0,1,0,4096,1,166.8476
1,0,2,1,0,0,4096,0,165.9296
0,1,2,0,1,0,4096,1,337.4748
1,2,2,1,0,0,2048,9,166.1188
1,2,2,2,0,1,1024,9,165.0296
0,0,1,0,0,1,512,0,166.5286
0,1,2,1,1,1,2048,9,337.4748
0,1,2,1,0,1,4096,5,337.4748
