spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
1,1,1,0,0,1,0,1,0,1,1,0,0,0,0.9920791189420735
0,1,0,0,0,1,0,1,1,0,0,0,1,1,0.011820740996552509
1,0,1,1,1,0,1,0,1,0,0,1,1,1,0.9941198428160094
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.0029703897317461176
0,1,1,0,1,0,0,1,0,0,1,0,1,0,0.00996338471641291
0,1,1,0,1,0,0,0,0,0,0,0,1,0,0.007992473935600937
1,1,0,0,1,1,0,0,0,1,1,1,1,1,0.9940105749950585
0,0,1,1,0,1,0,1,1,0,0,0,0,0,0.007013501264258958
0,1,1,1,1,1,1,1,0,0,1,0,0,0,0.01297418388066031
0,0,1,0,1,1,0,0,1,0,1,1,0,0,0.005944713271681612
1,1,1,1,0,0,0,0,1,1,1,0,1,1,0.9969603782550874
0,0,1,1,1,1,1,0,1,1,1,1,0,0,0.005854408880229739
0,1,1,0,1,0,1,0,0,1,0,1,1,1,0.020913752301020088
1,0,0,0,1,1,0,0,1,1,0,0,1,0,0.9941717589066618
1,0,1,0,0,0,1,1,1,1,1,1,1,0,0.10026217756885066
1,0,1,0,0,1,0,1,0,0,1,0,1,1,0.9921531355931598
0,1,0,1,1,0,0,0,1,0,0,0,1,0,0.008933742790886512
1,0,0,0,0,1,1,1,0,1,0,0,1,1,0.9931123013483297
0,1,1,0,1,1,0,0,0,1,1,1,1,1,0.018871516827932668
0,0,1,0,1,1,1,1,1,1,0,1,1,0,0.007038272862537728
1,1,0,1,1,1,1,1,1,1,0,1,1,1,0.9940151964173151
0,1,0,1,1,1,0,0,1,0,1,1,0,1,0.018868319373501162
1,1,1,1,0,0,1,0,0,0,1,0,1,0,0.9970221513818464
0,0,1,1,1,0,0,0,1,1,1,1,1,0,0.027742514206425883
0,0,0,0,0,0,1,1,1,1,0,0,1,0,0.007012224175758937
1,1,1,0,1,0,1,1,0,0,0,1,0,1,0.9941040945929768
1,0,1,0,1,0,0,1,0,1,0,1,1,0,0.9940394813665862
1,1,1,0,0,1,1,0,1,0,1,1,0,1,0.9940644019038206
0,0,1,0,1,1,1,1,0,0,1,1,1,0,0.00700363342281955
1,0,0,1,1,0,1,1,1,0,0,0,0,0,0.994091185642152
1,1,1,1,0,0,1,0,1,0,0,1,1,1,0.998067138480829
0,1,0,1,1,0,1,0,1,1,0,0,1,1,0.004013035691974848
1,0,0,1,1,0,1,1,1,1,0,1,1,1,0.9940072593098391
0,1,1,1,0,1,0,1,1,1,0,1,1,0,0.013856102289485946
1,0,1,1,1,1,0,1,1,1,0,1,1,0,0.9920323821493112
1,0,0,0,0,0,1,1,1,0,1,0,0,1,0.992062780454746
1,1,0,1,1,1,1,1,0,0,1,1,1,1,0.9929621202336505
0,0,1,1,0,0,1,1,0,0,1,1,0,0,0.004994976151693447
0,0,0,0,1,1,0,0,0,1,1,0,1,0,0.006958052988192881
1,0,0,0,0,1,1,0,1,1,1,1,0,0,0.993112185369973
0,0,1,1,0,1,1,0,1,0,1,0,1,1,0.006995129409557796
1,1,1,0,1,0,1,1,0,1,0,0,1,1,0.9940410244891843
0,1,1,1,1,1,0,0,1,0,0,1,0,0,0.017913253726319658
0,0,1,1,0,0,1,1,1,0,0,1,0,0,0.006942642545624843
0,1,0,1,1,0,0,0,0,0,0,0,1,1,0.00895347557781548
1,0,0,1,0,0,1,1,1,1,0,1,1,0,0.998050834605225
0,0,0,1,0,0,0,1,0,1,1,0,0,1,0.0029222519851914
0,1,0,1,1,1,1,0,1,0,1,0,0,0,0.014908985220331022
0,1,0,0,0,1,1,1,1,0,1,0,0,0,0.01501692921761387
0,1,1,1,1,0,0,1,0,1,1,1,0,1,0.009083879555790514
1,0,1,1,0,0,0,1,0,0,1,0,1,0,0.9971003758596436
0,0,0,0,1,0,0,0,1,1,1,1,0,0,0.02775453957308567
1,0,0,1,1,1,1,1,0,0,1,0,1,1,0.9949759634822556
1,0,1,0,0,1,1,1,0,0,0,0,0,1,0.9940623860603489
1,0,1,0,1,1,1,1,0,1,0,1,1,1,0.9939875921787262
1,0,1,0,0,1,0,0,1,1,1,1,1,0,0.9922387045482924
1,0,1,0,0,1,0,1,0,1,1,1,0,0,0.9919872917368985
0,0,1,1,1,1,1,1,1,0,0,0,0,1,0.006965372993960754
0,1,1,0,1,1,0,1,1,0,0,0,1,0,0.01985395746680562
1,0,1,1,1,1,0,0,1,1,0,0,1,1,0.9930796260553506
1,1,1,1,1,1,1,0,0,0,1,0,0,1,0.9931542869288928
0,1,0,1,0,1,1,1,0,0,1,1,1,1,0.011890710376414086
0,0,1,1,1,1,0,1,1,1,0,1,1,0,0.006945136996940455
0,1,0,1,0,0,1,0,1,0,1,0,1,1,0.004018273309366517
1,0,0,0,1,0,0,0,1,1,0,1,0,1,0.9940063213676099
1,1,1,1,0,0,0,0,1,1,0,0,1,0,0.9980401044296494
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0.018890939497823913
1,1,0,0,1,0,0,1,0,1,0,1,1,0,0.9950488081166972
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0.02781544370319736
0,0,1,0,0,0,1,0,0,0,0,1,1,1,0.003875915719868856
1,0,0,1,1,1,1,0,0,0,1,1,0,1,0.9939709576769983
1,0,0,1,1,0,1,0,0,0,0,0,0,1,0.993966178084969
1,0,1,1,1,0,0,0,1,0,0,1,1,0,0.9940970714293712
0,1,1,1,1,1,0,0,0,0,1,1,1,1,0.01792130490863048
1,0,1,1,1,0,0,1,1,1,0,0,0,1,0.9939838640120061
1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.9939029552259121
0,0,1,1,0,0,1,0,1,0,0,1,1,0,0.006896628502906636
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0.005873027760133637
