topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,1,4,10,1,0,1,1000,512,100,2,29,2.0000021319463035
4,1,2,1000000,10,1,1,10,512,10000,5,0,2.0000602610874214
4,1,4,10,10,1,1000,1000,1024,10000,5,0,0.18683370144581177
2,10,4,1000000,10,1,1000,10,512,10000,5,0,2.000005984381563
4,1,4,1000000,1,0,1,10,512,100,5,29,0.0008685091905676618
2,10,4,10,10,1,1,1000,512,100,2,0,2.0000201189402476
4,10,4,1000000,1,0,1,10,512,10000,5,0,1.9999703345456534
4,10,2,1000000,1,1,1,10,512,10000,2,0,2.0000203494860678
4,1,4,1000000,10,0,1000,1000,1024,10000,2,29,2.000112936742681
2,1,2,10,1,0,1000,1000,1024,100,2,0,1.999975425641269
2,1,2,1000000,10,0,1,10,1024,10000,2,0,2.0000582203068613
4,10,2,1000000,1,1,1000,1000,1024,100,5,29,2.000050291373977
4,10,4,10,10,1,1,10,1024,10000,5,0,2.000076839888023
2,10,2,1000000,1,0,1,1000,512,100,5,0,2.000068180723902
4,1,4,10,1,0,1,1000,1024,100,2,29,1.9999918243816748
2,10,2,1000000,10,1,1000,1000,1024,100,2,29,1.9999504866893478
2,1,2,1000000,10,1,1000,10,512,100,5,0,2.000067768242656
2,1,4,1000000,10,0,1000,10,512,10000,2,0,2.0000249374964123
2,10,4,1000000,1,1,1,10,512,10000,5,29,1.9999455361128515
4,1,2,1000000,1,0,1,10,512,10000,2,29,1.9999989670797973
4,10,4,10,10,1,1000,1000,1024,10000,2,29,0.3951378810229546
4,10,4,10,10,0,1000,1000,512,10000,5,0,0.16861391430401682
4,1,4,10,10,1,1,1000,512,10000,5,29,0.08109959595469673
4,1,2,10,1,0,1000,1000,512,100,5,29,2.00001207016687
4,10,4,1000000,10,1,1,1000,512,100,2,29,1.999961368393085
2,10,4,10,10,1,1000,1000,1024,100,2,29,2.0000973471986696
4,1,2,1000000,10,0,1,1000,1024,10000,5,29,0.0002362554865713456
2,1,4,10,10,0,1000,1000,512,100,5,29,1.9999221749908844
4,10,2,10,10,1,1,1000,512,100,2,29,2.000063162091389
4,1,2,1000000,10,0,1000,1000,512,10000,2,29,1.999998187207831
2,1,4,1000000,1,1,1,10,512,100,5,0,2.55135092896973e-05
4,10,2,1000000,10,1,1,10,1024,100,2,29,0.00114018812441128
4,1,4,10,10,1,1000,1000,1024,100,5,0,2.0000043981258777
2,10,4,10,10,0,1,1000,512,100,5,29,2.0000794725710933
4,10,2,1000000,1,1,1,1000,512,10000,5,29,0.0008031168339722301
2,1,2,1000000,10,1,1000,10,1024,100,5,0,2.0000971267571237
2,10,4,10,10,0,1000,1000,512,10000,2,0,0.7748851344382808
4,10,4,1000000,1,1,1,10,1024,100,5,29,0.0009014292324198907
2,10,2,10,1,1,1000,10,512,100,5,0,0.28378668058283596
4,1,4,10,1,0,1000,10,512,10000,2,0,1.9999453647510885
2,10,4,10,1,1,1000,1000,512,10000,5,29,0.2964393845687403
4,10,2,10,1,1,1,1000,512,100,2,0,1.99989768114185
4,1,2,10,1,0,1,1000,1024,10000,2,0,0.015025575999109794
2,10,4,1000000,1,0,1,10,512,10000,2,0,2.0000886608350923
2,10,4,1000000,1,0,1,10,1024,100,5,29,0.001082241732817151
2,1,4,1000000,10,1,1,1000,1024,100,5,29,1.9999628472701758
2,10,4,10,10,0,1000,1000,512,100,2,29,2.000022411886437
2,10,2,10,10,0,1000,1000,512,10000,2,29,0.727866326303754
2,1,4,10,10,1,1,1000,512,10000,5,29,0.1383287251658381
2,10,4,1000000,10,0,1,10,512,100,5,29,1.999941469058216
4,10,4,1000000,1,0,1,1000,512,10000,2,0,0.0023644387802833214
2,1,4,1000000,1,1,1000,10,512,10000,2,0,2.0000671633549554
4,10,4,1000000,1,0,1000,10,512,10000,2,29,2.0000473645632035
4,1,2,1000000,1,1,1,10,512,10000,5,29,1.9999456956034205
2,1,2,1000000,1,1,1,10,512,10000,2,0,2.0000434266734493
2,1,4,10,10,0,1,1000,1024,10000,5,0,0.13903460331682363
4,1,2,10,10,1,1000,10,1024,100,5,0,0.20847765718160086
4,1,2,10,1,1,1000,10,512,10000,5,29,2.0000919307830327
4,1,2,10,1,1,1,1000,512,10000,2,0,0.014750343409460617
4,1,2,10,1,0,1,1000,1024,10000,2,0,0.015034208810722397
2,10,2,1000000,1,1,1,10,1024,10000,5,29,1.9999338837961496
4,10,2,1000000,10,0,1,10,512,100,2,0,0.002485710659097553
2,1,4,10,1,1,1,1000,512,100,5,29,2.0000680375775115
4,1,4,1000000,10,0,1,10,512,100,2,29,0.005642421335657341
4,10,2,1000000,1,0,1,1000,512,10000,2,0,0.0028811518784142465
2,10,4,10,10,1,1,1000,1024,100,5,29,2.000004642447633
2,10,4,1000000,1,1,1,10,1024,100,5,29,0.0010665386845388942
2,10,4,1000000,10,1,1000,10,512,10000,5,0,2.000100506654075
4,10,2,10,1,0,1000,10,512,10000,5,29,1.999966673532905
2,10,2,1000000,1,0,1000,1000,1024,100,2,0,1.9999192255290492
2,1,2,1000000,10,0,1000,1000,512,10000,5,29,2.000050413030708
