new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
3,1,3,1,1,0,1,1,0,1,31.128
1,1,3,1,1,0,0,1,1,1,86.65
3,1,1,0,1,1,1,1,1,1,33.55
3,3,2,1,1,1,1,0,1,0,56.482
3,1,2,0,1,1,1,0,0,1,31.574
1,2,1,1,1,1,0,1,0,1,126.692
2,2,2,0,0,1,1,0,0,0,70.626
3,3,2,0,1,0,0,0,1,1,51.67
4,2,3,1,1,0,0,1,0,0,33.636
4,3,3,1,0,1,1,0,1,1,42.452
2,2,2,0,1,0,0,1,1,1,62.446
1,3,3,0,0,1,1,1,0,0,194.686
3,3,1,1,0,1,0,0,0,0,58.186
4,1,3,1,0,1,0,1,0,0,23.452
1,1,2,0,1,1,0,0,1,1,84.78
3,3,2,1,0,1,1,0,0,1,66.962
4,2,1,1,0,0,0,1,1,0,30.34
3,1,3,0,0,1,0,0,0,0,32.364
2,2,1,0,1,0,0,1,1,1,62.436
3,2,2,0,1,0,1,0,0,0,49.738
1,3,1,1,0,1,0,1,1,0,147.432
1,3,2,0,1,0,0,0,0,0,163.556
3,3,3,0,1,0,1,0,1,1,59.1
4,1,2,1,0,0,1,0,1,1,23.184
2,1,2,0,0,0,0,1,0,1,49.876
1,1,2,0,1,0,1,0,1,0,85.55
1,1,3,0,0,0,0,1,0,0,93.922
3,3,1,1,0,0,1,0,0,1,66.616
4,3,3,0,1,0,1,0,0,0,50.09
4,3,2,0,0,0,1,1,1,0,44.466
2,1,2,1,0,0,0,1,1,1,46.968
3,1,1,0,1,1,0,0,1,1,30.536
3,1,1,1,0,0,0,1,0,0,31.736
1,1,2,0,0,0,0,0,1,0,86.078
4,1,2,1,0,1,0,0,0,1,23.106
1,2,2,1,1,1,0,0,0,1,115.346
3,3,1,0,0,1,0,1,0,1,67.852
4,2,2,1,0,1,1,0,0,1,34.536
3,1,3,1,1,0,0,0,1,1,29.71
1,1,2,0,1,0,0,0,0,1,84.704
1,3,1,1,0,1,1,0,1,1,151.222
2,3,1,0,1,1,1,1,0,1,103.722
1,2,2,0,1,0,1,1,0,0,139.71
2,3,3,0,1,1,0,1,1,1,80.148
3,1,1,1,1,1,0,1,1,1,31.218
1,3,3,1,1,0,0,0,0,0,156.802
4,3,2,1,1,1,0,0,0,0,43.484
2,1,2,1,0,1,0,0,0,1,43.58
1,2,1,1,1,0,0,0,0,0,114.088
1,3,2,1,0,1,0,1,1,0,147.438
1,1,3,1,0,0,1,0,0,0,82.62
4,3,1,1,1,0,1,0,0,1,46.604
4,1,3,1,0,1,1,0,0,1,23.896
2,1,3,1,1,0,1,1,0,0,45.972
2,2,3,1,0,0,0,0,1,0,56.534
2,1,2,1,0,0,1,1,1,0,47.286
4,3,3,1,1,0,0,0,0,0,43.956
3,3,1,1,0,1,1,1,1,1,59.118
4,1,1,1,0,0,1,1,0,1,24.004
1,2,3,1,1,0,0,1,1,0,111.634
2,2,1,1,1,1,0,1,1,1,58.836
4,1,1,1,0,0,1,0,1,1,22.622
1,3,2,1,1,1,0,1,0,0,172.216
2,1,2,0,1,0,0,0,0,0,45.634
4,2,2,0,1,1,0,0,1,0,30.488
1,2,2,0,1,1,0,1,0,0,133.858
1,2,3,1,0,0,1,1,0,0,133.572
1,1,2,1,1,0,1,1,1,1,87.282
1,3,3,1,1,0,1,0,1,0,150.51
3,3,3,1,0,1,1,1,0,0,71.682
3,2,3,1,1,1,1,0,0,1,47.424
2,2,1,1,1,0,1,1,1,0,62.368
1,1,2,0,1,1,0,1,0,1,93.222
4,1,1,1,0,1,1,1,1,1,25.19
1,3,2,0,0,0,1,0,1,1,156.816
2,2,1,1,0,1,0,0,1,1,55.172
3,2,2,1,0,1,0,0,1,1,38.35
4,3,1,0,1,1,0,0,1,0,38.288
3,2,2,0,1,0,1,1,1,1,45.824
4,1,2,1,0,1,1,1,0,0,23.858
2,3,1,1,1,0,0,0,0,0,82.424
3,1,2,1,0,0,1,1,0,0,32.018
4,2,3,0,1,1,1,0,0,0,36.94
2,1,3,0,1,0,1,1,1,1,49.914
3,1,1,1,1,0,0,0,1,1,28.428
4,1,1,0,0,1,0,1,1,0,24.99
2,2,3,0,0,1,1,1,1,1,66.474
1,2,3,0,0,1,0,0,1,0,110.278
4,1,1,1,0,0,1,0,0,0,23.034
3,3,2,1,1,1,0,1,1,1,52.074
4,1,1,0,1,1,0,1,1,0,24.768
1,1,3,0,1,1,1,1,1,1,94.08
4,3,3,0,1,1,0,1,0,0,48.906
2,3,2,1,0,1,0,1,0,0,91.756
3,3,3,0,1,0,1,1,1,1,61.224
1,2,2,0,0,0,1,1,0,0,141.288
2,2,3,1,0,1,0,1,1,1,59.836
3,1,3,1,1,1,0,0,0,1,29.688
1,2,3,0,0,0,1,1,1,1,125.676
3,2,3,0,0,1,0,0,1,1,40.694
