fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,0,1,0,256,32,1024,47549.399947069935
0,1,0,0,1,256,8,256,46192.00002708871
1,0,1,0,0,128,8,256,131236.59996045628
1,0,0,1,0,128,32,256,134485.20001024174
1,1,0,0,0,256,2,1024,132971.59999533466
1,1,0,1,1,64,8,256,132419.20000655545
0,1,0,1,1,64,2,1024,46520.60005850747
0,0,1,0,1,256,32,256,46281.99995511025
0,0,0,1,1,64,32,1024,46600.1999889208
1,1,1,0,1,64,32,256,133541.99996553053
1,0,1,1,0,256,8,256,139655.7999860189
1,1,1,0,0,128,2,4096,133944.00000902158
1,0,1,1,1,256,32,1024,139302.20009433522
1,0,1,1,1,64,8,1024,142008.00008611998
1,1,0,0,0,128,2,4096,133164.39999524344
1,1,1,1,0,64,32,1024,127659.20004522569
0,0,1,1,1,128,8,256,46778.00004157815
1,0,1,0,1,64,32,1024,138701.4000308309
1,1,0,0,0,256,2,1024,132971.60008333958
0,1,1,1,1,64,2,4096,46733.39999648457
1,0,0,1,0,256,2,1024,133313.60004586529
1,1,1,1,0,64,32,4096,128959.60000832017
0,0,1,1,1,64,2,1024,46681.8000783585
1,1,0,0,1,256,8,4096,135842.5999816781
1,0,1,0,1,128,32,4096,138524.60005899201
0,1,0,1,0,64,2,256,46355.3999785815
0,0,1,0,1,256,2,4096,46301.00002563034
0,1,0,1,0,64,2,256,46355.39992195775
1,0,0,0,1,128,32,1024,132768.19988542644
0,1,0,0,1,256,2,1024,46142.199952473056
1,0,1,1,1,64,8,256,138112.79998668112
0,0,1,0,0,256,8,1024,46146.200091862636
0,1,0,0,0,64,2,4096,46153.99996704841
0,0,0,1,1,256,2,1024,46274.19993237371
0,1,0,1,0,128,2,1024,46599.400073430326
1,0,1,1,0,128,8,4096,136843.7999686415
1,1,0,0,0,128,2,256,132604.80008642093
1,1,0,1,0,128,8,4096,132048.79997571278
1,0,0,0,0,128,2,4096,133393.19991260508
0,1,0,1,1,64,8,1024,47491.40008866341
1,0,0,0,0,256,8,1024,131793.4000411866
1,1,0,0,0,256,2,1024,132971.5999862421
0,1,0,0,1,256,8,1024,46358.199960211576
0,0,0,0,1,128,2,256,47198.599949605436
0,1,0,0,0,256,2,1024,46248.799997759044
0,1,0,0,0,128,8,4096,46379.199987782136
1,1,0,0,0,64,32,4096,132758.99997241472
0,0,1,0,1,128,8,256,46271.00002321054
0,1,0,0,1,64,2,1024,46267.800057290355
1,0,1,1,1,64,8,4096,136839.59998452838
1,0,0,1,1,128,2,4096,134644.00003960004
1,0,1,1,1,64,2,256,135233.99994583346
1,1,0,1,0,128,2,1024,132390.80009859358
1,0,0,1,0,128,2,1024,131781.19996253052
0,1,1,1,1,256,32,4096,46325.39992972777
1,0,1,1,0,256,32,4096,138895.19999244373
0,0,0,1,0,256,32,1024,46418.999974413375
0,0,0,0,0,256,32,1024,46256.59995525461
1,1,0,0,0,256,32,4096,132785.60004131487
0,1,0,0,0,128,8,4096,46379.19994608493
1,1,0,0,1,128,8,4096,133285.99992865414
0,0,1,1,0,128,2,256,46483.80015423804
1,0,1,1,1,64,32,256,139137.00008288593
1,1,0,0,1,128,32,256,131364.40002986384
0,0,1,0,0,128,32,256,46078.79999864888
0,1,0,1,0,256,8,1024,46598.60005362826
0,1,0,1,0,256,32,1024,47549.4000312373
1,0,1,1,0,64,8,256,141618.40005787893
1,0,0,0,1,64,8,256,133634.3999831143
0,0,0,1,0,256,2,256,46452.6000472536
1,0,0,1,1,128,8,4096,133105.99994920832
0,1,0,0,1,128,32,4096,46213.59997236152
0,1,0,0,1,256,8,256,46192.00002093741
0,1,1,1,1,64,32,256,46707.60000296655
0,1,0,0,0,128,32,4096,46197.7999949781
0,1,0,1,1,256,8,4096,46447.60000311105
0,1,0,0,0,256,8,256,46335.600140809984
0,1,0,1,0,128,2,1024,46599.39991723644
0,1,0,1,0,128,32,1024,47239.800021268624
0,1,1,1,1,128,32,256,46741.99997930941
1,1,0,0,0,128,32,4096,134334.80000076198
1,1,1,0,1,64,32,256,133542.00003947833
0,1,0,0,1,64,8,256,46237.59994296622
0,0,1,0,1,128,2,256,46120.99996839424
0,0,1,0,1,256,8,4096,46508.599994809025
1,1,0,1,1,256,2,4096,125375.60002981719
1,0,0,1,1,128,8,4096,133106.0000142526
1,0,0,0,1,128,2,4096,132203.60001763012
1,1,0,0,1,256,2,256,135921.99993440814
0,1,1,0,0,128,32,256,46143.999945069205
0,0,1,1,0,128,8,1024,47024.00001453069
0,0,0,1,0,128,2,256,46486.79998550904
1,0,1,1,1,128,32,1024,142199.59998243736
1,1,0,0,0,256,8,4096,133344.19991830134
0,1,1,0,1,256,8,256,47091.99999575409
1,0,1,1,1,64,32,256,139137.00004636054
0,1,0,1,0,128,8,256,46439.60001015594
0,1,0,1,1,64,32,256,46402.39999688198
1,0,1,0,0,256,32,1024,134646.20002605973
1,1,0,1,1,64,32,1024,123397.2000018233
