new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
3,1,3,1,1,0,1,0,1,0,30.37
3,3,3,1,0,1,1,1,0,1,71.806
1,3,2,0,1,1,1,0,0,0,178.698
4,3,3,1,0,0,0,1,0,1,47.004
1,2,2,0,1,1,1,1,0,0,140.008
2,1,2,1,0,0,0,0,0,0,43.466
4,3,2,1,0,1,0,0,1,1,37.546
3,1,1,0,1,0,1,1,0,0,33.676
1,1,3,1,0,1,1,0,0,1,82.738
2,3,2,1,1,0,0,0,0,0,83.146
3,2,3,1,1,1,0,0,0,0,43.608
1,3,2,0,1,0,0,1,0,1,180.658
2,3,1,1,1,0,1,0,0,1,91.416
3,3,1,0,1,0,0,0,0,1,60.378
4,1,2,1,1,1,0,1,1,1,25.124
3,2,3,1,0,0,1,1,0,0,50.882
1,1,2,0,0,1,0,1,1,0,94.04
4,3,3,0,1,1,0,1,1,1,40.67
4,3,3,1,1,0,0,1,1,1,39.126
1,2,3,0,0,1,1,0,1,1,118.076
3,1,3,0,0,1,1,1,1,0,34.046
3,1,1,0,1,1,1,0,0,0,31.038
1,2,3,1,1,1,1,1,1,1,118.508
1,3,2,0,0,0,0,1,0,0,181.966
2,3,2,1,1,1,0,1,0,0,90.75
2,1,2,1,0,1,1,1,1,0,47.29
3,3,3,0,0,0,1,1,1,1,61.62
3,1,3,0,1,0,0,1,1,0,33.756
2,1,3,0,1,0,0,0,0,1,45.816
2,2,1,1,0,1,1,1,0,1,71.774
1,3,3,0,1,0,1,0,0,0,178.614
4,3,1,1,1,1,1,0,0,1,46.682
1,2,3,0,1,0,1,0,1,1,117.2
2,2,1,0,0,1,0,0,1,1,57.792
4,3,1,0,0,0,1,0,1,1,42.588
4,2,3,1,0,1,0,0,1,1,29.688
2,3,3,1,1,1,1,1,0,1,98.794
2,3,3,0,0,0,1,0,0,0,97.86
3,3,2,1,0,0,0,1,0,0,63.95
4,1,2,0,0,0,0,1,0,1,25.15
2,2,3,0,0,1,0,1,1,1,62.748
3,2,2,0,1,0,1,1,1,1,45.824
3,2,2,0,0,0,0,0,1,1,40.128
4,1,2,0,1,0,0,0,1,1,23.884
3,1,3,1,0,0,0,1,1,0,31.772
3,3,3,0,1,0,0,0,0,0,61.386
2,3,1,1,0,1,1,1,1,1,84.846
4,3,1,0,0,1,1,1,1,0,44.626
3,3,3,0,0,1,0,1,0,1,67.88
3,2,1,0,1,1,1,0,0,1,49.204
4,3,3,0,0,0,0,0,0,0,46.5
2,3,2,1,0,0,1,0,1,1,81.304
1,2,2,1,0,0,0,0,1,0,105.398
2,1,1,0,1,1,1,1,1,1,49.768
4,1,3,1,0,0,0,0,1,0,23.552
1,3,1,1,0,1,0,1,1,1,147.498
1,1,2,1,1,1,1,0,0,0,80.118
1,3,1,0,1,0,1,0,1,1,155.402
3,1,1,0,1,0,1,1,1,0,33.428
4,2,3,0,1,1,0,1,1,1,31.544
4,2,1,1,1,0,0,1,1,0,29.742
1,3,3,1,1,0,1,0,1,1,150.638
4,1,2,0,0,1,1,0,0,0,24.628
1,2,1,0,1,0,0,0,1,0,108.38
3,3,2,0,1,0,0,0,0,0,60.784
3,1,1,0,1,0,1,1,1,0,33.428
4,1,1,1,0,0,0,0,1,1,22.248
1,2,2,1,0,1,0,0,0,1,116.844
3,2,3,0,1,0,0,0,0,1,45.934
3,2,1,1,0,1,0,0,0,1,42.802
1,3,2,0,0,1,0,1,1,1,153.87
3,1,1,0,0,1,1,1,1,0,34.008
4,3,2,0,1,0,0,0,0,1,45.12
4,3,2,0,0,0,0,0,1,0,39.264
1,2,2,0,0,0,1,1,1,0,124.934
2,1,2,0,0,0,0,1,0,1,49.876
2,2,3,0,0,1,0,0,1,0,58.894
2,1,3,0,0,0,0,1,0,1,50.196
1,1,2,1,1,1,0,0,1,1,79.098
3,1,1,0,0,1,1,1,0,0,34.046
2,2,3,0,1,0,0,1,0,0,70.816
1,3,1,1,1,1,0,0,0,1,156.172
3,2,3,0,1,0,0,0,1,1,40.5
2,2,3,0,1,1,1,0,1,0,62.83
1,1,1,1,0,1,0,0,0,0,80.57
4,3,2,0,0,0,0,1,1,1,41.044
4,2,1,0,1,1,1,1,0,0,38.178
3,3,2,1,1,1,1,1,0,1,71.328
2,1,3,0,0,0,0,1,0,1,50.196
3,3,1,1,1,0,1,0,1,0,56.224
2,2,2,0,0,1,1,1,0,1,75.934
1,3,2,1,1,0,1,0,1,1,150.11
2,3,1,0,1,0,0,0,1,0,74.456
4,2,2,1,0,0,0,0,1,0,29.544
2,1,1,1,1,1,0,0,0,1,41.828
4,3,1,1,0,0,1,0,1,0,41.46
1,2,3,1,1,1,0,1,1,1,111.742
1,3,2,1,1,0,1,0,1,0,149.864
2,2,1,0,0,0,1,1,1,0,66.55
1,1,1,1,1,1,0,1,1,0,86.252
