new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
2,0,1,1,0,20,4,6,103304.8
3,1,0,1,0,60,64,2,12019.8
1,0,1,0,0,10,4096,4,12363.2
1,1,0,1,0,0,2048,2,17945.4
4,1,0,1,0,30,32,6,49201.0
1,0,0,1,1,30,4,6,103230.8
3,0,0,1,0,10,8,6,12164.0
4,1,0,1,0,50,64,6,49489.6
3,0,0,0,1,60,512,2,12199.6
5,1,0,1,0,80,64,2,9152.4
2,0,1,0,0,60,2048,10,101453.8
3,1,1,1,0,10,512,2,12417.0
5,0,0,0,0,0,1,0,9261.2
4,1,1,1,1,0,128,2,35579.6
2,1,1,1,1,0,64,0,17805.6
5,0,0,0,1,20,4096,2,9215.0
3,0,0,0,1,20,16,6,11132.2
1,1,0,1,0,20,256,8,103781.6
1,1,1,0,0,40,32,4,11905.8
1,0,1,0,0,100,16,2,17712.4
1,0,1,1,1,30,2,6,107257.4
5,0,1,0,1,20,4,2,9127.6
2,1,1,1,0,100,1,4,15215.4
4,0,1,0,1,80,512,10,112911.6
4,1,0,1,0,60,4096,6,49448.2
3,0,0,1,0,80,2,8,39041.8
5,1,1,1,1,100,2048,4,9171.4
5,1,1,0,0,20,2048,2,9166.8
4,0,1,0,0,50,1024,6,19913.6
3,1,0,1,1,50,4,4,12984.0
1,1,0,1,1,70,2,2,17758.2
1,1,1,1,0,80,2048,6,90804.8
1,0,0,0,0,90,1,2,17669.4
1,0,1,0,1,80,256,10,101655.8
4,1,1,1,1,0,32,2,35697.4
1,0,0,0,1,80,32,0,17731.0
4,1,1,0,0,10,2048,6,21753.4
3,1,1,1,0,90,32,8,37850.0
2,1,0,0,1,60,4096,10,101460.2
4,0,0,0,0,20,2048,10,123841.8
5,1,0,0,1,30,16,0,9214.8
2,1,0,1,1,60,1024,4,11871.6
1,0,0,0,1,100,128,4,11773.0
4,1,1,0,0,90,128,10,111841.4
2,1,1,0,0,10,64,8,99393.2
1,0,1,1,0,40,32,6,91891.0
1,0,1,0,1,100,32,0,17712.4
2,0,0,0,0,90,1,0,11216.4
5,1,0,1,1,50,16,8,121666.6
5,0,1,0,0,90,16,8,122084.2
2,0,0,0,0,100,1024,6,88577.4
3,1,0,1,0,50,2,0,13117.6
3,1,1,0,1,0,128,10,48071.8
2,1,1,0,0,0,1,10,85155.0
4,0,1,1,0,20,512,10,413774.8
5,1,1,0,1,20,1,6,47288.8
5,0,1,0,1,50,4096,0,9184.4
1,1,1,0,0,80,8,0,17770.8
3,1,1,0,0,80,4,2,12905.6
1,0,1,0,1,70,1024,10,101075.2
2,0,0,0,0,50,2048,6,89595.0
4,0,0,0,1,70,32,10,116159.2
1,1,1,0,1,30,8,2,17726.2
4,1,0,0,1,90,2,10,180702.0
4,0,0,1,0,30,32,0,35665.6
4,1,0,1,0,30,1024,4,43329.2
2,1,1,0,1,90,256,4,4307.4
4,1,0,1,0,80,128,8,124826.6
3,1,0,1,1,90,64,4,12273.2
2,0,1,1,0,10,32,8,105763.2
5,0,0,0,0,80,4096,6,47810.4
5,0,1,1,1,40,1,0,9110.8
1,1,0,0,0,100,512,0,17752.8
4,0,0,1,0,70,1,8,123523.8
4,1,1,1,1,10,2048,10,415958.0
1,1,0,0,1,70,4096,8,100541.0
5,1,1,1,1,30,512,0,9250.8
5,0,1,1,0,100,32,8,121369.4
3,1,0,1,0,0,512,10,48080.4
3,1,0,0,1,0,4,6,20888.0
1,1,0,1,0,40,32,4,11894.8
2,1,0,0,1,60,4,4,11903.2
1,0,0,1,1,60,2048,6,90762.2
5,1,0,1,1,50,4,8,121350.2
1,0,1,0,0,90,1,8,83709.6
4,0,1,1,0,100,512,6,49493.6
5,0,0,1,1,20,32,2,9219.8
5,0,1,1,1,60,128,8,121932.6
4,0,0,1,1,70,1024,6,49679.4
2,1,1,1,0,90,2,8,117331.0
4,0,1,0,0,70,512,4,12884.4
5,0,0,0,1,0,32,8,121323.0
5,1,0,0,0,30,1024,2,9206.6
3,0,1,1,1,30,4096,0,12144.0
5,0,1,0,1,50,128,8,122037.2
1,1,1,1,1,90,512,10,102933.6
1,0,1,1,1,50,256,8,102981.4
3,1,1,0,1,50,16,8,37749.0
4,0,0,1,0,60,16,4,43667.8
5,1,0,0,0,100,8,0,9238.4
