new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
4,1,1,1,0,0,4096,8,115754.4
1,1,0,1,1,10,32,0,17766.4
5,0,1,1,0,40,2,8,121084.2
1,1,1,0,1,50,128,10,101740.0
2,0,1,0,1,100,16,0,4908.6
1,0,1,1,1,80,2,8,117744.6
5,0,0,0,1,70,16,0,9192.6
2,1,1,0,1,20,1,0,11186.6
3,0,0,1,0,60,1,10,50238.6
3,1,0,0,1,70,1024,8,38099.2
1,1,0,1,0,80,1,6,116337.0
4,0,0,0,1,50,8,8,48739.4
2,0,0,1,0,40,2048,4,11981.2
3,1,1,0,0,40,32,2,12110.4
4,1,0,1,0,10,1,2,35907.2
1,0,0,0,1,50,16,2,17700.0
2,0,1,0,0,0,128,6,82305.8
2,1,0,1,0,50,2,2,17656.8
4,1,1,1,0,90,64,2,35734.0
3,0,0,0,0,20,32,2,12064.0
2,0,0,0,1,50,128,10,101510.2
3,1,1,0,1,90,2,4,13036.6
1,1,1,1,1,20,16,10,105476.2
4,0,0,0,0,10,2,2,9732.2
5,0,0,1,1,20,8,6,47721.4
2,0,0,1,0,20,1,10,125119.4
3,1,1,1,0,60,4096,6,10702.6
3,1,0,1,0,0,2048,4,16011.0
4,0,0,0,0,70,1,2,10023.6
3,0,0,1,0,30,2,0,13028.6
3,1,0,1,0,30,512,6,10653.4
4,0,0,0,1,50,64,2,8954.4
3,0,0,0,0,0,1024,4,15966.0
3,0,0,1,1,60,8,6,12127.2
5,0,1,0,0,60,16,4,9161.8
4,0,1,0,0,80,4096,4,12770.4
2,0,0,1,1,40,4096,8,103049.4
4,1,1,0,1,80,128,0,8906.8
3,1,1,1,1,50,128,4,12180.8
3,0,1,0,0,10,32,4,12454.2
3,0,1,0,1,60,1024,6,10522.6
1,0,1,0,1,70,32,2,17717.2
2,0,1,0,0,60,512,2,4707.4
4,1,0,1,1,100,32,0,36014.4
5,1,1,1,1,40,128,6,47539.2
2,1,0,0,0,20,4,10,81279.6
5,1,0,0,0,80,64,0,9161.8
4,1,0,1,1,100,8,2,35948.4
5,1,1,1,1,80,32,4,9135.8
2,0,1,1,0,60,16,8,105256.2
2,0,0,1,0,60,16,4,12028.4
1,1,1,1,0,90,32,8,103650.4
2,0,1,0,0,80,16,8,95132.0
5,0,0,1,1,0,4,2,9269.0
5,0,1,1,1,30,2,2,9133.2
2,1,1,0,1,100,1024,8,101479.6
1,1,1,0,0,70,4096,6,88606.4
1,0,1,0,0,70,128,2,17700.0
1,1,1,1,1,10,1024,4,12362.6
4,0,0,0,0,70,2048,0,8954.2
4,1,0,0,1,70,4096,2,8910.2
4,0,0,0,1,70,256,6,19417.4
3,0,0,1,0,60,2,8,39395.8
1,0,0,0,0,30,1024,4,11935.4
3,0,1,0,0,50,1024,8,38124.8
5,1,1,1,0,60,512,8,121922.0
5,1,0,0,0,20,128,0,9137.2
1,1,0,1,0,40,128,8,103072.0
3,1,1,1,1,10,512,4,12292.4
1,1,1,1,1,100,256,0,17754.4
5,0,1,1,0,90,128,10,301883.4
4,0,1,1,0,60,2,10,417156.0
3,0,0,0,0,10,4096,10,50566.6
1,1,0,0,0,50,4,2,17716.2
5,1,1,0,1,20,1024,4,9168.4
4,1,0,1,1,70,4096,8,124912.8
3,0,1,1,0,40,2,10,48915.2
5,0,0,0,1,20,2048,8,121319.4
1,0,1,0,0,20,256,2,17670.4
1,1,1,0,1,10,2048,4,12396.4
2,1,1,1,0,50,4,4,12449.0
3,1,0,1,0,90,2,6,15498.8
5,1,1,1,0,80,64,6,47746.0
1,1,1,0,0,0,1024,10,85350.6
2,1,1,0,0,0,1,0,11394.0
2,1,0,1,0,30,2,8,117630.2
4,1,1,1,1,40,64,10,416488.6
1,0,0,1,1,30,4,2,17740.8
1,0,1,1,1,10,256,6,93716.6
3,1,0,1,0,40,4,0,12804.6
4,1,1,0,1,50,64,2,8962.0
2,1,1,1,0,10,32,8,105684.6
3,1,0,0,0,70,64,8,37987.6
3,0,1,0,1,80,8,4,12531.6
2,0,0,0,0,0,16,2,11430.6
2,0,1,1,1,80,2,2,17612.8
1,0,0,1,1,60,2,6,107252.4
1,0,0,1,0,80,2,10,117671.8
1,0,1,0,0,90,4,10,80765.6
1,1,1,0,1,10,4,4,12532.4
