WindowSize,CompressionLevel,Performance
21,11,244.72
16,8,7.548
15,10,291.618
13,10,313.652
15,3,2.392
20,11,246.08
12,1,1.542
19,6,9.336
12,6,3.846
12,5,3.746
19,0,1.614
17,0,1.606
10,6,3.386
14,10,301.488
18,7,8.628
20,1,1.636
16,9,9.094
14,7,5.896
20,10,246.512
15,3,2.392
24,6,10.176
20,3,2.546
12,0,1.528
18,8,9.684
19,9,14.048
13,6,4.3
13,2,1.942
11,0,1.526
16,7,6.998
24,10,392.744
23,7,20.474
12,1,1.542
17,4,2.848
18,5,6.714
23,4,2.726
11,0,1.526
18,7,8.628
10,3,2.616
19,11,258.502
16,8,7.548
14,7,5.896
16,9,9.094
19,11,258.502
16,7,6.998
16,0,1.59
17,3,2.564
20,8,14.64
16,4,2.77
10,7,4.874
11,0,1.526
15,10,291.618
23,8,37.284
13,4,2.972
21,9,23.614
17,8,8.454
21,7,15.806
18,6,7.51
14,1,1.46
21,8,18.874
16,4,2.77
17,9,10.152
13,9,6.862
17,10,307.144
24,4,2.708
19,11,258.502
15,2,1.972
16,5,5.392
18,2,2.094
14,11,301.078
17,0,1.606
17,6,6.34
22,4,2.748
17,8,8.454
17,8,8.454
23,9,63.68
10,9,6.246
14,6,4.874
24,5,7.154
15,10,291.618
23,7,20.474
15,9,8.084
24,5,7.154
10,1,1.666
18,0,1.628
22,4,2.748
15,2,1.972
23,5,7.178
16,7,6.998
21,8,18.874
24,1,1.57
10,0,1.662
16,11,284.296
21,8,18.874
21,4,2.768
12,9,6.47
14,6,4.874
16,2,2.026
19,6,9.336
12,9,6.47
19,11,258.502
