WindowSize,CompressionLevel,Performance
20,9,17.4
15,11,292.192
10,1,1.666
20,3,2.546
21,10,244.734
19,7,10.05
18,8,9.684
13,7,5.554
15,6,5.306
20,8,14.64
19,7,10.05
17,11,307.42
16,2,2.026
18,10,279.698
15,3,2.392
21,11,244.72
23,3,2.478
19,7,10.05
16,11,284.296
22,5,7.198
18,9,11.954
11,2,1.998
11,3,2.476
11,10,343.594
12,9,6.47
20,6,10.658
21,2,2.06
12,9,6.47
12,0,1.528
19,11,258.502
22,1,1.586
13,9,6.862
20,8,14.64
23,3,2.478
22,8,25.432
24,0,1.574
23,6,10.22
17,9,10.152
10,4,3.02
12,5,3.746
21,0,1.604
14,9,7.404
19,0,1.614
20,8,14.64
12,2,1.988
15,8,6.738
10,3,2.616
10,8,5.046
17,1,1.612
14,3,2.302
23,3,2.478
21,7,15.806
13,3,2.37
17,7,7.636
17,7,7.636
23,11,315.238
21,2,2.06
13,10,313.652
21,9,23.614
16,0,1.59
15,4,2.834
20,10,246.512
23,0,1.556
10,10,363.364
14,4,2.894
19,10,258.558
11,4,3.04
11,1,1.526
21,3,2.512
23,3,2.478
21,4,2.768
22,11,259.594
23,4,2.726
12,10,328.816
13,7,5.554
15,9,8.084
12,11,328.552
21,10,244.734
15,3,2.392
18,5,6.714
22,4,2.748
11,7,5.078
24,3,2.478
24,11,394.158
15,5,5.072
15,9,8.084
20,11,246.08
12,6,3.846
10,5,3.306
14,11,301.078
11,9,6.286
14,6,4.874
13,5,4.128
14,2,1.9
20,9,17.4
24,2,2.04
24,4,2.708
13,8,5.62
11,3,2.476
15,4,2.834
