fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,0,0,1,256,2,4096,46310.79996961002
1,0,1,1,0,64,8,256,141618.4000309779
0,0,0,1,0,256,2,256,46452.59999665804
1,1,0,0,1,256,8,256,131945.99995506846
1,0,0,0,1,128,32,256,133749.40002799072
1,1,1,0,1,128,32,1024,135218.99993253796
1,1,1,1,0,64,32,256,128814.80001534412
1,1,1,1,1,256,2,256,130773.4000425462
0,1,0,1,0,128,8,4096,46586.400012660306
0,1,0,1,1,128,8,256,47454.8000362907
0,1,0,0,0,256,8,1024,46097.5999806657
0,0,0,0,1,64,32,4096,46073.59998688841
0,0,0,0,1,128,32,1024,46299.200066121906
0,1,1,0,0,64,32,256,46143.999980631845
0,1,0,1,0,256,2,4096,47670.800028649064
1,0,1,0,0,128,32,256,135050.99995356452
0,1,1,1,1,256,8,256,46778.39993871036
0,1,0,1,1,128,8,4096,46535.600000108825
0,0,1,0,1,64,8,256,46344.4000829224
0,0,0,1,0,128,8,256,46366.599867399294
1,0,0,1,0,128,2,4096,134138.7999398973
0,1,0,0,0,128,8,1024,45980.79998022431
1,1,1,0,0,64,2,256,132226.39994896503
0,1,0,1,1,64,8,1024,47491.40001065994
0,0,1,0,1,64,8,256,46344.399960474206
0,0,1,1,1,64,2,1024,46681.7999492958
0,1,0,1,0,256,2,1024,46350.200012527326
0,0,1,1,1,256,8,256,46788.600002412764
0,0,0,0,1,256,8,256,46100.400060896296
1,0,1,1,0,64,32,4096,138943.39991524513
0,0,1,0,0,64,8,4096,46330.79994861433
0,0,0,0,1,128,2,256,47198.59998545821
0,1,0,0,1,128,32,4096,46213.60002791969
1,0,0,0,1,256,32,1024,139425.99999908626
0,0,0,1,0,256,8,256,46388.79990849157
1,1,0,1,0,64,2,1024,139402.39999754002
1,0,0,1,1,256,32,1024,135168.3999929322
1,0,0,0,0,128,32,4096,132886.0000395634
0,1,0,1,1,256,2,4096,46614.99997038005
0,1,1,0,1,64,32,4096,46412.39993874569
1,0,0,0,0,64,32,1024,135660.39997076258
1,0,0,0,1,256,2,256,133748.99989630896
1,0,0,1,0,64,2,1024,130482.99999312016
1,1,1,0,1,128,2,4096,134358.4000137411
1,0,1,0,1,256,32,4096,138982.60001064843
0,0,0,1,0,128,8,256,46366.59996700196
0,0,1,1,0,256,2,1024,46729.19994539748
0,0,0,0,1,256,32,1024,46176.60008642453
0,0,1,0,0,64,8,4096,46330.800016540124
1,0,0,1,1,256,32,4096,131185.4000674951
1,1,0,0,0,256,8,4096,133344.19994505247
1,1,1,0,0,64,8,1024,133447.60008507865
0,1,1,0,0,128,32,256,46144.00002823581
0,0,0,1,1,64,32,1024,46600.20002676517
0,1,0,1,1,64,2,1024,46520.60003940894
1,1,0,1,1,64,32,1024,123397.20009706383
0,0,1,0,0,64,32,256,46180.00006273904
1,1,1,1,0,128,32,256,130071.20004071866
1,0,0,1,0,64,2,4096,128320.79997953214
0,0,0,0,1,64,32,256,46295.399927816674
1,1,1,0,0,256,2,256,129738.19994864735
1,0,1,0,0,256,8,256,133510.3999129464
0,1,0,0,1,64,8,4096,46203.19996666128
1,0,0,0,1,64,32,4096,128417.79994422798
1,1,1,1,0,128,2,4096,127278.19996854615
0,1,0,1,1,64,8,1024,47491.40001235081
0,1,0,1,0,128,2,4096,46394.399937923525
1,0,1,0,0,64,2,4096,134209.20008284834
0,0,1,0,0,64,32,256,46179.9999289613
0,1,1,1,1,128,2,1024,46877.19998165347
1,0,1,0,1,64,2,256,134987.19997124848
0,1,1,1,1,64,8,1024,46751.79995354654
1,1,1,0,1,128,8,1024,132620.2001388922
0,0,1,0,0,256,32,4096,46148.20001037194
1,0,1,1,0,128,2,4096,131911.20001378143
0,0,0,1,1,128,2,256,46335.59998844898
0,0,1,1,0,256,2,1024,46729.20007839391
0,0,0,0,0,256,2,256,46207.600042021484
0,1,0,0,1,256,32,1024,46191.20001800029
1,0,1,1,1,256,32,256,137724.2001649995
1,1,0,1,0,64,32,4096,131300.999946711
1,1,1,1,1,256,8,4096,134411.40008001935
1,0,0,0,1,256,2,1024,130366.799959377
0,0,0,1,0,256,2,256,46452.600015151016
1,0,1,0,0,64,32,256,137127.0000376621
1,0,1,1,0,128,2,256,138332.6001081268
0,0,0,1,1,256,2,256,46438.19999211563
0,1,0,1,1,256,2,4096,46615.00000486298
1,0,1,1,1,64,8,1024,142008.00004806308
1,1,1,1,0,128,32,256,130071.2000587455
0,0,0,1,1,256,8,4096,46339.399996077234
1,1,1,0,1,256,32,256,129297.00002509118
0,1,0,0,0,256,8,4096,46101.99994846974
0,1,1,1,1,256,2,256,46692.80002194452
1,0,1,0,1,256,2,1024,134831.59992320012
0,0,1,0,1,64,32,4096,47106.40006362224
0,0,0,0,1,128,32,256,46035.00000953814
1,1,1,0,0,128,8,1024,133603.00000492696
1,1,1,0,1,64,8,4096,127743.79998376725
1,0,1,1,0,64,2,1024,140228.00005123156
