new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
4,1,3,1,1,1,1,0,0,1,23.334
3,2,1,1,0,1,0,1,1,0,40.47
2,2,3,0,0,1,0,1,1,0,62.374
1,1,3,0,1,0,0,1,0,0,92.748
1,2,2,0,1,1,0,0,0,0,122.012
4,3,2,0,1,0,0,1,1,0,40.928
2,3,3,0,0,1,0,0,0,0,89.296
1,3,2,1,0,1,0,1,1,0,147.438
3,2,2,1,0,1,0,1,0,0,46.97
2,1,2,1,0,1,0,1,0,1,46.984
4,3,1,1,0,1,0,1,0,1,46.988
4,2,2,0,0,0,0,1,1,1,31.896
1,1,3,0,0,0,0,1,1,0,93.868
2,1,3,1,1,0,0,1,1,1,45.76
4,2,1,1,1,1,1,1,1,0,31.514
1,2,2,0,1,0,1,1,1,1,124.732
2,2,2,1,0,0,0,0,0,1,62.026
3,3,1,0,0,0,1,1,1,0,61.784
2,3,3,0,0,1,1,1,1,0,87.92
3,3,1,0,1,0,0,1,0,0,66.658
2,2,2,1,1,1,1,1,0,0,70.476
3,1,2,0,1,1,0,1,0,1,33.5
1,3,3,0,0,1,1,0,1,1,157.444
4,3,3,1,0,1,1,0,0,0,48.304
3,2,1,1,0,0,0,0,1,1,38.016
2,1,3,1,1,0,1,1,1,1,45.952
1,3,3,0,0,0,1,1,1,0,164.724
2,3,1,0,0,1,1,1,0,1,104.944
3,1,1,0,0,1,0,1,1,1,33.928
2,3,2,0,1,1,0,0,1,1,74.87
3,2,2,0,0,0,0,0,0,0,46.272
1,3,1,0,0,1,1,1,1,1,165.374
3,3,3,0,1,0,0,1,0,1,66.778
1,3,2,1,0,1,0,1,1,0,147.438
4,2,3,0,1,1,1,0,1,0,32.75
2,3,2,1,1,1,0,1,1,0,76.688
1,2,2,0,0,0,0,0,0,0,123.044
4,2,2,1,0,1,1,0,0,1,34.536
1,3,2,1,0,0,0,0,0,1,157.648
3,3,2,1,1,1,1,1,0,0,71.134
2,1,3,0,1,0,0,0,1,1,45.668
3,2,2,1,1,1,0,1,1,0,40.376
3,3,3,1,1,0,0,1,1,1,52.18
4,3,3,1,0,0,0,1,0,1,47.004
2,2,2,0,1,1,0,0,0,0,65.444
2,1,1,1,1,0,1,1,1,1,45.936
3,3,3,0,0,1,1,0,0,1,71.754
1,2,3,1,0,0,0,0,0,1,116.944
4,2,1,0,0,1,0,1,0,1,36.458
3,3,2,1,1,1,0,1,0,0,63.314
2,3,1,0,0,0,0,0,1,0,74.916
1,1,1,0,1,1,0,1,1,1,93.292
4,2,3,1,1,0,0,0,0,1,32.32
2,1,2,0,1,0,0,0,0,0,45.634
2,3,2,1,1,1,0,0,1,1,72.078
3,2,3,1,0,1,0,1,1,1,40.654
3,3,1,0,0,1,1,1,0,0,75.72
1,3,1,1,1,0,1,1,1,0,157.32
1,3,2,0,1,1,1,0,1,0,155.414
4,3,2,0,0,0,1,0,1,0,43.196
2,2,1,0,0,1,0,0,0,1,65.37
3,3,1,1,0,0,1,1,0,1,71.612
1,3,1,1,0,1,0,0,0,1,157.904
2,2,1,1,0,1,0,0,1,0,55.688
3,3,3,1,0,0,0,1,1,1,52.7
3,1,3,1,1,1,1,1,0,1,31.216
4,3,1,1,1,0,0,0,0,0,42.47
3,2,1,0,1,0,0,0,1,1,39.338
3,2,2,0,0,1,0,1,1,0,42.726
3,1,2,1,0,0,1,0,0,1,30.434
4,2,2,0,1,1,1,1,0,1,38.242
4,2,1,0,1,1,0,1,1,0,31.518
1,3,3,1,0,1,1,0,1,0,151.834
2,3,1,1,1,1,1,0,0,1,91.398
3,3,1,1,1,1,0,0,0,0,57.912
2,3,3,1,1,1,0,0,1,1,72.318
2,3,2,0,0,0,1,0,0,1,97.454
4,3,1,0,0,0,0,0,1,0,38.84
3,3,1,1,0,1,0,1,0,0,63.958
1,2,2,0,1,1,0,0,0,1,121.946
1,3,3,1,1,0,1,0,1,1,150.638
4,1,3,1,1,0,1,0,1,0,23.474
4,2,2,0,1,1,1,1,1,0,33.394
3,2,3,0,1,0,1,1,0,1,53.438
4,3,3,1,0,1,1,1,0,0,50.714
2,3,1,0,0,0,0,1,1,1,80.43
3,1,3,1,1,1,1,1,0,0,31.154
4,3,3,1,0,0,0,1,0,1,47.004
4,2,2,0,1,1,0,1,1,1,31.662
3,3,3,1,1,1,1,1,0,1,71.098
1,2,1,1,0,0,1,1,0,0,133.412
1,1,2,0,1,0,0,0,0,0,84.58
4,1,1,1,0,0,1,0,1,0,22.492
2,3,2,0,1,1,1,0,1,0,83.398
3,1,2,1,0,1,1,1,0,1,32.136
2,3,3,1,1,0,0,0,1,0,72.618
2,2,3,0,1,1,0,0,0,0,65.33
3,2,1,0,0,1,1,1,0,0,54.15
2,1,2,1,0,0,0,0,1,0,43.346
4,2,1,0,1,1,0,0,0,1,33.15
