WindowSize,CompressionLevel,Performance
22,11,259.594
18,3,2.562
10,3,2.616
10,10,363.364
19,8,11.508
17,3,2.564
17,2,2.102
15,11,292.192
15,3,2.392
18,10,279.698
21,7,15.806
16,0,1.59
18,5,6.714
21,1,1.598
17,0,1.606
21,1,1.598
11,9,6.286
19,5,7.372
20,8,14.64
20,7,12.338
12,1,1.542
19,5,7.372
17,11,307.42
10,6,3.386
17,0,1.606
20,10,246.512
23,10,318.954
17,11,307.42
12,10,328.816
23,6,10.22
14,4,2.894
18,11,279.692
11,10,343.594
24,10,392.744
17,6,6.34
14,4,2.894
14,3,2.302
17,0,1.606
12,5,3.746
11,1,1.526
11,9,6.286
20,8,14.64
12,5,3.746
21,4,2.768
23,10,318.954
15,11,292.192
22,4,2.748
17,1,1.612
14,10,301.488
12,3,2.426
12,8,5.318
10,1,1.666
16,10,285.0
19,5,7.372
24,10,392.744
22,7,19.626
20,11,246.08
24,5,7.154
11,7,5.078
17,0,1.606
14,9,7.404
22,4,2.748
17,10,307.144
16,6,5.77
17,2,2.102
18,7,8.628
13,4,2.972
20,3,2.546
11,10,343.594
16,7,6.998
24,1,1.57
22,0,1.596
21,7,15.806
20,3,2.546
12,8,5.318
10,4,3.02
17,7,7.636
24,6,10.176
18,3,2.562
13,0,1.514
17,0,1.606
18,2,2.094
16,2,2.026
11,10,343.594
17,11,307.42
11,11,343.996
18,10,279.698
17,0,1.606
12,2,1.988
20,4,2.808
13,3,2.37
22,5,7.198
13,8,5.62
17,3,2.564
21,7,15.806
17,7,7.636
17,2,2.102
13,11,315.078
17,3,2.564
11,3,2.476
