ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,64330.4
1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,75267.0
1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,89249.4
1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,83158.0
0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,82493.6
1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,81322.0
1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,84980.0
1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,69494.2
1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,77873.2
1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,84703.0
0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,86139.6
1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,63449.2
1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,74791.6
0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,90396.6
0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,89276.0
1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,76211.8
0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,88254.6
0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,91786.2
0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,67428.8
1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,78732.0
0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,79695.4
0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,90633.2
0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,78845.0
1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,80856.4
0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,69704.4
1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,73314.4
0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,72609.4
0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,70310.2
0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,82587.2
1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,91135.2
0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,73451.0
0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,86180.6
1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,81560.2
0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,86668.4
1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,72215.2
0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,88392.4
0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,99463.0
0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,85162.0
0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,78084.8
1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,84630.6
1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,74850.4
0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,74469.8
0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,79781.4
1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,66307.4
0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,87929.4
