ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,94854.0
1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,89440.4
1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,78683.6
1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,81438.6
0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,60950.2
1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,58493.2
0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,70438.0
0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,83685.0
0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,79976.4
0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,76757.4
0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,80455.8
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,67255.6
1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,89847.6
0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,63765.8
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,69075.6
0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,90191.0
0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,95396.0
1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,70809.8
0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,65804.4
0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,61410.6
0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,71381.6
1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,90116.4
0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,82939.0
0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,69639.4
0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,61488.0
1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,72758.8
0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,69343.6
0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,86569.4
1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,90425.0
0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,74731.8
0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,89354.8
0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,80610.2
0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,67407.4
0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,66163.2
1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,89301.8
1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,80449.4
0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,67889.6
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,66294.2
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,56827.2
0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,68722.8
1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,65458.2
0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,69655.6
1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,90373.4
0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,72721.0
0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,68003.8
1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,71466.8
1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,68977.6
1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,78709.0
1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,73575.0
1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,71747.6
0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,67407.0
0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,65637.8
1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,68053.4
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,70753.6
1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,67006.2
1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,81957.6
0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,70643.6
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,89409.8
1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,80083.2
1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,80310.4
0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,76227.0
1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,85115.8
0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,77146.8
1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,74139.8
1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,83499.6
1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,70610.6
0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,74547.0
0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,84545.6
0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,85306.0
1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,65415.6
1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,93057.4
1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,75243.6
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,70087.4
1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,70904.8
0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,72243.6
0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,63873.2
1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,68727.2
0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,63075.4
1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,73933.0
1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,94152.2
0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,92047.6
0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,83467.2
0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,72044.8
0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,78893.0
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,57722.6
0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,77946.6
0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,89995.6
