new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
1,1,1,1,0,70,256,0,17758.0
1,1,1,1,1,80,2048,4,11801.2
1,1,0,0,0,70,128,8,100495.4
5,1,1,1,0,80,4096,2,9175.0
5,0,0,1,1,0,32,8,121423.0
1,0,0,0,0,0,32,6,81976.0
4,1,1,0,1,80,64,8,39369.4
5,1,1,0,0,0,128,10,299742.6
5,0,1,0,0,50,8,0,9203.2
4,0,0,1,0,10,8,4,43152.2
3,1,0,0,0,70,2,10,48755.4
4,1,0,0,1,30,2048,6,19825.8
5,1,0,1,1,60,1024,6,47486.2
5,0,1,1,0,100,4,10,300103.2
3,0,0,0,0,100,4096,4,12149.8
3,0,1,0,1,20,512,6,10894.0
5,0,1,0,0,70,1024,4,9174.4
4,0,1,0,0,40,16,8,42499.0
4,1,1,1,1,100,2048,8,124937.6
4,0,0,0,1,20,512,6,20295.4
3,1,0,0,0,30,512,0,12123.2
3,1,0,1,1,80,4,4,12854.6
1,1,1,1,1,0,32,10,131753.0
2,1,0,0,1,70,512,4,4385.2
5,1,1,0,1,80,4096,10,299972.8
5,0,0,0,1,30,128,2,9157.4
4,1,0,1,1,50,256,0,35949.0
2,1,0,0,0,0,2048,8,85543.4
1,1,1,0,1,100,4096,0,17752.6
2,1,1,1,1,30,32,10,103846.6
3,1,0,0,1,10,64,6,11680.6
3,1,1,0,1,100,4096,4,12170.2
3,0,0,0,0,30,8,10,47528.2
5,0,1,1,1,30,4096,8,121687.2
1,0,0,0,0,50,256,4,11773.6
5,0,1,0,1,10,1,2,9102.6
5,1,0,1,1,0,1024,10,297772.0
1,0,0,1,1,20,4096,0,17820.8
2,0,1,1,0,100,512,0,17714.8
2,1,1,0,0,0,16,10,85437.8
3,1,1,1,1,40,8,0,12877.4
1,1,0,0,1,30,4096,0,17818.4
1,1,1,0,1,60,512,2,17746.2
2,1,0,1,1,90,2,2,17711.8
5,0,0,0,1,70,1,2,9125.0
4,1,0,1,1,0,1024,10,421004.4
2,1,0,1,1,80,1,0,17635.0
4,1,0,0,0,60,128,6,19480.6
5,0,0,0,1,10,2,6,47510.6
3,1,0,1,1,0,512,10,48014.4
3,1,1,0,0,50,2,0,13085.2
2,0,1,1,0,40,128,10,103043.8
3,0,0,0,1,30,8,4,12602.8
3,0,0,1,1,60,256,4,12190.2
4,0,1,1,0,10,2048,4,43018.6
3,1,1,1,0,50,512,2,12116.4
3,0,0,0,1,80,8,6,12251.8
5,0,0,0,1,100,128,0,9154.8
4,1,0,0,0,100,64,8,39086.0
2,0,1,0,0,50,4,10,80975.0
1,1,0,0,0,40,16,10,96158.2
5,0,0,1,0,90,128,8,121919.4
5,0,0,1,0,100,4096,6,47474.2
3,1,1,1,0,60,4096,2,12069.8
5,0,1,1,1,80,2048,2,9303.8
1,1,0,0,1,40,16,0,17707.8
2,0,0,0,1,90,32,4,4408.6
5,1,0,0,0,60,256,0,9185.2
2,1,0,1,0,30,16,4,12043.8
3,0,0,1,1,60,16,6,11295.8
2,1,0,1,0,20,16,6,93735.0
4,1,0,0,1,30,128,2,9004.2
1,0,0,1,0,90,8,10,109575.0
4,0,1,1,1,30,64,6,48963.2
5,0,1,0,1,30,4,8,121441.6
5,0,1,0,0,100,4096,0,9171.6
4,0,1,1,0,0,1,0,35202.0
3,0,0,0,1,90,2048,10,48357.0
1,0,1,0,0,60,4,10,80755.8
2,1,0,1,1,70,4096,10,103030.8
2,1,0,0,1,30,128,8,100575.6
5,0,1,1,0,90,128,8,121501.8
2,0,0,1,0,70,32,4,12005.8
1,0,0,1,1,40,1,6,116551.6
2,0,1,1,1,90,512,4,11814.8
2,1,1,0,0,40,32,8,99955.4
5,0,0,0,0,90,1,8,121246.8
3,1,0,1,0,20,32,6,10900.4
4,1,0,1,0,60,2,0,35901.0
4,1,1,1,0,10,128,6,48834.2
2,0,0,1,0,70,32,0,17648.0
5,0,1,1,0,0,512,0,9251.8
3,0,0,1,0,80,128,6,10819.8
3,1,0,1,0,40,1,6,18108.4
5,1,0,1,1,90,1024,0,9234.8
5,1,0,1,0,100,2,6,47304.2
2,0,1,1,1,30,8,6,98745.8
4,1,0,1,0,40,1024,4,43556.8
5,0,0,1,1,20,4,2,9203.0
2,0,1,1,0,40,64,2,17593.2
