new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,1,1,0,1,0,1024,5,337.4748
0,2,2,1,1,0,4096,0,337.4748
0,0,1,0,0,1,512,1,337.4748
1,0,2,1,1,1,2048,0,166.0536
0,2,1,1,0,0,2048,1,337.4748
1,1,2,0,1,1,1024,1,337.4748
1,1,2,1,1,1,2048,0,33.1484
0,2,2,1,1,0,1024,9,163.9654
1,1,2,1,0,1,2048,1,337.4748
0,0,1,0,0,0,512,0,166.1946
1,1,1,0,0,1,2048,5,337.4748
1,0,1,1,0,0,512,1,337.4748
0,0,1,1,0,1,1024,1,337.4748
1,2,1,1,0,0,512,0,337.4748
1,1,2,1,0,1,2048,5,337.4748
0,1,2,2,0,0,512,5,337.4748
0,0,1,1,0,1,4096,5,337.4748
1,1,2,0,1,1,2048,1,337.4748
1,2,2,0,1,0,2048,5,165.683
0,1,1,1,1,0,2048,5,337.4748
1,2,1,2,1,1,2048,0,337.4748
0,1,1,0,0,0,4096,5,337.4748
1,0,2,1,1,0,1024,1,337.4748
1,2,2,0,0,1,512,9,164.4074
1,2,1,0,1,0,2048,0,337.4748
1,2,2,1,1,1,1024,5,165.7098
1,2,2,0,0,1,4096,0,337.4748
1,2,2,2,0,0,4096,1,167.5774
1,2,1,2,1,0,512,5,337.4748
1,2,1,2,1,1,512,0,337.4748
0,1,2,0,0,0,512,9,337.4748
1,0,2,2,0,1,1024,0,164.182
1,0,2,0,0,1,512,0,165.605
0,1,1,2,1,1,2048,5,337.4748
0,1,2,2,1,0,512,1,337.4748
1,1,2,1,0,1,4096,5,337.4748
0,0,2,2,0,0,512,9,337.4748
1,1,2,2,0,0,4096,5,337.4748
0,2,1,0,0,1,4096,5,165.5558
0,2,1,2,0,0,512,1,337.4748
1,1,2,0,1,1,1024,1,337.4748
1,0,1,0,1,0,2048,0,166.9782
1,0,2,0,0,1,4096,1,337.4748
1,0,1,1,0,0,2048,0,337.4748
1,2,1,1,0,0,2048,9,337.4748
1,2,2,0,1,1,4096,5,165.6286
0,2,1,0,0,1,2048,0,337.4748
0,1,2,1,1,1,512,1,337.4748
0,0,1,2,0,1,512,0,337.4748
1,1,1,1,1,0,4096,9,337.4748
1,2,2,1,1,1,2048,5,165.1948
1,1,1,1,1,1,4096,1,337.4748
1,0,2,1,1,0,2048,1,337.4748
0,2,1,0,0,0,4096,1,167.098
1,0,1,0,1,0,4096,9,337.4748
0,1,1,2,1,1,4096,0,337.4748
1,1,2,2,1,1,4096,1,337.4748
0,0,1,2,1,0,512,1,337.4748
0,2,2,1,0,1,4096,1,165.3172
0,1,1,0,1,0,4096,9,337.4748
1,1,2,2,1,0,1024,9,337.4748
1,1,2,2,0,0,512,0,32.0308
0,0,1,1,0,0,512,0,337.4748
0,0,2,1,1,0,4096,1,337.4748
0,0,1,1,0,0,512,9,337.4748
1,0,2,0,0,0,4096,5,337.4748
1,2,2,1,1,1,4096,1,165.5916
1,0,1,2,1,1,1024,5,337.4748
0,2,1,1,1,1,1024,9,337.4748
0,0,1,2,1,1,1024,9,337.4748
0,0,1,2,1,1,4096,9,337.4748
1,0,2,1,0,0,2048,9,337.4748
1,0,1,0,0,1,512,9,337.4748
1,0,1,1,1,1,1024,1,337.4748
1,2,2,0,1,1,2048,5,165.2798
0,1,2,2,1,1,4096,0,31.6068
1,0,2,0,1,0,4096,1,337.4748
1,2,1,2,0,0,1024,5,337.4748
1,1,1,0,0,1,2048,0,33.0006
0,0,1,0,0,1,1024,5,337.4748
0,0,1,0,0,0,4096,5,337.4748
1,0,1,1,0,0,4096,5,337.4748
1,0,2,1,0,1,4096,0,166.4262
1,1,2,1,0,1,4096,0,33.1188
0,1,1,0,0,1,4096,5,337.4748
0,0,1,2,1,0,512,5,337.4748
0,2,1,1,1,0,512,5,337.4748
1,1,1,0,1,0,1024,1,337.4748
1,0,2,1,0,1,512,1,337.4748
0,0,2,0,1,1,4096,0,164.3484
1,0,2,2,1,0,512,9,337.4748
1,1,2,1,1,0,512,1,337.4748
1,1,1,1,1,0,1024,0,337.4748
1,2,2,1,1,0,1024,9,166.042
1,0,2,1,0,0,4096,9,337.4748
0,2,1,0,1,1,512,5,167.0458
0,1,1,1,1,0,2048,0,337.4748
0,1,2,2,0,1,1024,9,337.4748
0,0,2,2,1,0,1024,5,337.4748
1,2,2,1,0,0,512,5,165.398
