new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
5,1,1,0,1,40,4,4,9127.2
2,0,1,0,0,60,128,0,4733.0
5,1,1,1,1,10,16,2,9173.4
3,0,0,0,0,10,32,0,12414.6
1,0,1,0,0,40,4096,10,101819.0
5,1,0,1,1,100,512,4,9171.0
4,0,1,1,0,40,2,2,35735.6
3,1,0,1,0,100,2048,0,12155.4
2,1,1,0,0,0,1024,2,11376.4
2,1,1,1,0,30,16,4,11993.0
2,1,0,0,0,30,256,2,4848.4
3,0,0,1,0,0,128,0,15812.0
4,1,0,0,1,40,16,6,20528.8
2,1,0,0,0,80,128,2,4706.6
3,1,1,1,1,40,4,2,12899.8
5,1,0,1,1,10,512,8,121235.4
4,1,0,0,0,80,256,4,12842.4
1,0,0,1,1,90,4,8,114005.8
5,1,1,0,1,90,1,2,9127.8
2,0,1,0,1,90,256,2,4647.4
4,1,0,0,1,40,1,6,34953.8
3,1,1,0,1,40,4096,2,12112.0
1,0,1,1,0,20,256,4,12023.0
1,0,0,0,0,10,64,0,17713.6
2,1,1,0,0,100,4096,10,101664.6
5,0,1,1,0,40,128,0,9146.0
3,0,1,0,0,70,256,6,10701.0
3,0,0,0,1,10,8,6,12184.4
4,0,0,1,0,0,1024,10,421959.2
3,0,1,0,1,90,16,8,37284.0
1,0,0,1,0,80,512,4,11797.0
1,1,0,1,1,0,16,2,17954.6
4,0,1,1,0,40,512,0,35838.2
1,1,0,1,1,60,256,6,90678.0
4,1,1,1,0,70,8,10,416286.0
3,0,0,0,0,40,512,4,12314.0
4,0,1,1,0,90,512,10,416661.0
1,1,0,1,1,50,4096,0,17752.2
4,0,0,1,0,10,4096,0,35905.2
3,0,1,0,1,70,32,0,12218.4
5,0,1,0,1,30,128,2,9125.2
4,1,0,0,0,100,1,6,34783.0
2,1,0,0,1,30,32,4,4582.8
1,1,1,1,1,60,2048,4,11782.0
3,1,1,0,0,20,2048,0,12158.2
3,0,1,0,1,60,128,0,12020.6
1,1,1,1,1,70,16,2,17702.6
4,0,0,1,0,60,2048,10,415316.0
4,0,0,0,0,70,4,8,51290.6
4,0,1,0,0,100,4,10,157585.0
1,0,0,0,0,90,128,6,88785.0
2,1,0,1,1,10,32,0,17683.6
4,0,1,1,1,70,8,4,43453.4
1,1,0,0,0,0,1024,6,82156.4
2,1,1,0,0,100,8,0,5052.0
4,0,0,0,0,60,2,8,58771.2
5,0,1,1,1,40,8,4,9122.0
1,1,0,1,0,40,64,2,17704.4
2,1,0,1,0,50,1024,8,102913.6
1,1,1,0,0,10,128,6,88255.2
2,0,1,1,1,60,2048,0,17640.4
4,1,0,0,0,90,4,8,51434.4
3,1,0,1,1,20,16,2,12154.4
1,0,0,1,0,30,1,6,116310.8
3,1,1,1,1,90,512,8,37692.0
4,1,1,0,1,40,128,6,19874.8
5,1,1,0,1,10,1,6,47243.4
5,0,0,0,0,10,4096,10,300015.6
5,0,1,0,1,80,2048,0,9145.4
4,1,0,0,1,90,1,10,265532.6
3,0,1,0,0,40,1,6,18192.4
3,1,1,1,1,0,2,10,48105.6
4,0,1,1,1,10,128,8,124328.2
2,1,0,1,0,90,4096,2,17675.8
3,1,0,0,1,30,32,2,12174.4
3,0,0,0,1,50,4,8,37439.2
2,1,1,1,0,50,2048,4,11896.6
2,0,1,0,0,40,4,10,81074.0
2,1,1,1,1,100,128,2,17676.8
1,1,0,0,0,30,64,4,11947.2
5,1,1,1,1,80,4,2,9156.0
4,1,1,0,1,40,8,6,22648.2
1,0,1,1,0,70,4,6,103116.2
2,1,1,1,0,20,256,0,17625.4
5,0,0,1,1,90,4,2,9177.4
3,0,0,1,1,70,512,6,10745.4
1,1,0,0,0,0,256,6,82586.4
1,1,0,0,0,10,128,10,99775.6
4,1,1,1,1,0,4096,2,35649.2
2,1,0,1,1,100,64,6,90718.2
3,0,0,1,0,100,1,6,18148.6
4,1,0,1,0,20,32,8,124348.2
2,0,1,0,1,100,1,6,78780.8
2,0,0,0,1,30,4,2,5517.2
3,0,1,1,0,50,2048,0,12124.8
3,0,1,1,1,90,2,6,15587.4
4,1,1,0,0,10,8,2,9368.6
5,1,1,1,0,20,4096,2,9161.6
3,0,1,1,1,100,128,4,12176.2
1,1,0,0,1,80,2,6,73578.0
