spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,1,1,1,0,1,0,0,0,1,1,0,0,0,0.014979915156901351
0,1,0,1,0,0,1,1,1,0,0,1,1,1,0.005010038389021486
1,0,1,1,1,0,1,0,1,0,1,0,0,0,0.9940578211095161
0,0,1,1,1,0,0,1,1,0,1,1,0,1,0.026705792527965278
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0.9949877729148691
0,1,0,0,0,0,1,1,0,1,1,0,1,1,0.00992670112944305
1,1,0,1,0,0,1,0,0,0,1,1,1,0,0.996939529456747
1,1,0,1,0,1,0,0,0,0,0,0,1,1,0.9929955712809714
0,1,1,1,0,1,1,0,1,0,0,1,1,0,0.012938151958535942
1,0,0,1,0,1,1,0,0,0,1,0,1,1,0.9940313996802871
0,1,0,1,1,0,0,1,1,1,1,1,0,0,0.009930486441010336
1,0,0,0,1,1,0,1,1,0,0,1,0,1,0.9930087374648754
0,1,1,0,0,1,1,1,1,1,1,0,0,1,0.01690985246939238
1,0,0,0,1,1,1,1,1,1,0,1,0,0,0.9929551276030993
1,1,0,0,1,1,1,0,0,0,1,1,0,0,0.9920343992777957
1,1,1,0,0,0,1,0,0,1,1,0,0,0,0.9940254832075514
0,1,0,0,0,0,0,1,0,0,1,0,0,1,0.009826302908376676
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.006922667538038471
0,0,0,1,1,1,1,1,1,1,0,1,1,1,0.006021329053741988
0,1,1,0,0,0,1,0,1,1,1,1,1,1,0.018861192026670772
1,0,0,1,0,1,0,0,0,0,1,0,0,0,0.9940851603075553
1,1,1,1,1,0,1,1,0,0,0,1,0,0,0.9959746112985517
0,1,1,1,1,1,0,1,1,0,1,0,0,0,0.018902938674150122
0,0,1,0,1,0,0,0,1,0,1,0,0,1,0.03082229995782951
0,0,0,0,1,0,1,0,1,1,0,0,1,0,0.01789810793740186
1,1,1,1,1,0,0,1,1,0,1,0,0,1,0.996013964818162
0,1,1,1,1,0,1,0,1,1,1,1,0,1,0.011972419204334171
1,1,1,0,0,0,1,1,1,1,0,1,0,0,0.9940706029998919
1,0,1,1,0,1,1,1,0,0,1,1,1,1,0.9921040912443896
1,0,0,1,0,0,0,0,1,0,1,0,1,0,0.9970933555437896
0,0,1,0,1,1,0,0,0,0,0,0,1,0,0.006989379606802443
1,0,1,1,0,1,1,1,0,1,1,0,0,1,0.991933683664867
0,0,0,0,0,0,1,0,0,1,0,0,1,1,0.006997788176135912
0,1,0,1,0,1,0,0,1,0,0,1,0,1,0.01386449936246423
1,0,1,1,1,1,1,0,1,0,0,1,1,0,0.9930371600496644
0,1,1,1,0,1,1,0,1,1,0,1,1,1,0.012924741900986034
1,1,0,1,1,1,1,0,1,1,1,0,0,1,0.992118512821123
1,1,0,1,1,1,1,0,0,1,0,1,1,1,0.9940061354810922
0,1,1,1,1,1,0,0,0,1,1,0,1,0,0.017946192932283594
1,1,1,0,1,1,0,1,0,1,0,0,0,1,0.9941057428129253
1,0,0,1,1,0,0,1,1,1,1,0,1,0,0.995111694146836
1,1,0,1,1,0,0,1,1,0,1,1,1,1,0.9949632560944602
1,1,1,0,1,1,0,0,0,0,1,1,0,0,0.994039606457147
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.000943414814781344
0,0,1,1,1,1,0,0,0,0,1,1,0,0,0.007020582825557102
1,0,0,0,0,0,0,1,1,0,1,0,0,1,0.9920298376043868
0,1,0,1,1,1,0,0,1,1,0,1,1,1,0.018971117211799404
1,1,1,0,1,1,0,0,1,1,1,0,1,1,0.9940701291531108
0,0,0,0,1,1,0,0,1,0,1,0,1,1,0.006993040812725781
0,0,0,1,1,1,0,0,1,1,1,0,0,0,0.006902610493236895
1,0,1,0,0,0,0,0,1,1,1,1,0,0,0.9939619703971759
1,1,1,1,0,1,1,1,1,1,0,1,1,0,0.18366525979604795
0,1,0,0,1,0,1,0,0,1,1,0,0,1,0.021847708988501132
1,0,0,1,0,1,0,1,0,0,0,1,0,0,0.9930887415805705
1,0,0,1,0,1,0,0,0,1,0,1,1,0,0.9929732392666715
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.0009490877102468824
0,0,0,1,1,1,0,0,0,1,1,0,0,0,0.006995345119481266
1,1,0,1,1,1,0,0,1,0,1,0,0,0,0.9930061478008341
1,1,0,1,0,1,0,0,0,1,1,1,0,1,0.9931075989791011
0,0,1,0,0,1,1,1,1,0,0,0,1,1,0.007017247763906393
1,1,1,1,1,1,0,0,0,0,1,0,1,1,0.9940763283214116
0,1,1,1,0,1,1,1,0,0,0,1,1,1,0.012898792449615773
1,0,0,1,1,0,1,0,0,0,1,0,0,1,0.9940645194121309
0,0,0,0,1,1,0,0,1,1,0,1,0,1,0.0059980179204833185
1,1,0,1,1,0,0,0,0,0,0,0,1,0,0.9951308596790424
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.008969126899998426
1,0,1,1,1,1,1,1,1,0,0,0,1,0,0.9931112077180053
1,0,0,1,1,0,0,0,1,1,1,1,1,1,0.9940272019621655
0,1,0,1,1,1,0,0,1,0,1,0,1,0,0.019884140979468418
1,1,1,0,0,1,0,1,0,0,0,0,1,0,0.9930898751145456
1,0,0,1,0,0,0,1,1,0,0,1,0,1,0.9980722970183965
0,0,0,1,1,0,1,1,1,1,0,1,0,1,0.002039832406913109
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.011096129196740518
0,1,1,0,0,0,1,0,1,0,0,1,0,0,0.01781490387635887
1,1,1,0,0,0,0,0,0,1,1,0,1,0,0.985175388093431
1,0,1,0,0,1,0,0,0,0,1,1,1,0,0.9920729977514692
