ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,58536.0
1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,67537.0
0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,64577.6
0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,77516.6
0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,73836.8
0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,79890.0
0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,69211.4
1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,67176.4
0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,68543.6
1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,86786.0
0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,91226.0
1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,81234.6
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,63423.2
0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,75244.2
1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,76589.6
1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,78680.2
1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,84562.2
1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,87266.6
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,77730.8
1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,68124.4
1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,88211.6
1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,71011.2
1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,84330.4
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,56528.6
1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,78685.0
1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,83774.0
0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,81816.6
0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,84529.2
0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,73316.6
1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,70479.2
0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,83671.0
1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,75578.8
0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,64252.2
1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,81116.8
1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,78629.0
1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,85280.8
1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,67100.8
0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,73148.6
1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,80453.2
0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,83067.6
0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,92871.6
0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,91160.8
0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,93822.6
0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,74195.2
0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,83604.8
0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,84889.4
0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,84777.6
1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,83941.2
0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,70702.2
0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,77847.2
1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,86083.4
0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,69199.4
1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,90042.4
1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,82259.0
1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,64482.0
1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,76964.6
0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,92551.2
0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,61263.8
0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,89087.6
1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,94746.4
0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,80973.8
1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,87335.0
0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,68081.0
0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,67934.4
1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,91740.8
0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,83985.6
1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,74777.2
0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,79736.6
0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,77168.4
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,69751.2
1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,67698.2
0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,68260.0
1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,87707.0
0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,79816.0
0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,81643.0
0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,91225.2
1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,73491.8
0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,84336.6
1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,76042.0
0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,80626.2
1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,68223.4
0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,73502.4
1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,70008.0
