new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
3,2,2,0,1,0,0,0,0,0,45.3
1,2,1,0,1,1,1,0,1,1,116.314
2,2,1,0,1,1,1,1,1,1,65.968
1,1,2,1,1,1,1,0,1,0,80.156
2,3,2,0,1,1,0,1,1,1,80.196
4,1,2,0,0,0,1,1,0,0,25.346
1,2,1,1,1,1,1,0,1,1,110.394
2,1,1,0,1,1,0,1,1,1,49.338
1,2,2,0,0,0,1,1,1,1,125.56
3,3,3,0,1,0,1,1,1,1,61.224
1,2,1,1,0,0,1,1,0,0,133.412
3,1,2,0,0,1,1,0,1,0,32.322
3,3,1,0,0,1,1,1,1,1,61.73
3,2,2,1,1,0,0,1,1,1,40.3
4,3,1,0,1,1,0,0,0,1,44.928
4,1,3,0,0,1,1,1,1,0,25.212
2,3,1,0,1,1,1,1,0,0,103.514
3,3,1,1,1,0,0,0,1,0,49.054
4,3,1,0,1,1,0,1,1,1,40.828
3,2,3,1,1,0,0,0,1,0,38.846
2,3,3,1,1,1,0,0,1,0,72.436
4,2,1,0,0,1,1,0,1,1,31.856
3,3,1,1,1,1,0,0,0,0,57.912
4,3,2,1,1,0,0,0,0,0,43.108
3,3,3,0,0,0,1,0,1,0,59.878
2,2,3,0,0,1,1,0,1,0,63.122
3,3,2,1,0,0,0,0,1,1,50.068
1,2,1,0,1,0,1,1,1,0,124.142
4,3,1,0,0,0,1,0,0,1,49.802
3,3,3,1,1,1,1,1,0,0,71.242
4,2,1,0,0,0,1,1,1,0,33.536
3,2,1,1,1,1,0,0,0,0,42.55
4,2,3,0,1,1,1,1,0,0,37.944
3,1,1,1,1,1,0,0,1,1,28.656
2,3,3,1,1,0,1,0,0,1,92.068
3,3,1,1,0,0,1,1,1,1,59.066
3,2,3,1,1,0,0,1,1,0,39.958
4,2,2,1,0,0,1,0,1,1,31.35
2,2,3,1,0,0,1,0,0,0,66.816
4,1,2,0,0,1,1,0,0,0,24.628
1,3,3,0,0,0,1,1,1,0,164.724
2,2,1,0,0,1,1,0,1,1,62.4
2,1,1,0,0,1,0,1,0,1,49.936
3,2,2,0,0,1,0,1,1,1,43.036
4,3,2,0,0,0,0,0,1,0,39.264
1,1,2,0,0,1,1,0,1,0,87.196
3,2,1,0,1,1,1,1,0,0,53.388
4,2,3,0,1,0,0,0,1,1,30.716
1,3,3,1,0,0,0,0,1,0,138.57
1,3,1,0,1,1,0,0,0,0,164.016
4,2,2,0,0,1,1,0,0,0,36.582
1,3,2,1,1,0,1,1,0,1,183.878
3,2,2,0,0,1,1,1,1,1,46.292
2,3,1,0,1,1,1,1,0,1,103.722
3,2,1,0,0,1,0,0,0,0,45.836
4,3,3,1,0,0,1,0,1,1,42.394
4,2,3,1,0,0,0,0,0,1,32.798
3,1,2,1,1,1,1,0,0,1,29.398
1,3,3,1,1,1,1,0,0,1,172.042
3,2,1,0,1,0,1,1,1,1,45.788
4,1,2,0,1,0,1,0,1,0,24.244
1,2,2,0,1,1,1,1,1,0,124.088
2,2,2,0,1,0,1,0,1,0,62.566
4,3,2,0,0,1,1,0,1,0,43.276
4,2,3,1,0,1,1,0,0,1,35.498
1,2,2,1,0,0,0,1,1,0,113.2
4,2,1,1,0,1,0,1,0,1,34.462
1,2,3,1,1,1,1,1,0,0,132.308
1,1,3,1,1,0,1,1,1,0,86.656
3,3,2,1,0,1,0,0,1,0,50.354
1,2,1,0,1,0,1,1,0,1,140.73
2,1,3,1,1,0,1,1,0,0,45.972
4,3,2,1,1,1,0,0,0,0,43.484
2,3,1,0,0,0,1,0,1,1,83.59
1,3,3,0,0,1,0,0,1,0,142.864
2,3,1,0,0,0,1,0,1,0,83.266
2,1,3,1,1,0,1,1,1,1,45.952
4,2,1,0,0,0,0,1,0,0,36.266
1,1,1,1,1,0,0,1,1,0,86.092
2,1,1,0,0,0,1,0,0,0,45.952
1,3,2,0,1,0,0,1,0,0,180.108
2,2,1,1,0,1,0,0,0,0,61.738
3,2,1,0,0,0,1,0,1,1,43.438
1,2,1,0,1,0,1,0,0,0,128.39
1,1,3,0,1,0,0,1,1,0,92.982
1,3,2,0,0,1,0,1,1,1,153.87
4,1,2,1,0,0,1,0,0,0,23.396
3,2,1,0,0,0,0,1,1,1,42.904
1,2,1,1,1,0,1,1,1,0,117.458
4,2,3,0,0,0,0,0,1,1,30.876
1,3,1,1,0,0,1,1,1,0,158.85
1,2,1,0,1,1,1,0,0,0,129.166
2,3,2,0,0,0,0,0,0,0,88.364
2,2,3,0,1,0,0,1,1,0,62.298
1,3,1,0,1,0,0,1,0,1,180.746
1,2,3,1,0,1,0,0,0,1,117.372
2,1,2,1,1,0,0,0,1,0,42.288
3,2,3,1,0,1,1,1,0,1,51.372
4,1,1,0,0,0,0,1,0,0,24.922
4,3,2,0,1,0,1,0,0,0,49.458
