new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
3,2,1,1,0,1,0,1,0,0,47.03
1,1,3,0,1,1,0,0,0,1,85.054
2,2,1,1,0,0,0,1,0,0,67.672
4,3,2,0,1,1,1,1,0,1,53.078
3,3,1,1,1,1,0,1,0,0,63.74
1,1,2,1,0,0,1,0,0,1,82.364
2,3,1,1,1,0,1,1,0,1,98.764
2,3,1,0,1,1,1,1,0,0,103.514
3,2,2,0,0,1,0,0,1,0,40.534
2,2,3,0,1,1,0,0,1,0,58.482
1,2,3,0,1,0,0,0,0,0,121.71
3,2,1,1,0,0,0,0,0,0,43.18
1,1,1,1,1,0,0,1,1,1,86.502
4,1,1,1,1,0,1,1,0,1,23.192
1,3,2,0,1,0,0,0,1,0,141.914
3,3,1,0,1,1,1,1,0,1,74.976
3,3,1,0,1,0,1,0,1,1,58.066
2,3,1,0,1,0,1,1,1,0,87.392
1,2,3,1,1,1,0,1,0,0,126.404
4,2,2,1,1,0,1,0,1,1,30.714
3,3,1,1,0,1,0,1,0,0,63.958
2,3,1,0,0,1,1,0,0,1,97.326
2,3,2,0,0,1,1,0,1,1,84.082
1,3,1,0,1,1,0,0,1,1,140.884
3,3,1,1,0,0,1,0,1,0,56.496
3,3,3,0,1,0,1,0,0,1,69.816
4,1,1,1,1,1,1,0,0,0,21.942
2,3,1,0,1,0,0,1,0,0,95.386
4,2,1,0,0,1,1,1,1,1,33.69
3,1,3,0,1,0,0,1,1,1,33.552
2,3,1,1,1,1,1,1,0,0,98.636
3,2,2,1,1,0,0,0,0,1,42.744
3,1,2,1,0,0,0,0,1,1,30.076
2,1,2,0,0,1,0,0,1,1,46.054
1,2,3,1,1,1,1,1,0,1,132.954
3,1,2,0,1,1,0,0,1,1,31.296
2,2,2,0,0,1,0,1,1,1,62.67
2,1,3,0,0,0,1,0,0,0,47.166
1,3,3,0,0,1,1,0,1,0,156.818
4,1,2,0,1,1,1,1,1,0,24.838
2,1,2,0,1,0,0,0,0,0,45.634
4,2,2,0,0,1,0,1,1,1,32.536
3,1,2,0,0,0,0,1,0,0,33.74
1,2,3,0,1,0,1,1,0,1,140.696
1,1,2,1,1,0,1,1,0,0,86.828
3,2,2,1,1,1,1,0,1,0,41.478
2,1,1,1,0,1,0,1,0,0,46.578
3,1,3,1,1,0,1,1,1,0,31.416
2,2,2,0,1,1,0,0,0,1,65.054
3,1,3,0,0,0,0,1,0,1,34.05
2,1,2,0,0,0,1,0,1,0,46.85
3,3,3,1,0,0,0,1,1,0,52.69
3,2,2,0,1,0,1,1,1,0,45.788
4,1,1,0,1,1,1,1,1,1,25.064
4,2,3,1,0,0,0,0,0,0,33.148
3,1,2,1,0,0,1,1,1,1,31.914
3,3,2,1,0,0,0,0,1,0,50.36
1,3,3,1,1,0,0,1,1,0,146.08
3,3,3,1,0,1,1,0,0,1,67.632
3,2,3,0,1,1,0,0,1,0,40.458
4,2,1,1,1,0,1,1,0,0,35.482
4,1,2,0,1,0,1,1,0,0,24.78
2,1,2,0,1,1,0,0,0,0,45.188
1,1,3,1,1,1,0,1,0,0,86.272
4,3,1,1,0,1,0,1,0,0,47.058
4,2,2,1,0,1,0,1,1,1,30.378
4,1,1,1,0,0,1,0,0,0,23.034
3,2,3,1,1,1,1,0,0,1,47.424
4,2,2,1,1,1,1,1,0,0,35.664
4,1,1,1,0,0,1,0,1,1,22.622
4,3,1,1,0,1,0,0,1,1,37.176
1,1,2,1,0,0,0,0,0,0,81.224
4,1,3,0,0,0,0,1,0,1,25.184
3,1,3,0,0,0,1,0,1,1,32.84
3,1,3,0,0,1,1,1,1,0,34.046
1,2,1,1,1,1,0,1,0,1,126.692
4,3,1,1,1,0,0,1,0,1,46.252
4,1,2,0,0,1,0,1,1,1,25.342
3,2,3,1,1,0,1,1,0,0,50.224
2,1,2,1,0,0,0,1,1,1,46.968
1,1,1,0,1,0,0,1,1,0,92.746
2,3,1,1,0,1,0,0,0,1,83.504
3,1,2,1,1,0,1,1,1,0,31.14
2,1,2,0,0,1,0,1,1,0,49.774
3,3,3,1,1,0,1,1,1,0,58.782
2,1,2,1,1,0,0,0,1,1,42.344
2,1,2,0,1,0,0,0,0,1,45.592
4,2,1,1,1,0,0,1,0,1,33.932
4,3,2,1,1,1,0,1,0,1,46.55
4,2,1,1,0,0,0,1,1,1,30.422
2,2,2,1,1,0,0,1,0,0,66.472
2,2,3,0,1,1,1,0,0,1,69.82
4,1,1,0,1,0,1,1,0,1,25.11
1,1,1,0,1,0,1,1,0,1,94.092
1,2,3,0,0,0,0,0,1,1,110.28
3,2,1,1,0,0,1,0,1,0,41.666
2,2,2,1,1,0,1,0,1,0,59.252
3,3,3,0,0,1,0,0,1,0,52.332
2,3,3,1,1,1,1,1,1,0,83.976
2,3,1,1,0,0,1,0,0,0,92.174
