new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
3,0,1,0,1,40,1,10,50319.2
1,1,0,1,1,90,16,6,93918.2
3,1,0,1,0,70,4,2,12846.2
3,1,0,1,0,20,1024,6,10960.8
5,0,0,0,0,100,16,4,9181.0
1,0,0,0,0,80,256,4,11755.0
4,1,0,1,1,50,1,10,419080.2
1,0,1,0,1,30,512,8,100432.6
3,1,1,0,0,80,2048,6,10624.0
5,0,1,1,1,40,256,6,47553.8
3,0,1,1,1,20,4096,2,12134.4
1,1,1,1,1,100,16,4,12052.6
4,0,0,1,1,100,32,6,49610.4
4,0,0,0,0,10,4096,0,9273.0
5,0,1,0,0,10,1024,8,120698.8
2,0,1,1,1,50,8,6,98630.6
5,1,1,1,0,0,8,8,121239.2
4,1,0,0,1,10,8,10,166194.4
3,0,0,1,1,40,2048,0,12131.8
1,1,1,1,0,60,4096,2,17827.6
4,1,0,1,1,60,128,0,35800.8
5,0,0,0,1,30,4,6,47513.6
4,1,0,0,1,100,2,10,180706.4
2,1,0,1,0,10,128,0,17623.8
1,0,0,0,0,100,16,10,94955.2
4,1,0,1,0,90,64,4,43646.6
2,0,0,1,1,50,16,10,105313.0
3,0,1,1,0,90,8,8,37621.0
4,0,0,1,1,60,2,0,35977.8
5,0,1,0,1,90,32,2,9205.8
5,1,1,0,0,50,1024,6,47455.4
5,1,0,0,0,30,1,8,121041.6
3,1,1,0,0,60,1,2,14290.8
4,1,1,0,0,90,64,10,112682.0
5,1,0,0,0,100,8,6,47590.4
1,0,0,0,1,0,1,2,17899.2
5,1,1,0,1,20,128,0,9128.2
3,1,0,1,1,20,16,10,48058.6
3,0,0,1,0,10,256,0,12370.4
2,0,1,1,0,100,16,2,17628.8
1,1,1,1,0,80,32,2,17748.6
1,1,1,1,1,80,128,0,17721.2
1,1,1,0,0,20,256,0,17672.0
2,0,0,1,0,50,64,4,11964.4
3,0,0,0,1,70,512,6,10708.8
1,1,0,1,0,30,1024,4,11964.2
3,0,1,0,1,50,16,2,12318.6
4,0,1,1,0,20,2048,8,123865.2
2,0,0,1,0,60,2,4,13330.4
3,0,0,0,0,20,64,6,11071.2
5,0,0,0,0,30,4,4,9097.8
3,0,0,0,0,100,64,6,10741.6
1,0,1,0,0,80,32,6,88174.2
3,0,0,1,0,100,64,10,48382.8
5,0,1,0,0,20,2,4,9102.0
2,1,1,1,1,70,64,10,102666.8
2,0,0,1,1,90,16,2,17684.2
2,1,0,0,0,10,8,6,76738.0
1,1,1,0,0,0,2,6,82119.6
3,1,0,0,0,90,32,4,12093.2
4,0,0,1,0,60,128,8,124856.2
3,0,1,1,0,0,512,0,15881.2
5,0,0,1,0,60,64,4,9223.4
3,0,0,1,1,100,64,6,10725.6
3,0,0,1,0,60,128,10,48640.8
2,0,1,1,1,0,1,4,18513.0
1,0,1,0,0,70,4,6,72650.4
5,1,0,1,0,10,4096,6,47572.0
2,1,0,1,0,0,1,10,131485.8
1,1,0,1,0,10,32,10,105795.6
3,0,1,0,0,80,512,6,10613.0
4,1,1,0,1,10,16,8,46664.0
2,1,0,1,0,50,1,10,125081.0
5,0,1,0,1,80,512,6,47510.4
4,1,1,0,1,60,512,4,12867.0
3,1,1,0,0,20,4096,4,12220.4
4,1,0,0,0,40,8,8,48934.2
4,1,1,0,0,100,4,2,9371.4
5,0,1,1,1,70,16,6,47606.4
1,1,0,1,0,80,1,8,125632.6
1,1,1,1,1,0,2,10,131727.6
4,0,0,1,1,0,2,2,35422.2
3,0,0,0,0,0,1,10,48214.6
1,0,0,0,1,80,1024,2,17804.8
5,1,1,1,1,90,256,6,47719.6
4,0,0,0,0,70,8,0,9135.2
4,1,0,0,0,30,2,2,9582.6
3,0,1,1,0,0,32,0,15975.2
5,1,0,0,1,60,4096,8,122028.0
5,1,0,0,1,80,32,10,301623.8
3,0,1,0,1,100,16,6,11264.8
3,0,1,0,1,50,4,2,12816.0
3,0,1,1,1,30,2,4,13221.0
2,0,0,0,1,70,4,10,80914.2
5,1,0,1,1,20,16,10,299959.4
4,0,0,1,0,0,32,10,421248.2
3,1,0,0,1,80,16,4,12220.6
2,0,1,1,0,50,128,10,102846.2
3,1,1,1,1,90,1,6,18236.8
4,0,1,1,1,20,4096,0,35781.4
