new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
3,2,3,1,1,1,0,0,1,0,38.602
1,3,1,1,0,0,1,1,1,1,159.598
2,2,3,0,0,0,0,0,0,0,66.246
1,2,2,0,1,0,1,1,0,0,139.71
2,2,1,0,1,0,0,0,0,0,64.352
2,1,2,0,0,0,0,1,0,0,49.612
1,3,3,0,1,1,1,1,1,0,164.092
3,2,3,1,0,1,1,0,1,1,42.322
4,2,1,0,0,1,0,0,1,1,29.52
1,3,3,1,0,1,0,1,1,1,147.684
1,1,3,1,1,0,0,1,1,1,86.65
4,3,1,0,1,0,0,1,1,0,40.908
4,1,1,1,1,0,0,0,1,1,21.586
2,3,2,1,1,0,0,0,1,0,72.204
1,2,3,0,1,1,0,0,0,1,122.42
2,1,1,0,0,0,1,0,0,0,45.952
2,2,2,0,1,1,1,1,0,1,74.972
2,1,2,0,1,1,1,0,1,0,46.02
1,2,3,1,1,0,0,1,0,0,125.778
1,2,3,1,1,0,0,1,1,1,111.856
2,1,1,0,0,1,1,0,0,0,46.122
2,2,1,1,1,0,0,0,1,0,54.768
1,2,1,0,0,1,1,1,1,1,125.576
3,2,3,0,0,1,1,0,1,1,44.33
4,1,1,0,0,0,0,0,1,1,23.488
4,2,3,1,1,1,0,1,1,1,29.872
3,2,1,0,0,0,0,1,1,0,42.516
4,2,2,0,0,1,0,0,1,0,30.662
2,2,2,0,1,1,0,1,0,1,71.19
3,3,1,0,1,1,0,0,0,1,60.3
2,1,3,0,0,0,0,1,0,0,49.474
2,1,2,0,0,1,1,0,0,1,46.638
4,1,1,0,1,1,0,0,0,1,23.328
1,2,3,0,1,1,1,0,1,1,117.306
1,3,3,0,1,0,1,0,0,0,178.614
3,3,3,1,0,1,0,1,0,1,64.254
1,3,2,1,0,1,0,1,0,0,173.734
4,2,1,1,0,0,1,1,1,0,31.762
3,2,1,0,1,1,0,0,0,1,44.916
1,1,1,0,1,1,1,0,1,0,85.196
2,3,3,0,0,1,1,0,1,1,84.166
1,1,1,1,1,1,1,1,0,0,86.752
3,2,3,1,0,0,1,0,1,1,42.34
3,2,1,0,0,1,1,0,1,1,43.634
3,1,3,0,1,1,1,0,0,1,32.082
1,1,1,1,0,1,0,1,0,1,88.912
3,3,2,1,1,0,0,1,1,1,52.088
2,2,1,1,0,0,0,0,0,1,61.658
1,3,2,1,0,1,0,1,1,1,147.528
2,3,2,0,0,0,0,0,1,1,75.228
1,1,2,0,0,0,0,0,1,1,86.152
4,3,3,1,1,0,1,1,1,1,42.672
4,3,3,1,1,1,0,0,1,0,38.178
2,1,3,1,1,0,0,1,1,1,45.76
3,1,2,1,1,1,1,1,1,0,30.992
1,2,1,1,0,1,0,0,1,1,104.452
4,1,3,0,0,1,0,1,0,1,25.41
3,1,3,1,0,0,0,0,0,0,30.808
2,3,2,0,1,0,1,0,0,1,95.928
2,2,3,1,1,0,0,1,1,1,59.044
3,3,2,0,1,0,0,1,0,0,66.744
3,1,1,1,0,0,1,0,1,0,29.898
2,2,2,1,1,1,0,0,0,0,61.57
4,3,1,0,0,0,1,1,0,0,53.148
3,3,3,1,0,0,0,1,1,0,52.69
4,1,1,1,0,1,0,1,0,0,23.49
4,1,1,1,0,1,1,0,1,1,22.522
4,1,1,1,0,0,0,0,0,0,22.312
1,3,3,0,0,0,1,0,0,0,181.204
2,3,1,1,0,0,1,1,0,1,99.532
2,3,3,1,1,1,1,0,0,0,92.482
4,1,1,1,0,1,1,0,1,1,22.522
1,1,3,0,1,0,0,0,0,1,85.176
4,3,3,1,0,1,0,0,1,1,38.492
3,2,2,1,0,1,0,0,0,0,43.802
1,3,1,1,0,0,0,1,1,1,147.982
4,2,3,1,1,0,0,0,1,1,29.14
4,2,1,1,1,1,0,1,0,0,34.218
4,3,3,1,0,0,0,0,0,1,43.952
3,2,1,1,1,0,0,0,0,0,42.238
2,1,3,0,0,0,1,1,1,0,50.254
1,2,3,1,1,0,1,0,1,1,111.482
2,1,1,1,0,0,1,1,1,0,47.338
4,2,3,1,0,0,0,0,1,1,29.528
3,1,1,1,0,0,1,0,0,0,29.912
3,2,2,1,0,1,1,1,0,0,51.16
2,1,3,1,0,0,0,0,1,0,43.926
2,2,1,0,0,0,1,1,1,0,66.55
3,3,2,0,0,0,0,1,1,0,55.026
4,1,3,0,0,1,1,1,0,0,25.22
2,3,3,1,1,0,0,0,1,1,72.55
3,1,2,1,1,0,0,0,0,0,29.466
1,1,2,1,0,0,1,0,0,0,82.198
3,2,1,0,1,1,1,0,0,0,49.374
4,3,2,0,0,0,1,1,0,0,53.128
1,1,3,1,1,0,1,1,0,1,87.292
1,1,1,1,0,0,1,0,0,1,81.712
3,1,2,1,1,1,1,1,1,0,30.992
1,1,2,0,0,0,0,0,1,1,86.152
2,2,3,0,1,1,0,1,1,1,62.564
