topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,1,4,10,1,0,1000,1000,1024,10000,5,29,0.24806902691150357
2,1,2,1000000,10,0,1,10,1024,10000,2,29,2.0000264900806624
2,1,2,1000000,1,1,1000,10,512,10000,5,0,2.00005046642772
4,10,4,1000000,1,0,1,10,512,100,5,0,0.0009215802401894337
2,10,2,1000000,10,1,1,10,512,100,2,0,1.999892095607357
2,10,2,1000000,1,1,1,10,512,10000,2,29,2.0000000146552916
2,1,4,10,10,0,1000,1000,1024,10000,5,0,0.32367552326165044
2,10,4,1000000,1,1,1000,1000,512,100,2,29,1.999988413735941
2,10,4,1000000,1,1,1,10,1024,10000,2,0,2.0000244604703683
2,1,2,1000000,10,0,1,10,512,10000,2,0,1.9999931124941135
2,1,4,1000000,10,1,1000,1000,1024,10000,5,0,1.999999264801134
4,1,4,1000000,1,0,1,10,512,10000,2,0,2.000069109621992
2,10,2,1000000,10,0,1000,1000,512,10000,2,29,1.9999082108471626
4,10,4,1000000,10,0,1,1000,1024,10000,2,0,2.0000530924554165
4,1,2,1000000,1,1,1,1000,512,10000,5,0,0.00061844940613446
4,10,2,10,10,1,1000,10,1024,10000,2,0,1.9999125077436342
4,1,2,10,10,1,1,10,1024,100,5,0,0.08606209390242554
4,1,2,1000000,10,0,1,1000,1024,10000,2,29,0.005189414960064696
4,10,4,10,10,1,1000,10,1024,10000,2,29,1.9999741531570656
4,10,2,1000000,1,1,1000,1000,512,10000,2,29,1.999985218955804
2,1,4,10,1,1,1000,1000,1024,100,5,0,2.0000033144486324
4,1,2,1000000,1,1,1,10,1024,10000,2,29,2.0000301473909605
2,10,4,10,10,0,1,10,1024,100,5,29,0.13387584697381197
4,1,2,10,10,1,1000,1000,512,100,2,0,1.9999292137071734
4,1,4,1000000,1,0,1,10,512,10000,2,29,2.0000566387484633
2,1,2,1000000,1,1,1000,10,512,100,5,0,1.999954315289245
2,10,4,1000000,1,1,1000,1000,512,100,5,0,2.000054865773839
2,1,2,10,1,1,1,1000,512,100,2,0,1.9999102729556426
2,10,4,1000000,10,1,1000,10,512,10000,2,0,2.0000473560402066
4,10,4,10,10,0,1000,1000,1024,10000,2,0,0.4369887012044094
4,1,4,1000000,10,0,1,1000,512,10000,5,29,0.0012958217395116361
4,1,2,10,1,0,1000,1000,512,100,2,29,2.00005632205538
4,1,4,1000000,10,1,1,1000,512,100,5,0,2.0000056704169697
4,1,2,1000000,1,1,1,1000,1024,100,5,29,1.9999989104744138
4,10,2,1000000,1,0,1,10,512,100,2,29,0.002976363083086317
2,10,4,1000000,1,0,1,1000,512,10000,2,0,0.0024815080632816003
2,1,2,10,1,1,1000,1000,1024,100,5,29,1.9999873333898364
2,10,2,10,10,1,1000,1000,1024,10000,2,29,0.7398819606985314
4,1,4,10,1,0,1000,1000,512,100,2,0,1.9999705339323988
2,1,4,10,10,1,1000,10,1024,100,5,29,0.31344968454735406
4,10,4,1000000,1,1,1,10,512,10000,5,29,2.000050124611308
2,10,4,10,1,1,1000,1000,512,100,5,0,1.999965234021231
4,10,2,10,1,1,1,1000,512,10000,5,0,0.014183126296168502
4,10,4,1000000,10,0,1,1000,512,100,5,0,1.9999312383918995
2,1,4,10,1,1,1000,10,512,100,5,29,0.37963013050548405
2,1,4,10,10,1,1,10,1024,100,2,0,0.15011405519822188
2,10,2,10,10,0,1,1000,1024,10000,2,0,0.14839529013654237
4,10,2,1000000,10,0,1,1000,512,10000,2,0,0.006048365702803857
2,10,2,1000000,1,0,1000,1000,512,100,2,29,2.0001117376061313
4,1,2,1000000,1,0,1000,1000,512,10000,2,0,0.00012926552284683887
4,10,2,10,1,0,1,10,512,100,5,29,0.014538198855075879
4,10,4,10,10,0,1,1000,1024,10000,2,0,0.14229655562616142
4,10,4,1000000,1,0,1,1000,1024,10000,2,0,0.002260319800414842
4,1,4,1000000,1,1,1000,10,1024,10000,2,0,2.000025471609385
4,10,4,1000000,10,0,1000,1000,1024,10000,2,0,2.0000103315073887
4,10,2,1000000,1,1,1000,1000,1024,10000,2,0,2.000088238320623
2,10,4,1000000,1,1,1000,10,1024,100,5,29,5.842714710712342e-05
2,10,4,10,10,0,1000,10,512,100,2,0,0.7193174948784996
4,1,4,10,10,0,1000,10,512,10000,5,29,2.0000592009005826
