new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
1,2,1,0,1,1,4096,1,167.1182
1,2,1,1,1,0,4096,0,337.4748
0,0,2,1,0,0,2048,5,337.4748
0,0,1,2,1,0,1024,9,337.4748
0,2,2,0,0,0,512,1,164.9276
0,2,1,2,0,0,2048,1,337.4748
1,0,1,1,1,1,4096,5,337.4748
1,1,2,0,1,1,512,0,32.436
1,2,2,0,1,1,2048,1,165.4646
0,1,2,0,1,1,512,5,337.4748
0,0,2,0,1,0,1024,1,337.4748
0,0,1,2,1,0,1024,1,337.4748
1,2,2,1,0,0,4096,0,337.4748
0,0,1,0,0,1,4096,9,337.4748
1,2,1,1,0,0,512,0,337.4748
0,0,2,0,1,0,4096,5,337.4748
1,1,1,0,0,1,1024,0,32.7674
1,0,1,1,1,0,4096,0,337.4748
1,0,1,2,0,0,4096,9,337.4748
1,2,1,1,0,0,2048,9,337.4748
0,2,1,0,0,1,1024,9,165.5612
1,2,2,1,1,0,1024,5,165.7048
1,0,1,1,1,0,1024,5,337.4748
0,1,1,2,1,0,1024,5,337.4748
0,2,1,2,0,1,2048,1,337.4748
0,2,1,0,0,0,4096,1,167.098
1,0,1,1,1,1,4096,5,337.4748
1,1,2,2,1,1,1024,9,337.4748
1,1,1,1,1,1,512,1,337.4748
0,0,1,2,1,1,512,1,337.4748
1,2,2,2,0,1,1024,5,165.774
0,1,1,1,0,0,1024,1,337.4748
1,1,1,0,0,0,512,5,337.4748
0,0,2,1,1,0,512,0,165.6874
0,0,1,2,1,0,4096,0,337.4748
1,1,1,0,0,1,2048,9,337.4748
0,1,2,1,0,0,1024,5,337.4748
0,2,1,2,0,0,512,1,337.4748
1,0,1,1,1,1,1024,1,337.4748
1,2,1,1,0,0,512,9,337.4748
1,0,2,0,0,1,512,0,165.605
0,0,1,1,0,0,1024,5,337.4748
1,0,2,1,0,1,1024,0,163.0718
0,0,1,1,1,1,2048,0,337.4748
1,0,1,2,0,0,2048,1,337.4748
0,2,1,1,0,1,2048,5,337.4748
0,1,2,2,1,1,1024,5,337.4748
1,2,1,1,1,0,4096,5,337.4748
0,2,1,2,1,1,512,9,337.4748
1,0,2,1,0,0,2048,0,166.1558
1,0,1,1,0,1,2048,5,337.4748
0,1,2,1,0,0,1024,0,31.283
0,1,1,0,0,1,2048,5,337.4748
0,2,2,0,0,1,4096,0,337.4748
1,1,2,0,0,0,1024,9,337.4748
0,2,2,2,0,0,1024,1,165.342
1,0,2,0,0,1,1024,1,337.4748
1,2,2,1,0,1,1024,5,167.1158
1,2,1,1,0,1,512,9,337.4748
1,0,2,0,0,0,2048,0,166.4034
0,1,1,2,1,0,2048,1,337.4748
0,1,1,0,1,0,4096,9,337.4748
0,2,1,2,0,1,1024,0,337.4748
0,0,2,0,1,0,512,9,337.4748
1,2,1,1,0,1,2048,5,337.4748
0,1,2,2,1,0,2048,0,31.2782
1,0,2,2,1,1,512,5,337.4748
0,0,1,0,1,1,2048,9,337.4748
0,0,2,1,0,1,512,9,337.4748
1,0,1,0,1,1,4096,0,166.62
1,1,1,0,1,0,4096,9,337.4748
0,1,1,2,0,0,1024,9,337.4748
0,1,2,0,1,0,512,0,31.0946
0,2,1,0,1,0,1024,9,167.7622
1,2,2,1,0,0,512,0,337.4748
0,0,1,1,0,1,1024,9,337.4748
1,2,2,0,0,0,1024,5,166.8392
1,0,2,1,0,0,4096,5,337.4748
1,1,1,0,1,1,2048,9,337.4748
0,1,1,1,0,1,4096,0,337.4748
0,2,1,0,0,0,512,5,166.6212
1,0,1,1,1,0,512,1,337.4748
1,2,1,0,0,1,4096,0,337.4748
0,0,2,2,0,0,4096,0,167.2748
0,1,1,1,1,1,1024,0,337.4748
1,1,1,2,0,0,512,0,337.4748
1,1,1,1,0,0,2048,1,337.4748
1,1,1,2,0,0,4096,9,337.4748
0,0,1,2,0,0,512,9,337.4748
0,1,1,1,0,1,512,1,337.4748
0,2,1,2,0,0,4096,5,337.4748
1,1,1,1,1,0,2048,1,337.4748
0,2,2,1,1,0,1024,1,166.458
1,0,1,2,0,1,1024,1,337.4748
0,0,1,1,0,0,2048,9,337.4748
1,0,1,0,0,1,4096,0,166.5042
1,0,1,2,0,0,512,9,337.4748
1,0,2,0,1,0,512,9,337.4748
0,1,1,2,0,0,512,5,337.4748
0,2,2,1,1,0,2048,0,337.4748
