fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,1,1,1,64,8,4096,46753.39999672279
0,1,1,1,0,128,2,256,46517.799988053775
0,0,0,1,0,256,8,256,46388.80002730739
1,1,1,1,0,256,8,4096,129630.80001228873
0,0,0,0,0,64,2,4096,46558.59998471432
1,1,0,0,1,256,2,256,135922.00006418323
1,1,0,1,1,128,32,4096,131404.9999724419
0,1,0,1,1,128,8,1024,47354.39999594211
1,1,0,0,1,256,2,256,135921.99999598562
1,1,0,0,1,256,32,1024,135112.00003459802
0,0,0,1,1,64,8,4096,46806.600011762515
0,0,1,0,0,64,32,4096,46191.20001879626
1,0,0,1,0,64,8,256,133164.40001687393
0,1,0,1,1,128,8,256,47454.8000451474
1,0,1,0,0,64,2,1024,135076.2000455466
1,1,0,0,0,128,32,4096,134334.8000927915
1,1,1,0,1,256,32,256,129296.99993447505
0,1,1,0,0,64,32,1024,46145.000105783605
0,0,0,1,1,128,8,256,46472.39987731655
1,0,1,0,0,64,2,4096,134209.20003607104
1,0,1,1,1,128,2,4096,140684.80000540699
1,1,0,1,0,256,2,4096,129499.40014764034
0,1,1,1,1,64,2,4096,46733.40009253105
0,1,0,1,1,256,2,1024,46416.99991893009
1,1,1,0,1,64,32,1024,130145.20000979735
1,0,1,1,1,256,32,4096,139169.0000136173
1,1,1,1,0,128,2,4096,127278.19997712378
0,1,0,1,0,128,2,256,46584.80000974492
0,1,1,0,0,128,8,4096,46157.60000470789
1,1,1,1,0,128,32,256,130071.20008871955
1,1,0,0,0,256,8,4096,133344.20003855726
1,0,0,0,1,64,8,4096,129470.99999620677
1,1,1,0,1,64,32,1024,130145.19990780817
0,1,1,0,1,128,8,4096,46460.80009994329
0,1,0,0,1,128,2,1024,46099.4000099925
0,1,1,1,0,256,2,4096,46687.999945760566
0,1,0,1,0,256,32,1024,47549.39999789642
0,1,0,1,0,64,8,1024,46348.79994290557
0,0,0,0,1,64,8,1024,46184.39990061815
1,1,1,0,1,256,8,4096,131231.19998506873
0,1,0,1,0,64,8,4096,46202.999981442765
1,1,1,1,0,64,32,4096,128959.59997312499
0,1,0,1,1,256,2,256,46318.99999453102
1,0,1,1,0,256,2,256,140950.59996043248
0,0,0,1,1,256,8,4096,46339.40001494898
0,0,1,0,1,64,2,256,46268.800038070265
1,0,1,0,0,128,8,4096,133337.60000622636
1,1,1,1,1,64,2,1024,131163.4000201799
1,1,1,1,1,64,8,256,131856.00004035153
1,1,1,1,1,256,2,1024,129201.19990105931
1,0,1,0,0,256,2,4096,134997.399995997
0,0,1,1,0,128,8,1024,47024.00000885297
1,0,1,0,1,256,2,256,135600.1999285883
1,0,1,1,0,64,2,4096,140311.80005818684
0,1,1,1,1,128,8,4096,46800.80002740198
0,0,1,1,0,64,2,4096,46806.799978379044
1,0,1,0,1,128,32,256,134666.40001383828
0,1,1,1,0,64,2,256,46507.800018457085
0,0,1,1,1,128,2,1024,46692.59993886516
1,0,0,0,1,128,32,256,133749.4000175769
1,1,0,0,1,64,2,256,134110.60008423356
0,1,1,0,0,256,2,1024,46191.40005199085
0,1,0,0,0,64,2,1024,46111.600068439795
0,0,0,1,0,128,2,1024,46355.19999295124
0,0,0,1,1,128,8,4096,46615.800055224805
1,1,0,1,1,64,32,4096,130741.7999798263
1,0,0,1,1,128,2,1024,136545.19999636873
1,1,0,0,1,256,32,4096,134608.60003831892
1,0,0,0,1,128,32,1024,132768.19996508132
1,0,1,1,0,128,2,4096,131911.19992445753
0,0,1,0,1,256,2,256,46342.000117567186
0,1,1,0,1,128,2,1024,46282.59996713186
1,1,1,0,0,128,8,4096,128931.40000088635
0,1,1,1,0,64,2,256,46507.800044427095
0,0,1,0,0,128,32,4096,46233.60003367677
0,0,0,1,1,64,8,4096,46806.59996206653
0,1,1,0,0,64,8,256,45922.79992054001
1,1,0,0,0,128,32,1024,133666.20005191595
0,0,1,0,0,256,32,256,46243.20002008153
0,0,1,1,1,128,8,1024,46668.99999248278
0,1,1,1,1,64,8,1024,46751.800044478674
1,1,0,0,0,128,2,1024,133545.60009157314
0,1,1,0,1,64,32,4096,46412.40001546641
1,0,1,1,1,256,2,4096,140432.99994711674
0,0,0,1,1,64,32,1024,46600.20004388963
0,1,0,1,0,64,32,1024,47346.79998297256
0,0,0,1,0,128,2,1024,46355.199998743374
0,0,0,0,0,256,8,4096,46426.60001757919
1,1,0,1,1,128,8,1024,129166.20001360099
1,0,0,1,1,256,32,256,135542.6000671118
1,0,0,1,0,128,8,4096,131102.79999903296
0,1,0,1,1,64,8,256,46752.39988696296
1,0,1,0,1,128,2,1024,135485.60005464102
1,0,1,1,0,64,2,256,140491.5999826098
0,0,0,0,0,256,2,256,46207.60000739785
1,0,1,0,0,256,8,1024,138245.20004098106
0,1,1,0,0,128,2,4096,46235.80001512775
1,1,1,1,1,128,8,256,130828.79998469586
1,0,1,0,0,128,8,1024,130578.0000691664
1,1,0,1,0,64,32,1024,132685.00006178944
