spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,1,1,0,1,0,0,0,0,1,1,1,1,1,0.00989449362373038
1,0,0,1,1,1,0,0,0,1,1,0,0,0,0.9920555724306487
1,0,0,0,1,0,1,1,1,1,0,1,0,1,0.9940750355013684
1,0,1,0,1,1,1,0,1,0,0,1,0,1,0.9919761571835558
0,1,1,0,0,0,0,1,1,1,1,0,0,0,0.0028494425903830205
0,1,0,1,1,1,0,1,1,0,0,0,0,0,0.018757988298861893
1,0,0,0,0,1,0,1,0,1,0,1,1,1,0.9920727486534807
0,0,1,1,1,0,1,1,0,0,1,0,1,0,0.0030388177957101858
0,1,0,1,0,0,1,0,0,1,1,1,1,1,0.004960751460191083
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.006882581037063314
1,1,1,1,0,0,0,1,1,1,1,0,0,0,0.996066948088801
0,1,1,1,0,0,1,0,1,1,0,1,0,1,0.002923583938102376
0,0,1,0,1,0,1,1,0,0,0,0,1,1,0.006984297950426105
1,1,1,0,1,1,1,0,0,0,0,0,0,0,0.9929818507129781
1,0,0,1,1,1,0,0,1,0,0,1,1,0,0.9921373166225779
1,1,1,1,0,1,1,1,0,0,0,0,0,0,0.1787889849918444
0,1,1,0,0,1,1,1,0,1,1,0,1,0,0.015911138461739822
0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.006889758602583239
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0069406515411127205
0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.0010037651602620502
0,1,1,1,0,1,0,1,1,0,1,0,0,0,0.014971593603508809
1,0,1,1,1,0,1,0,0,0,0,0,1,1,0.9940617510192165
0,0,0,0,1,0,1,1,0,0,1,1,1,0,0.018942978042727567
1,1,1,1,1,0,1,0,0,0,1,0,0,0,0.9950991687825655
1,1,0,1,1,0,1,1,0,1,0,0,0,1,0.7031004478856536
1,0,0,0,1,1,1,1,1,0,1,1,1,1,0.9921443846939596
1,0,1,1,0,0,1,0,0,0,0,1,1,0,0.9961412753116735
1,1,0,0,0,1,0,0,0,0,1,1,0,1,0.9930944172001346
1,0,0,0,1,1,0,1,1,1,0,1,1,0,0.993062826788468
1,0,0,0,0,0,1,1,1,0,1,0,0,0,0.9919739409525111
0,0,0,1,0,1,1,1,0,0,0,0,1,1,0.006949014391069115
0,0,0,1,0,1,1,1,1,1,0,1,0,0,0.005885696421882062
0,1,0,0,0,1,1,0,0,1,0,1,1,0,0.014890743598671213
0,1,1,1,0,1,0,0,1,1,1,0,1,0,0.014896078486921024
0,1,1,0,1,0,0,0,1,0,1,1,1,1,0.008887767566012674
1,1,1,0,0,1,0,1,1,1,1,1,0,0,0.9930140943298321
0,1,0,0,1,0,0,0,1,1,0,1,0,1,0.009869408104601499
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.9939516237310637
1,0,0,0,0,0,0,0,1,1,0,0,1,1,0.9921921290249559
0,0,0,0,1,0,1,1,0,0,0,0,0,1,0.02101432914608534
0,0,0,0,1,0,0,0,1,1,0,1,0,0,0.027784596798070795
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.019827669654166446
0,0,0,0,0,1,0,0,1,1,1,1,0,0,0.006928010035795781
0,0,1,0,0,1,1,0,1,0,1,0,1,1,0.005980944130718066
1,1,1,1,1,0,1,1,1,0,1,0,0,0,0.9939914782410774
0,0,0,1,1,0,0,1,1,1,0,0,1,1,0.02777338622746242
0,1,1,0,0,1,1,1,0,0,0,1,0,0,0.01687958998554219
0,0,0,1,0,0,1,1,1,0,0,0,1,1,0.005045695295827345
0,1,0,0,1,1,1,1,0,1,0,0,0,0,0.01787007336260071
0,0,0,0,0,0,1,1,1,0,0,0,1,0,0.006901458913227282
1,1,1,0,1,1,0,1,1,1,1,0,0,1,0.9929926787048862
1,1,1,1,1,0,1,0,1,0,1,0,0,1,0.9950057811633329
1,0,1,1,0,1,0,1,1,1,1,0,0,1,0.9920114716211544
0,0,1,1,1,0,0,0,0,1,0,1,0,0,0.02778444919855121
0,1,1,0,0,1,0,1,1,0,1,1,1,1,0.010942257741618356
0,0,0,1,0,1,1,1,1,0,0,0,0,0,0.007003228947215767
1,0,0,1,0,0,1,1,0,0,0,0,1,0,0.9999349776933983
1,1,0,0,1,1,1,0,1,1,0,1,1,0,0.9940549378192997
1,1,1,1,0,0,0,0,1,0,0,0,1,1,0.9969464794896313
1,0,1,1,1,1,1,0,0,1,0,0,0,0,0.9940127069830632
0,1,0,0,0,1,1,0,1,0,0,0,0,1,0.014824304683123582
0,0,1,1,1,0,0,1,0,1,1,1,1,0,0.02879006680235931
0,1,1,1,1,0,0,0,0,1,0,1,1,1,0.00902728147509362
0,1,1,1,0,1,1,0,0,0,0,1,1,0,0.012878187073773757
1,1,0,1,1,1,0,0,0,1,1,1,1,1,0.9940671102269856
0,1,0,0,0,1,1,0,1,0,1,1,1,0,0.014028520390598825
0,1,1,1,1,0,1,0,0,1,1,0,0,1,0.012955593840537868
0,1,0,0,1,1,1,1,0,0,1,1,1,1,0.018913171263815892
1,0,0,1,1,0,1,0,0,0,1,1,1,1,0.994014212906217
1,0,0,1,0,0,1,1,1,1,0,1,0,1,0.9980403023393029
0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.005909777867632251
1,0,0,0,1,0,0,1,0,1,0,0,0,1,0.9939907735486889
1,1,0,1,0,1,0,0,1,0,1,1,1,0,0.9920691353349085
1,1,1,0,1,1,0,0,1,1,0,0,1,1,0.993997468499536
0,1,1,0,1,1,0,1,0,0,1,1,0,1,0.018982360726851232
1,1,1,1,1,0,0,0,0,0,0,1,0,0,0.995090498657213
0,1,0,0,1,0,1,1,1,0,1,0,0,1,0.024854305776174965
1,1,1,0,0,0,0,1,1,0,0,1,1,1,0.991019783872841
1,0,0,0,1,1,0,0,0,1,1,0,0,1,0.9940703148577024
1,1,1,0,0,0,1,1,1,0,0,1,0,1,0.9940528230342648
1,1,1,1,0,0,0,1,1,1,0,0,1,0,0.9969799940906902
1,0,0,0,0,1,0,1,0,1,1,0,0,0,0.9920390472321398
1,0,0,1,1,1,1,0,1,0,0,0,1,0,0.9941232322632159
1,0,1,1,1,1,0,1,1,1,1,1,1,0,0.9930225493283831
1,0,1,1,0,0,1,1,0,1,1,0,1,0,0.9980557698792797
0,0,0,0,0,1,1,1,0,0,0,1,0,0,0.0068650784638827865
1,0,0,0,1,1,1,0,0,1,1,0,0,1,0.9920217083255501
1,0,0,0,1,0,0,1,1,0,0,1,0,0,0.9940805220259641
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0.006928459673088816
0,1,1,0,0,1,0,0,1,0,0,0,1,0,0.011940803062656569
0,0,1,1,0,0,1,1,1,1,0,1,1,1,0.0070213844069128015
1,0,1,0,1,1,0,1,1,1,1,0,1,1,0.991995244906933
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.9940309802698728
0,1,0,0,0,1,1,1,0,1,0,1,1,0,0.014839219398250033
1,1,0,0,0,0,1,0,1,1,1,0,1,0,0.9940559419343232
0,0,0,0,1,1,1,0,1,0,1,1,0,0,0.0069622255226387195
1,0,0,0,1,1,1,1,1,1,0,1,1,1,0.9929828933680759
1,0,0,0,0,0,0,1,1,0,1,0,1,0,0.9919872645336536
0,1,0,1,0,1,1,1,1,1,1,1,0,0,0.010948165554510877
0,1,0,0,1,0,0,0,1,1,1,1,0,1,0.010881427170423114
