topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,10,2,10,1,1,1,1000,512,10000,2,29,0.014851982423445593
4,10,4,1000000,1,1,1000,1000,512,10000,2,0,0.0001477155389213406
4,10,2,10,10,1,1,1000,1024,100,5,0,2.000078603282206
2,1,2,10,1,1,1000,1000,512,10000,2,29,0.8538325024451848
2,10,4,10,10,1,1,1000,512,100,2,29,1.9999799356594492
4,1,2,1000000,1,0,1000,1000,1024,10000,5,0,1.999925216540446
4,10,4,1000000,1,1,1,10,512,100,2,29,0.0024003808468891804
4,1,2,10,1,0,1000,1000,512,100,2,0,1.999970466371549
2,10,2,10,1,0,1,10,512,100,5,0,0.014905390927303442
4,1,2,10,10,0,1000,10,512,10000,5,0,1.9999465847472526
4,1,2,10,10,0,1,10,1024,10000,2,29,2.0000577546739335
4,1,2,1000000,1,0,1000,10,1024,100,2,0,0.00010427554423683801
2,1,2,10,1,1,1000,1000,512,100,5,29,2.000013268711148
2,10,2,10,1,1,1,10,1024,10000,5,0,1.9999127506273748
2,10,4,1000000,10,0,1,10,1024,10000,2,0,1.9998861445468992
2,10,4,1000000,1,0,1,1000,1024,100,2,29,2.0000366330917796
4,1,2,10,1,0,1,10,1024,10000,5,29,2.0000586564699256
4,1,4,1000000,1,0,1,1000,1024,10000,5,0,0.0007644893697510849
4,10,4,10,1,0,1000,1000,512,100,2,29,1.9999416800177148
2,10,2,1000000,10,1,1000,10,1024,10000,5,29,1.9999853447232894
2,1,4,1000000,10,0,1,10,512,10000,2,29,1.9998793595332878
2,10,2,1000000,1,1,1,1000,512,100,5,29,2.00011943251662
2,10,2,1000000,10,0,1,1000,512,10000,5,29,1.9999452553561008
2,10,4,10,10,0,1,1000,512,100,5,29,2.000060872598878
4,10,4,1000000,1,1,1,1000,1024,100,2,0,1.9999602320258942
4,10,2,10,1,1,1,1000,1024,100,2,0,1.9998708395656897
4,10,4,10,10,0,1000,10,512,10000,2,0,1.999993186869317
2,10,2,1000000,1,0,1,10,1024,100,2,29,0.0024566172848780273
4,10,4,1000000,1,0,1,1000,1024,100,5,0,2.0000188608885234
2,10,4,1000000,1,0,1,1000,1024,10000,2,0,0.0026052033887623816
2,10,2,1000000,1,1,1000,1000,512,10000,5,29,1.9999901193960803
2,10,2,10,1,1,1,1000,1024,100,5,29,2.0000655776116747
2,1,4,1000000,10,1,1,10,512,10000,2,29,1.999951201723433
2,1,4,10,1,1,1000,10,1024,100,5,29,0.3736998597487653
4,1,4,1000000,1,0,1,1000,1024,10000,5,29,0.0006858065538238528
2,10,2,10,1,1,1,1000,1024,10000,2,29,0.014791933238350595
4,1,2,10,1,1,1000,1000,1024,100,5,29,2.0000335900528463
4,1,4,1000000,1,1,1,10,1024,100,2,29,0.0019062197534074263
2,1,4,1000000,10,0,1000,10,1024,100,5,0,1.9999593716045687
4,1,2,1000000,1,1,1,10,1024,10000,2,29,1.9999662232715203
4,1,4,10,1,0,1000,10,512,100,2,0,0.7270400570924146
2,1,2,1000000,1,1,1,10,1024,10000,2,29,1.999995626254077
4,10,2,1000000,10,0,1000,1000,512,10000,5,29,2.0000759098251355
2,10,2,1000000,1,0,1,10,1024,10000,2,29,1.9999803709103234
2,1,2,1000000,1,1,1000,1000,1024,100,2,29,1.9999339954916533
2,1,4,1000000,1,1,1000,1000,512,10000,5,29,2.0000424151670386
4,10,4,10,1,1,1,10,1024,10000,2,0,2.0000523839618474
4,10,2,10,1,0,1000,10,1024,10000,2,29,1.9999605489286463
4,1,4,10,10,0,1,1000,1024,100,5,0,2.0001119851357063
