new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,2,2,1,1,0,2048,9,165.4524
1,2,1,2,0,0,4096,1,337.4748
1,2,2,2,1,0,2048,0,337.4748
0,0,1,1,0,0,4096,9,337.4748
0,0,1,0,0,0,2048,1,337.4748
0,2,2,2,1,0,1024,5,163.9968
0,2,2,1,1,0,4096,0,337.4748
0,2,2,0,0,0,4096,5,164.7146
1,2,2,2,0,1,1024,1,166.767
1,0,2,1,0,0,1024,1,337.4748
1,2,1,2,1,1,4096,0,337.4748
0,2,1,2,1,1,2048,5,337.4748
0,1,2,2,1,0,512,0,30.8186
1,0,2,2,0,1,4096,0,164.1062
0,2,1,1,0,1,512,0,337.4748
0,0,1,0,0,0,4096,9,337.4748
0,0,1,0,1,0,2048,9,337.4748
0,0,2,1,1,1,2048,5,337.4748
1,0,2,0,0,1,4096,9,337.4748
0,1,1,2,0,1,2048,0,337.4748
0,0,1,2,0,0,1024,9,337.4748
0,2,2,0,0,1,1024,9,164.231
1,2,2,0,1,1,1024,5,166.3478
0,0,1,0,1,0,2048,1,337.4748
0,2,2,0,0,0,4096,1,165.3918
0,1,2,2,1,1,2048,1,337.4748
0,0,2,0,0,0,4096,5,337.4748
0,0,2,2,1,1,1024,0,165.1184
1,1,2,0,1,0,4096,9,337.4748
1,1,2,1,0,0,2048,1,337.4748
0,2,2,2,0,0,4096,9,164.3828
1,0,1,2,0,1,4096,1,337.4748
0,2,1,1,1,1,512,9,337.4748
1,0,2,2,0,1,2048,1,337.4748
0,2,1,1,1,0,1024,0,337.4748
0,0,2,1,1,0,512,1,337.4748
0,0,2,2,0,1,4096,9,337.4748
0,1,2,0,0,1,4096,1,337.4748
0,2,1,1,0,0,2048,5,337.4748
1,2,1,2,1,0,512,9,337.4748
1,1,2,2,0,0,512,1,337.4748
0,0,2,2,1,1,1024,1,337.4748
0,1,1,2,0,0,4096,9,337.4748
1,1,1,2,1,1,2048,9,337.4748
0,2,1,2,1,1,2048,5,337.4748
0,0,1,1,0,0,1024,1,337.4748
1,2,1,2,0,1,1024,9,337.4748
1,1,2,0,1,0,1024,5,337.4748
0,0,2,0,1,1,2048,9,337.4748
0,0,2,0,1,0,1024,9,337.4748
0,2,2,0,0,0,1024,1,165.1946
1,0,2,2,1,0,512,1,337.4748
0,2,2,0,1,0,1024,1,165.2514
0,0,1,0,0,1,4096,5,337.4748
0,2,1,0,1,0,4096,1,167.8766
1,2,2,1,0,1,1024,1,166.5726
1,2,1,0,1,0,4096,0,337.4748
1,1,2,1,0,0,1024,0,31.9878
0,1,2,1,0,0,512,0,30.7448
0,2,1,1,1,0,4096,9,337.4748
0,2,1,1,0,0,1024,5,337.4748
0,2,2,1,0,0,512,5,163.7756
0,1,2,2,0,0,1024,1,337.4748
1,2,1,1,1,0,1024,5,337.4748
0,0,2,0,0,0,1024,9,337.4748
0,1,1,0,1,1,2048,1,337.4748
1,2,1,0,1,1,1024,1,166.6678
1,2,1,0,1,0,512,9,166.854
1,1,2,2,1,1,512,0,32.3934
1,1,1,2,1,1,512,0,337.4748
1,2,2,1,1,0,512,5,165.4086
0,2,2,2,1,0,2048,5,165.781
1,2,2,2,1,0,512,1,165.4944
1,0,2,1,0,1,4096,1,337.4748
1,2,2,1,0,0,512,5,165.398
1,2,2,2,0,0,1024,5,166.319
0,2,2,1,1,1,4096,1,166.339
1,2,1,0,1,0,2048,0,337.4748
1,2,1,0,0,1,512,5,168.1124
1,2,1,2,1,0,1024,9,337.4748
0,2,2,1,0,0,1024,0,337.4748
1,2,1,2,1,0,512,9,337.4748
1,1,1,0,1,1,1024,1,337.4748
0,0,1,2,0,1,4096,5,337.4748
1,2,1,1,1,0,1024,9,337.4748
0,0,1,0,0,1,1024,9,337.4748
1,2,1,1,1,1,4096,1,337.4748
0,0,1,0,1,0,512,9,337.4748
0,0,1,2,0,0,512,0,337.4748
1,2,1,1,1,0,512,0,337.4748
1,0,2,1,1,0,1024,5,337.4748
0,2,1,1,0,1,1024,0,337.4748
1,2,1,0,1,1,4096,9,166.8736
0,1,1,0,1,1,1024,9,337.4748
1,2,2,0,0,1,4096,9,165.6086
0,0,2,0,1,1,4096,1,337.4748
1,0,2,2,1,0,2048,1,337.4748
1,1,1,2,0,1,1024,5,337.4748
1,0,2,2,0,1,2048,1,337.4748
0,0,2,1,1,0,2048,9,337.4748
