new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
3,2,2,1,0,0,0,0,1,0,38.588
1,1,1,0,1,1,0,0,0,0,83.994
2,1,1,1,1,0,1,0,0,0,42.304
1,1,2,0,0,1,1,0,0,1,87.322
4,1,3,1,0,1,1,1,0,0,23.672
4,2,3,1,1,0,1,0,1,0,31.274
3,2,1,0,1,0,1,0,1,1,43.37
2,1,2,0,0,1,0,0,1,0,46.272
4,3,2,1,0,1,1,0,0,1,48.032
1,3,3,1,0,0,0,1,0,0,173.138
4,1,1,1,1,0,1,0,1,1,21.772
1,1,3,0,1,1,1,0,1,0,85.998
2,1,1,0,0,1,0,1,1,1,49.898
2,2,1,0,0,0,0,1,0,1,71.456
4,2,3,1,0,1,1,1,0,0,36.124
4,2,2,1,0,1,0,0,0,0,32.518
2,1,1,0,0,1,1,0,1,1,46.18
3,2,1,1,1,0,1,1,1,1,43.39
4,3,1,1,1,1,1,1,0,0,50.016
3,3,1,1,1,1,0,1,1,0,52.14
2,3,1,1,0,1,1,1,1,1,84.846
4,1,1,1,0,0,1,1,0,0,23.89
1,2,1,1,0,1,1,1,0,1,134.874
3,1,3,0,1,1,0,0,1,1,31.768
4,1,1,0,0,0,0,0,1,1,23.488
3,2,2,1,0,1,1,1,0,0,51.16
1,3,1,1,0,1,0,0,1,0,137.124
3,2,1,1,1,0,1,1,1,1,43.39
2,2,3,1,1,0,0,0,0,1,61.282
3,1,1,1,1,1,0,0,0,1,28.562
3,1,3,0,1,1,1,0,1,1,32.0
2,2,2,1,0,0,1,0,1,0,60.052
2,2,3,1,0,1,1,0,1,1,60.37
3,2,1,0,0,0,0,1,0,0,50.298
2,2,1,1,0,1,0,1,1,1,59.958
4,3,2,0,0,0,0,0,0,1,45.722
3,3,2,1,0,1,1,1,1,0,59.422
2,3,2,1,1,0,1,0,1,1,80.616
3,3,3,0,1,1,0,1,0,0,66.78
1,1,2,0,0,1,1,1,1,0,94.828
1,1,2,1,0,0,0,1,1,0,88.436
1,1,3,1,1,1,1,1,1,1,87.206
4,1,1,1,1,0,1,0,0,0,22.018
2,1,2,1,1,1,1,1,0,1,46.448
1,2,1,0,0,0,0,1,1,0,118.906
2,2,2,0,0,1,1,0,1,0,62.642
2,2,1,0,1,1,0,1,1,0,62.084
3,3,2,0,0,1,1,0,0,1,71.122
2,3,3,0,1,1,1,1,1,1,87.736
1,3,2,0,0,1,0,0,1,0,142.536
1,3,1,0,0,0,1,1,0,1,194.79
1,1,1,0,1,1,0,0,0,0,83.994
1,2,3,1,1,0,1,0,0,1,123.354
3,2,3,0,1,1,0,1,1,1,42.678
1,2,2,0,1,1,1,1,0,1,141.066
3,2,3,1,0,1,0,0,0,0,44.274
4,2,3,1,1,1,0,1,0,1,34.324
3,3,2,1,1,0,0,0,1,0,49.814
2,1,3,1,0,0,0,1,1,1,46.888
2,1,1,1,1,1,1,1,0,1,46.154
3,1,2,1,1,1,0,0,0,1,29.312
4,2,1,1,1,1,1,0,1,1,30.204
1,2,1,1,0,1,1,0,1,0,111.708
3,3,2,0,1,0,1,1,1,1,61.156
2,1,3,1,0,1,0,1,1,0,47.066
1,1,2,1,0,0,1,1,0,1,89.474
4,3,2,0,1,0,0,1,0,1,48.778
3,3,3,1,1,1,0,1,0,1,63.534
4,2,3,0,0,0,1,1,0,0,38.168
4,3,2,0,1,0,1,0,0,1,49.37
3,1,1,1,1,0,1,1,1,1,31.336
2,3,3,1,0,1,0,0,0,1,84.43
2,3,1,1,0,1,1,0,0,0,92.544
3,3,2,0,0,0,0,1,0,0,67.812
2,2,2,1,1,0,1,1,0,1,70.742
2,3,3,0,0,0,1,0,0,0,97.86
1,2,2,0,1,1,1,1,1,1,124.784
3,1,1,1,0,0,1,0,1,1,29.792
1,1,2,1,0,0,1,0,0,0,82.198
4,3,3,0,0,0,0,1,0,1,49.52
1,2,3,1,0,0,1,0,1,1,112.892
1,2,3,0,0,1,1,0,0,0,132.062
3,3,3,1,0,0,1,1,0,1,71.376
3,1,2,0,1,1,0,1,1,0,33.232
1,2,1,0,1,0,1,1,1,0,124.142
2,3,1,0,0,1,0,0,0,1,88.032
1,3,1,1,1,0,1,0,0,0,169.86
3,3,2,0,1,1,0,1,1,1,54.724
3,3,2,0,1,0,1,1,1,0,61.668
3,1,1,0,0,1,0,0,1,0,31.19
3,1,1,1,1,1,1,0,0,1,28.922
4,3,3,1,1,1,1,1,1,0,42.526
4,3,3,0,0,0,0,1,1,1,41.0
4,3,2,0,0,0,0,1,1,0,40.782
3,1,1,0,1,1,1,0,1,1,31.018
1,2,2,0,0,0,0,0,0,1,123.106
3,2,2,0,1,0,1,1,0,1,53.404
2,3,3,1,1,1,1,1,0,1,98.794
2,1,3,0,0,1,0,1,0,0,49.606
4,3,1,1,1,1,0,1,0,0,46.374
