WindowSize,CompressionLevel,Performance
24,0,1.574
14,9,7.404
17,5,5.886
17,10,307.144
21,8,18.874
16,4,2.77
24,5,7.154
16,7,6.998
24,5,7.154
24,0,1.574
20,1,1.636
12,10,328.816
14,8,6.086
15,8,6.738
18,8,9.684
13,3,2.37
12,8,5.318
14,9,7.404
14,6,4.874
13,0,1.514
23,7,20.474
19,11,258.502
23,2,2.032
14,4,2.894
21,4,2.768
20,5,7.45
21,4,2.768
18,1,1.63
10,5,3.306
19,11,258.502
24,3,2.478
20,9,17.4
22,1,1.586
17,5,5.886
11,3,2.476
22,8,25.432
20,11,246.08
23,8,37.284
16,4,2.77
11,10,343.594
22,4,2.748
17,0,1.606
21,4,2.768
24,7,20.228
16,0,1.59
20,9,17.4
15,9,8.084
11,2,1.998
13,1,1.514
23,1,1.572
11,9,6.286
17,5,5.886
16,10,285.0
10,10,363.364
10,8,5.046
13,0,1.514
15,6,5.306
16,8,7.548
22,2,2.05
16,5,5.392
21,3,2.512
15,2,1.972
20,0,1.63
21,1,1.598
19,0,1.614
17,0,1.606
23,6,10.22
18,7,8.628
10,7,4.874
11,11,343.996
18,2,2.094
13,4,2.972
10,0,1.662
18,9,11.954
13,7,5.554
23,7,20.474
11,5,3.49
13,5,4.128
16,2,2.026
21,1,1.598
23,4,2.726
24,0,1.574
14,7,5.896
22,2,2.05
20,0,1.63
17,9,10.152
21,5,7.272
23,6,10.22
16,0,1.59
24,2,2.04
16,10,285.0
13,0,1.514
12,5,3.746
23,4,2.726
20,6,10.658
23,7,20.474
15,9,8.084
12,0,1.528
21,8,18.874
14,8,6.086
