new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,2,2,1,1,0,1024,1,166.458
1,2,2,2,1,0,1024,9,163.3854
0,2,2,0,1,0,2048,1,164.565
0,2,2,0,0,0,1024,5,167.4724
0,1,1,0,1,0,512,0,32.1144
1,1,1,0,0,0,1024,0,32.4778
1,0,1,0,0,1,4096,9,337.4748
0,1,2,2,1,0,4096,5,337.4748
1,0,1,0,0,1,512,5,337.4748
1,2,1,0,0,1,512,0,337.4748
1,0,1,1,0,0,1024,9,337.4748
1,2,2,2,1,1,512,0,337.4748
1,1,2,2,1,1,1024,5,337.4748
0,1,1,1,0,0,512,0,337.4748
1,2,2,1,0,0,1024,5,164.644
0,0,2,0,1,1,512,1,337.4748
1,2,1,1,0,1,4096,9,337.4748
1,0,2,2,0,1,1024,1,337.4748
1,0,2,0,1,1,512,5,337.4748
0,1,2,2,1,0,512,1,337.4748
1,1,2,1,0,1,4096,9,337.4748
0,1,1,1,1,1,512,1,337.4748
1,1,2,0,1,0,2048,5,337.4748
0,2,1,0,1,1,4096,5,166.6048
1,1,2,2,0,1,1024,9,337.4748
1,2,2,2,0,1,512,9,164.441
1,1,1,1,1,1,2048,1,337.4748
1,2,2,0,0,1,4096,1,165.5144
0,1,2,1,0,0,512,1,337.4748
1,0,1,0,1,0,2048,9,337.4748
0,0,1,2,1,0,4096,9,337.4748
0,0,1,0,0,1,2048,9,337.4748
1,2,1,1,1,0,1024,0,337.4748
0,0,2,0,1,1,512,1,337.4748
0,1,2,1,1,0,1024,9,337.4748
0,1,2,1,1,0,4096,9,337.4748
1,0,2,0,1,0,1024,0,164.829
1,2,2,1,0,0,4096,0,337.4748
0,2,1,0,0,1,2048,1,166.9488
0,2,2,1,0,1,1024,1,165.5134
1,1,1,2,1,1,1024,9,337.4748
1,2,2,2,1,0,512,1,165.4944
1,2,2,2,0,1,512,9,164.441
1,1,1,1,1,1,4096,0,337.4748
0,0,2,2,0,1,512,0,165.7776
0,1,1,0,0,0,512,5,337.4748
1,1,2,0,0,0,1024,1,337.4748
0,2,1,0,1,1,2048,0,337.4748
0,1,2,1,1,0,4096,0,32.1888
0,0,1,1,0,1,1024,0,337.4748
0,1,2,2,1,1,512,5,337.4748
1,2,2,0,0,0,1024,5,166.8392
1,0,1,2,1,0,4096,5,337.4748
0,2,2,2,1,0,1024,0,337.4748
1,1,2,0,1,1,512,0,32.436
0,0,1,0,1,0,4096,5,337.4748
1,0,2,1,0,0,1024,9,337.4748
1,0,2,1,1,1,4096,9,337.4748
1,1,2,2,1,0,4096,0,31.862
1,2,1,1,1,1,2048,0,337.4748
0,1,2,0,0,1,512,9,337.4748
1,2,2,1,1,0,2048,1,167.6088
0,0,2,2,1,1,512,5,337.4748
1,1,2,1,0,0,4096,1,337.4748
1,1,1,2,0,1,512,0,337.4748
0,2,2,2,1,0,512,5,163.9568
0,1,1,0,0,1,1024,9,337.4748
0,1,2,1,0,0,1024,5,337.4748
0,1,1,0,0,0,512,9,337.4748
0,2,1,2,0,0,4096,5,337.4748
0,0,2,1,0,0,512,1,337.4748
1,0,2,0,1,1,2048,5,337.4748
0,2,2,2,0,1,1024,9,164.2452
0,1,2,0,0,0,1024,0,31.2232
0,1,2,0,0,1,4096,0,32.164
0,0,1,0,0,0,1024,1,337.4748
0,2,1,1,1,1,512,5,337.4748
1,1,1,1,1,1,512,0,337.4748
0,1,1,0,1,0,4096,1,337.4748
1,0,1,1,1,1,512,9,337.4748
0,1,2,1,0,1,512,0,31.4648
1,1,1,1,1,0,512,5,337.4748
0,0,1,2,0,0,4096,1,337.4748
0,1,1,2,1,1,4096,0,337.4748
0,1,1,1,0,0,1024,1,337.4748
0,2,1,1,0,1,1024,9,337.4748
1,1,2,2,1,0,512,5,337.4748
0,1,2,2,0,1,4096,0,31.9772
0,0,2,0,1,1,1024,9,337.4748
1,0,2,0,1,1,1024,1,337.4748
1,1,2,1,0,1,1024,0,32.517
0,0,1,1,0,1,4096,5,337.4748
0,0,2,2,1,0,1024,5,337.4748
0,2,2,1,0,0,1024,9,166.5906
0,2,2,2,1,1,2048,0,337.4748
0,1,2,1,1,1,1024,0,32.4414
1,0,2,2,0,0,512,0,164.1168
0,0,2,1,0,0,4096,1,337.4748
1,1,2,1,1,0,2048,1,337.4748
0,2,1,2,1,1,2048,1,337.4748
