new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
4,0,1,1,0,30,1,0,35546.4
3,1,0,0,0,0,16,0,15962.0
4,0,0,0,0,10,4096,8,46846.0
5,0,0,1,0,80,1,6,47236.8
4,0,0,0,1,60,512,4,12866.4
3,0,1,1,0,10,1,4,14253.6
2,1,1,0,1,20,2048,8,101321.8
5,0,0,0,0,80,16,0,9199.8
1,1,0,0,0,80,512,0,17849.4
4,0,1,0,0,90,4096,6,19557.4
1,1,1,0,1,0,1,2,17905.8
2,1,1,0,1,80,1,2,11178.2
5,0,1,1,0,90,4096,0,9113.4
4,1,1,0,1,50,256,10,113777.2
1,0,1,1,1,70,16,4,11879.2
4,1,1,1,0,60,256,2,35808.2
3,1,1,0,1,60,32,10,48315.6
1,1,0,0,0,0,4096,10,85085.2
3,0,1,0,0,70,2,6,15562.8
4,0,1,1,1,70,32,8,124777.6
3,0,0,0,0,20,2048,10,49598.2
1,1,1,0,1,40,1024,10,101703.0
3,1,0,1,1,10,1,4,14365.4
5,0,1,1,1,60,128,6,47665.2
3,1,1,1,0,50,4096,2,12181.0
4,1,0,0,0,0,128,10,274604.8
1,0,0,1,1,10,256,8,105474.4
5,0,0,0,1,40,4096,8,122383.8
3,1,1,1,1,100,2,2,13165.6
3,0,0,1,1,10,2048,8,39551.0
3,0,1,1,0,40,2,4,13277.8
1,0,0,0,0,20,256,2,17690.0
1,0,1,0,0,30,128,10,100936.8
4,1,1,1,1,20,64,4,43251.6
5,0,1,1,1,20,32,2,9157.8
5,0,1,0,1,100,8,8,121552.0
2,1,0,1,1,0,2048,2,17806.2
3,1,1,0,0,80,1,8,42671.6
4,0,0,1,1,40,4,2,35733.6
3,0,1,1,0,70,8,2,12261.2
5,1,0,0,1,90,256,6,47599.0
5,1,1,0,0,20,4,4,9155.8
5,1,1,0,1,30,512,2,9180.6
4,0,1,1,1,10,128,6,48552.2
3,0,1,0,1,40,128,6,10621.6
1,1,1,0,0,50,256,6,89156.4
5,0,1,0,0,90,1024,2,9199.6
5,0,1,0,1,20,2,8,121122.0
2,0,0,1,0,70,8,8,108900.0
3,1,0,0,1,70,32,8,37916.6
4,1,1,0,0,10,4,2,9529.0
5,1,1,1,0,90,16,0,9110.4
5,1,0,1,1,100,2048,8,122221.4
5,1,1,1,1,80,256,2,9249.4
5,1,0,1,0,90,512,10,299335.0
2,1,0,0,1,30,256,6,88517.6
2,1,1,0,0,60,128,2,4695.2
1,1,1,0,0,50,128,8,101314.6
2,1,0,0,0,10,2048,2,5743.2
4,1,1,0,0,100,4096,2,8906.0
5,1,1,1,0,40,4,10,299546.2
3,1,1,0,0,40,1024,10,48937.4
2,0,1,0,1,50,2,2,7403.6
3,1,1,0,1,40,4096,0,11975.4
3,0,1,1,0,80,4096,0,12147.4
5,0,1,1,0,10,32,4,9123.0
1,0,0,0,1,100,64,6,89756.0
3,1,0,0,0,0,512,10,48133.0
2,1,0,1,1,10,2,6,107674.4
1,0,1,0,0,70,2048,6,88533.0
5,0,1,0,1,30,2048,8,121803.6
3,0,1,0,0,50,1,4,14452.0
4,1,0,1,1,0,128,0,35591.6
5,0,1,0,1,70,2048,6,47516.2
4,1,1,1,1,60,1024,6,49292.6
3,0,0,0,1,30,4096,6,10620.6
3,1,1,1,0,10,128,4,12488.2
4,1,1,1,0,40,1,2,35610.8
4,1,0,0,1,80,1024,10,112451.2
2,1,1,1,1,60,8,6,99038.6
5,1,0,0,1,80,256,10,298589.2
5,0,0,1,0,80,1,8,120948.2
1,0,0,0,1,30,2,4,13332.8
4,0,1,0,0,0,32,2,11878.4
4,0,0,1,1,40,16,0,35899.0
1,0,0,1,0,50,16,10,105442.8
2,0,1,1,0,20,1,10,125376.8
4,1,0,0,1,90,4,2,9366.6
3,0,0,1,1,90,32,2,12196.0
4,1,1,1,0,10,2048,0,35737.2
5,1,1,0,1,80,8,8,121283.0
2,0,1,0,0,40,2048,4,4589.6
2,0,1,1,1,0,512,4,18476.4
5,0,0,0,1,40,2,4,9107.4
4,0,0,0,0,70,4096,8,39439.6
1,1,1,0,0,80,4096,2,17720.2
2,1,0,1,1,20,32,2,17627.6
2,1,1,1,0,0,256,2,17814.2
4,1,0,0,0,20,2,0,9601.6
5,0,0,0,1,70,16,2,9165.8
