spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
1,1,1,1,0,0,0,1,0,0,0,0,1,1,0.9970176673043626
1,0,1,0,0,1,0,0,1,1,1,1,0,0,0.9920997123424938
1,0,0,1,0,1,0,0,0,0,0,1,0,0,0.9941236178741614
1,0,1,1,0,1,0,1,1,1,1,0,0,1,0.9920448756618473
1,0,1,0,0,0,1,0,1,0,1,0,1,0,0.10322453985675967
0,1,1,1,0,0,0,1,1,0,0,0,1,0,0.004909723650076171
0,1,1,0,0,0,1,0,1,1,1,1,0,1,0.017844062837186914
0,0,0,1,1,1,0,0,1,1,0,0,1,1,0.005866563746763758
1,1,0,0,0,0,0,1,0,0,0,1,1,1,0.9940117619488147
1,1,1,0,0,0,0,0,1,0,0,1,0,0,0.9911602520685424
0,0,1,0,0,1,1,0,1,1,0,1,1,0,0.005972020299749328
1,0,1,0,1,0,1,0,1,1,0,0,0,1,0.9940058931682488
1,0,0,1,1,0,1,0,0,1,0,0,1,0,0.9941389725283551
1,1,0,1,0,1,0,1,1,1,0,0,1,0,0.9940425508011929
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.012952793316484086
0,1,0,0,1,1,0,0,1,0,0,1,0,0,0.018943601793450768
1,1,1,1,0,1,0,1,0,0,1,0,1,1,0.9939537265384536
1,0,0,1,1,0,1,1,1,1,1,1,1,0,0.9940803237291496
0,0,1,1,1,0,0,0,0,0,0,1,1,1,0.02785083696400104
0,0,0,0,0,1,1,0,1,0,1,1,1,1,0.005886926696946358
0,0,1,0,1,0,0,0,0,1,0,0,1,0,0.02780928896265161
1,1,1,0,1,0,1,1,1,0,1,1,0,1,0.9941152274428581
0,1,0,0,0,0,0,0,0,0,1,0,1,1,0.009950080234097278
1,1,0,0,0,1,1,0,0,1,1,0,0,1,0.9939563579538632
1,0,1,0,1,0,0,0,1,0,1,0,0,0,0.9940057726314376
1,1,1,0,1,1,0,1,1,1,0,1,0,1,0.9930491036665202
1,0,0,1,0,0,0,0,0,1,0,1,0,1,0.997024364470584
