new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
1,1,1,1,0,100,32,8,103420.4
2,1,0,0,1,100,16,8,95356.0
4,1,1,0,1,0,32,8,75954.8
3,1,0,0,1,90,32,4,12126.0
5,1,1,0,0,50,4096,6,47681.2
3,1,1,1,1,0,128,6,20751.8
2,1,0,0,0,90,2048,2,4698.6
3,0,1,0,0,40,512,10,48822.8
1,1,1,1,0,50,2048,4,11821.2
3,1,0,0,1,50,4,6,13717.4
2,0,0,1,1,100,128,10,102840.8
3,0,1,0,0,30,2,6,15528.0
4,1,1,1,0,60,2048,10,414936.0
2,0,0,0,1,50,2,6,73845.6
1,1,0,1,1,0,16,6,123617.2
4,1,0,1,0,10,256,2,35810.4
3,1,1,1,0,90,1,4,14394.4
2,0,0,0,0,50,2048,6,89595.0
4,0,1,1,0,10,512,0,35483.4
5,0,0,1,1,30,8,0,9191.2
5,1,0,1,0,20,128,0,9282.6
4,0,1,0,1,60,16,2,8979.4
2,0,0,0,1,90,16,0,4958.0
1,0,0,0,1,20,16,8,96758.4
2,1,1,1,0,50,4,2,17595.8
5,0,1,0,0,10,16,4,9114.2
2,0,0,1,1,60,256,6,90730.0
4,1,0,1,1,70,2,2,35669.2
3,1,0,1,1,80,512,4,12099.8
4,0,1,1,0,60,4,4,43384.8
4,0,0,1,0,0,256,8,115870.4
3,0,1,0,1,100,512,10,48405.6
4,0,1,1,1,50,512,2,35687.8
5,1,0,0,1,50,256,0,9258.2
2,1,1,0,0,20,1024,10,101047.4
3,1,1,1,0,0,2048,2,16036.6
3,1,1,1,1,100,512,0,12228.6
1,1,1,0,1,70,4096,6,88545.4
2,1,1,1,1,80,4096,8,102604.2
3,0,1,0,0,20,512,8,38441.2
3,1,1,1,0,80,1024,8,37953.2
3,1,0,1,0,10,64,8,39301.8
4,0,1,1,1,0,32,2,35616.8
4,1,0,0,1,10,128,4,13864.8
5,1,1,0,1,80,4,4,9150.2
4,0,1,1,1,30,32,4,43404.4
5,1,0,0,0,30,4096,10,301315.4
4,1,1,0,0,0,1024,8,75973.6
5,0,1,1,0,10,4096,10,301076.0
5,1,0,1,1,90,32,8,121355.0
4,1,0,0,1,40,4096,2,8985.0
1,0,1,1,0,0,512,8,132073.0
3,1,0,0,0,30,512,4,12098.0
4,0,0,1,0,40,1024,8,124958.0
3,0,0,1,1,80,16,8,37606.2
3,1,1,1,0,60,512,10,48625.4
3,0,0,1,1,50,128,0,12222.4
2,0,1,0,0,90,256,0,4654.0
1,0,1,1,1,90,64,10,102694.4
2,0,1,0,1,30,64,6,88416.8
1,0,1,1,0,0,1024,4,18454.2
2,0,0,0,1,70,128,2,4803.0
2,1,1,1,1,20,256,6,91712.8
2,1,1,0,1,70,512,2,4773.6
4,1,0,1,0,30,32,8,124516.2
1,0,0,1,0,20,4096,6,91723.0
3,1,0,0,1,30,512,10,48593.4
3,0,1,0,0,40,1,2,14329.0
3,0,1,1,0,20,32,0,12097.4
4,0,1,0,0,50,256,4,13221.2
5,0,0,0,0,90,512,8,121529.4
5,1,0,0,1,60,256,8,122736.4
4,1,0,1,1,20,8,2,35761.8
4,0,1,0,0,100,2,0,9514.4
4,0,1,1,1,90,2048,8,125230.6
3,1,1,1,0,60,64,10,48539.2
5,0,0,1,1,10,4,2,9149.6
1,1,1,0,0,0,128,8,85265.4
3,0,0,0,0,30,2,8,39241.2
3,1,1,0,1,20,1,10,50369.6
3,0,1,0,0,80,128,10,48730.8
3,1,1,0,0,20,16,10,48192.2
2,0,0,1,0,100,64,2,17791.6
4,1,0,0,0,100,128,10,111360.0
5,1,0,1,0,100,2,4,9113.6
3,1,0,0,0,40,2,0,13053.8
3,1,1,0,0,30,128,10,48699.6
1,0,1,0,1,100,16,0,17703.6
3,0,0,1,0,0,4,10,48436.4
2,1,0,0,0,50,64,10,101397.4
5,0,1,0,0,10,8,4,9175.6
3,0,1,0,1,40,2,8,39056.4
2,0,1,0,1,100,16,6,84081.2
5,1,1,1,0,10,16,8,121477.6
2,1,0,1,1,100,32,2,17675.0
5,1,0,1,0,70,8,10,299131.8
4,1,1,1,0,20,1024,10,415969.2
2,0,1,1,1,90,32,0,17633.8
3,1,0,0,0,90,4,10,46699.2
5,0,1,1,0,80,256,4,9135.8
