WindowSize,CompressionLevel,Performance
11,9,6.286
15,2,1.972
13,9,6.862
12,10,328.816
23,2,2.032
10,1,1.666
17,10,307.144
10,2,2.146
16,5,5.392
15,10,291.618
11,0,1.526
11,3,2.476
14,4,2.894
22,2,2.05
20,0,1.63
24,5,7.154
18,6,7.51
21,7,15.806
21,0,1.604
12,3,2.426
17,5,5.886
15,3,2.392
21,9,23.614
20,2,2.088
14,7,5.896
11,9,6.286
20,0,1.63
21,11,244.72
14,4,2.894
10,8,5.046
12,3,2.426
14,4,2.894
10,6,3.386
16,11,284.296
15,9,8.084
24,4,2.708
21,1,1.598
12,9,6.47
15,7,6.39
19,10,258.558
19,6,9.336
20,1,1.636
13,4,2.972
12,10,328.816
22,0,1.596
23,5,7.178
17,6,6.34
14,3,2.302
23,9,63.68
16,4,2.77
16,4,2.77
21,9,23.614
21,5,7.272
12,5,3.746
23,1,1.572
18,11,279.692
19,9,14.048
16,10,285.0
13,10,313.652
20,8,14.64
20,11,246.08
20,5,7.45
20,8,14.64
19,3,2.552
21,2,2.06
21,2,2.06
15,6,5.306
23,0,1.556
23,8,37.284
20,1,1.636
21,8,18.874
21,6,10.46
13,0,1.514
14,6,4.874
23,3,2.478
20,1,1.636
12,2,1.988
23,7,20.474
12,5,3.746
10,6,3.386
12,9,6.47
21,3,2.512
13,10,313.652
15,4,2.834
20,8,14.64
22,0,1.596
10,5,3.306
22,6,10.266
10,0,1.662
19,7,10.05
18,3,2.562
24,10,392.744
16,4,2.77
22,2,2.05
14,10,301.488
23,10,318.954
11,6,3.57
22,0,1.596
14,1,1.46
11,1,1.526
