new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,2,2,1,0,1,512,9,165.396
0,2,2,0,1,0,512,0,337.4748
1,2,1,1,1,1,4096,1,337.4748
0,0,1,0,1,0,2048,5,337.4748
0,2,2,2,1,0,1024,9,167.7094
1,1,2,1,0,0,4096,9,337.4748
1,1,1,1,1,1,4096,9,337.4748
0,0,2,2,1,0,1024,5,337.4748
0,0,1,0,0,0,512,1,337.4748
0,2,2,1,1,1,2048,0,337.4748
0,0,2,0,1,0,512,1,337.4748
0,1,2,2,1,0,1024,0,31.0888
1,2,1,2,1,0,512,9,337.4748
0,1,2,0,1,0,1024,5,337.4748
0,1,1,0,1,0,4096,5,337.4748
0,0,2,1,1,0,512,1,337.4748
1,1,1,0,1,0,2048,9,337.4748
1,0,1,0,0,0,2048,0,166.7744
1,0,2,0,0,0,4096,1,337.4748
1,0,2,1,0,1,4096,1,337.4748
0,2,1,1,0,1,4096,9,337.4748
1,0,2,2,0,0,1024,0,167.1676
1,0,1,2,1,0,1024,0,337.4748
0,1,2,0,1,1,4096,9,337.4748
0,1,1,2,1,0,1024,9,337.4748
0,0,1,0,0,1,4096,5,337.4748
1,1,2,0,0,1,4096,9,337.4748
0,2,1,1,1,1,2048,1,337.4748
0,2,2,0,0,0,4096,5,164.7146
0,0,2,1,0,1,1024,1,337.4748
0,2,2,0,0,0,4096,0,337.4748
1,2,1,2,1,0,4096,0,337.4748
1,2,2,1,1,0,1024,5,165.7048
1,0,1,1,1,0,4096,1,337.4748
0,2,1,2,0,1,4096,1,337.4748
0,0,2,2,1,1,1024,9,337.4748
1,1,1,0,0,0,512,5,337.4748
1,1,2,1,1,1,2048,5,337.4748
1,1,1,2,1,0,1024,0,337.4748
1,0,1,2,1,0,1024,1,337.4748
0,1,2,2,0,1,512,1,337.4748
1,1,2,0,1,1,1024,5,337.4748
1,1,1,0,0,0,2048,1,337.4748
1,2,2,2,0,0,4096,0,337.4748
0,1,1,2,1,0,512,1,337.4748
1,1,2,0,0,0,512,1,337.4748
0,1,2,1,1,0,1024,1,337.4748
0,2,1,0,0,1,2048,1,166.9488
1,2,2,2,1,1,512,5,163.3302
1,2,1,0,1,1,512,5,167.95
1,2,2,0,0,1,1024,5,164.6338
0,1,1,2,1,1,4096,5,337.4748
1,1,1,0,1,1,2048,1,337.4748
1,2,1,2,1,0,512,1,337.4748
1,1,1,1,1,0,2048,1,337.4748
1,0,1,1,1,1,4096,0,337.4748
0,2,1,2,0,1,4096,5,337.4748
0,0,1,1,0,1,2048,0,337.4748
0,0,1,0,0,1,2048,0,166.7918
0,2,1,2,0,0,1024,5,337.4748
1,0,2,2,0,0,1024,0,167.1676
1,2,1,0,0,1,4096,0,337.4748
1,0,2,2,0,1,1024,1,337.4748
1,2,2,0,1,1,2048,5,165.2798
1,1,1,1,1,0,4096,5,337.4748
0,0,1,1,1,1,2048,0,337.4748
0,2,2,1,0,0,512,5,163.7756
1,0,1,2,1,1,512,0,337.4748
0,1,1,1,1,1,1024,5,337.4748
0,2,1,1,0,1,2048,1,337.4748
0,2,2,2,1,1,2048,1,165.2686
0,1,1,1,1,0,1024,9,337.4748
1,1,1,0,1,1,2048,1,337.4748
0,0,2,2,1,1,2048,1,337.4748
0,1,2,2,1,1,512,5,337.4748
1,0,1,1,1,1,4096,9,337.4748
0,2,2,0,1,0,512,9,162.5204
0,2,2,2,0,0,1024,0,337.4748
1,1,2,2,1,1,512,1,337.4748
1,1,1,2,0,0,4096,5,337.4748
0,0,1,0,1,1,4096,1,337.4748
0,1,1,2,0,1,512,5,337.4748
1,2,1,2,0,1,1024,0,337.4748
1,0,2,0,1,1,512,5,337.4748
1,1,1,2,1,1,2048,9,337.4748
0,1,1,2,0,0,512,9,337.4748
1,0,1,1,1,1,1024,1,337.4748
1,0,2,0,0,0,512,0,164.1818
1,1,2,2,0,1,1024,5,337.4748
1,1,1,1,1,1,2048,1,337.4748
1,1,1,0,0,1,2048,9,337.4748
1,0,1,0,0,0,1024,9,337.4748
0,2,2,2,1,1,2048,5,165.6028
0,1,2,1,1,0,512,9,337.4748
1,1,1,2,0,0,2048,0,337.4748
1,2,2,0,1,0,2048,1,167.5732
1,2,2,2,1,0,2048,9,164.509
1,1,1,1,0,0,2048,0,337.4748
1,1,2,0,1,1,512,5,337.4748
0,1,1,1,1,1,4096,0,337.4748
