ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,72859.4
1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,60214.2
0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,88504.8
1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,58707.2
1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,75617.4
0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,72807.2
1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,83710.0
0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,62525.0
0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,92408.0
1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,69414.4
1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,76674.8
1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,96109.8
0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,89300.4
0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,79491.4
0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,93973.0
0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,76955.4
1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,65785.4
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,60872.6
0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,63284.8
1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,90702.8
0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,68410.6
0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,66746.8
0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,84509.4
1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,85635.4
0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,81165.4
0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,81519.0
1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,79965.2
1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,63641.6
1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,91603.8
0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,79752.0
