topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,1,2,1000000,10,0,1000,1000,512,100,5,0,2.000028501178567
4,10,2,10,10,1,1000,10,1024,10000,2,0,1.999878112574538
2,10,4,1000000,1,0,1000,10,1024,10000,2,0,2.0000032693256142
4,10,2,1000000,1,1,1,1000,1024,10000,2,0,0.0028428680121818906
2,10,4,1000000,10,0,1,10,512,100,5,0,2.000005107567526
2,1,2,1000000,1,1,1000,1000,512,100,2,29,2.0000000483038307
4,10,2,10,1,0,1000,1000,512,100,2,29,2.000024404218055
2,10,4,1000000,1,1,1,10,512,10000,2,29,1.9999953877552292
4,10,4,10,1,1,1,10,512,10000,2,0,2.000001034986138
4,1,4,10,10,0,1000,10,1024,100,2,0,0.4775591557863225
4,1,4,10,1,1,1,10,1024,10000,5,29,2.0000721039194205
4,10,2,1000000,1,0,1000,10,512,100,5,29,0.00029389595909303147
2,1,4,1000000,1,0,1000,1000,1024,10000,5,29,0.00012692508289428728
4,10,4,1000000,1,0,1000,10,1024,100,2,29,0.00697466497214762
2,1,4,1000000,1,1,1,1000,1024,100,2,0,1.9999846746442227
2,1,4,1000000,10,0,1000,1000,512,100,2,0,1.999988738785475
4,10,4,10,10,0,1,10,1024,100,5,0,0.0760019790875897
4,10,4,10,1,0,1,1000,1024,10000,2,0,0.014493047601433098
2,1,2,10,1,0,1000,1000,1024,100,2,0,2.000037288142849
2,10,4,1000000,1,0,1,1000,512,100,2,0,1.9999968380514208
4,1,2,1000000,1,0,1000,10,1024,100,5,29,1.999968064539792
4,10,4,10,1,1,1,1000,512,10000,5,29,0.014260632441208045
4,1,4,1000000,1,1,1000,10,512,10000,2,0,2.000032089621147
4,1,2,1000000,10,0,1000,1000,512,10000,5,29,1.999952342466149
2,10,4,1000000,1,1,1000,1000,512,10000,5,29,0.00013560481009635363
2,1,2,10,1,0,1000,1000,1024,100,5,29,1.9999900746641652
4,1,2,10,10,0,1000,1000,512,100,5,0,2.000029591964292
2,1,2,10,10,0,1,10,512,100,5,0,0.08593159226888714
4,1,4,10,10,1,1,1000,512,100,5,29,2.000057182303767
2,10,2,10,10,0,1,1000,1024,100,2,29,1.9999858359892972
2,1,2,10,10,0,1000,1000,512,10000,5,29,0.33044872139205334
4,10,2,1000000,1,0,1,1000,512,100,5,29,1.9998816779891342
4,10,2,1000000,1,1,1,1000,512,100,2,29,1.999995772750576
4,1,4,1000000,10,0,1,1000,512,10000,5,29,0.0013686606329284675
2,10,4,10,1,1,1,1000,1024,10000,5,0,0.015137252413270928
4,1,4,10,1,0,1000,1000,512,10000,2,0,0.7525823920851217
2,10,2,10,10,0,1,1000,512,100,5,0,2.0000330865209435
4,10,2,1000000,10,1,1000,10,512,100,5,29,2.000018391259039
2,1,4,1000000,1,1,1,1000,512,100,5,29,2.0000904707113123
4,10,4,10,10,0,1000,1000,512,100,2,0,2.000030236432725
4,1,4,10,10,0,1,1000,1024,100,2,29,1.9999457321226626
4,1,4,1000000,10,0,1000,1000,512,10000,2,29,2.0000552856360803
4,1,4,1000000,1,1,1000,1000,512,100,2,29,1.9999930342446968
4,10,2,10,10,1,1000,1000,1024,10000,2,29,0.5146852368195111
2,10,4,10,10,0,1,1000,1024,10000,2,29,0.14937306265985073
2,10,4,10,10,1,1000,10,512,100,5,0,0.3264155734044959
2,1,2,10,10,0,1000,1000,512,10000,2,29,0.7731411140725069
2,1,4,10,1,1,1000,1000,1024,10000,5,0,0.37118005043426106
4,10,2,1000000,1,0,1,1000,512,100,5,29,1.9999213990948561
4,1,4,1000000,10,0,1000,1000,512,100,2,29,2.000074263444603
2,10,4,1000000,10,1,1000,1000,1024,10000,5,0,1.9999449411429735
2,10,2,10,1,1,1,1000,1024,100,5,29,1.9999521522325494
2,10,4,10,10,0,1000,10,1024,100,2,0,0.7421714277371366
4,10,4,1000000,10,1,1,10,1024,100,5,0,1.999999514813731
2,1,4,10,1,1,1000,1000,1024,10000,2,0,0.9873667360821973
4,1,4,10,1,1,1,10,512,100,5,29,0.01453234076465503
2,1,4,1000000,10,0,1,1000,512,100,5,29,2.000098749415219
2,1,2,10,10,0,1000,1000,512,10000,2,0,0.42053539433940257
2,1,4,10,10,1,1,1000,512,10000,5,29,0.1383182218084784
4,1,4,10,10,1,1,10,512,100,2,0,0.14607105638497894
4,1,2,1000000,1,0,1,10,512,10000,5,29,2.0000478383477867
2,1,4,10,10,0,1000,10,1024,10000,2,29,2.000028480628182
4,1,2,10,1,1,1000,10,1024,100,2,0,0.48610784710597715
4,1,2,1000000,1,1,1,10,1024,100,2,0,0.003126977812929244
4,10,2,10,10,0,1000,10,1024,100,2,29,0.5196203279914132
4,10,4,1000000,10,1,1,10,1024,100,2,0,1.9999261342295156
4,10,4,10,10,0,1,10,512,100,5,29,0.07721629460705787
2,10,2,10,10,1,1000,1000,1024,10000,5,0,0.27349037689700445
2,1,4,10,1,1,1,1000,512,10000,2,0,0.014948031507711977
4,10,4,10,10,0,1000,1000,1024,100,5,29,2.000097120283176
4,10,2,1000000,10,1,1,1000,512,100,2,0,2.0000180832257457
2,1,2,1000000,1,1,1,10,512,100,2,0,0.001398724642153613
4,1,4,1000000,10,1,1,10,512,10000,2,29,2.000051413032501
2,1,4,1000000,10,0,1000,10,512,10000,5,29,1.9998955168538994
4,10,2,1000000,1,1,1,1000,512,100,5,29,2.000035632415941
4,1,4,10,10,1,1000,1000,1024,100,5,0,2.0000577457159103
4,10,4,10,1,0,1,1000,1024,10000,5,29,0.014451810391558172
2,1,4,1000000,1,1,1000,1000,1024,100,2,0,1.99993860585783
2,1,2,1000000,10,0,1,10,1024,100,5,29,1.9999733446565582
2,1,4,10,1,0,1000,10,512,100,5,0,0.3737242291472766
2,10,2,10,1,1,1,10,512,10000,5,0,1.9999603002181505
2,10,2,1000000,10,0,1000,1000,512,10000,5,29,1.9999716617034409
2,10,2,1000000,1,0,1,10,1024,10000,2,29,2.0000648099785283
2,1,2,10,1,0,1,1000,1024,100,5,0,1.9999269102488342
2,10,2,1000000,10,0,1,1000,512,100,2,29,1.9999882946958156
2,10,4,10,1,1,1000,10,512,10000,2,0,2.0000966736037022
4,10,2,1000000,1,0,1,1000,1024,100,2,0,2.0000116132232333
2,10,2,1000000,10,1,1000,10,1024,100,2,29,2.000002019694935
2,10,4,10,1,1,1000,10,512,100,5,29,0.3157246686863416
2,10,4,10,10,1,1000,1000,1024,100,5,29,1.999954162577832
4,10,4,1000000,10,1,1000,1000,512,10000,2,29,1.999980388474843
2,10,2,1000000,1,1,1000,1000,512,100,2,29,2.000008498718632
4,10,4,10,1,1,1,10,512,100,5,0,0.01444415218192014
2,1,4,1000000,10,0,1000,10,1024,100,5,0,2.0000705634937526
2,10,2,1000000,10,0,1000,1000,1024,10000,5,0,1.9999886587008087
