WindowSize,CompressionLevel,Performance
10,8,5.046
22,3,2.5
10,1,1.666
19,4,2.8
17,2,2.102
17,2,2.102
13,0,1.514
20,10,246.512
15,2,1.972
15,0,1.534
21,7,15.806
18,2,2.094
13,3,2.37
20,4,2.808
19,6,9.336
14,1,1.46
10,8,5.046
22,7,19.626
20,1,1.636
16,4,2.77
14,0,1.472
16,6,5.77
14,7,5.896
10,10,363.364
12,3,2.426
20,8,14.64
11,7,5.078
24,7,20.228
17,3,2.564
23,6,10.22
13,10,313.652
13,1,1.514
20,7,12.338
12,0,1.528
21,1,1.598
13,1,1.514
11,7,5.078
13,5,4.128
17,0,1.606
16,10,285.0
17,10,307.144
18,5,6.714
10,2,2.146
18,5,6.714
10,6,3.386
24,9,108.602
21,1,1.598
10,7,4.874
16,9,9.094
21,5,7.272
16,8,7.548
12,3,2.426
21,0,1.604
20,10,246.512
22,7,19.626
21,10,244.734
20,2,2.088
18,3,2.562
20,10,246.512
20,7,12.338
22,2,2.05
22,9,34.292
16,11,284.296
17,2,2.102
11,5,3.49
24,4,2.708
20,8,14.64
10,6,3.386
16,11,284.296
14,9,7.404
24,3,2.478
12,2,1.988
11,5,3.49
24,9,108.602
18,8,9.684
23,7,20.474
18,8,9.684
20,1,1.636
18,1,1.63
10,8,5.046
18,7,8.628
23,8,37.284
21,3,2.512
15,0,1.534
12,11,328.552
16,6,5.77
12,11,328.552
20,11,246.08
13,10,313.652
10,10,363.364
13,0,1.514
10,3,2.616
14,5,4.678
19,6,9.336
22,4,2.748
22,4,2.748
10,0,1.662
10,9,6.246
17,7,7.636
22,1,1.586
