ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,89448.6
1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,84822.2
0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,69629.0
0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,83088.2
0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,79566.2
1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,86905.0
1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,86226.2
0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,85682.6
0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,77995.4
1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,92169.0
0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,60122.4
0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,69704.4
0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,88731.8
0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,73038.0
1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,89065.4
0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,79022.8
0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,87972.0
0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,83573.4
0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,93207.8
0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,84185.6
0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,72818.8
1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,74957.0
1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,70757.4
0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,72561.2
0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,62848.0
0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,68358.8
1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,90252.8
0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,80481.2
1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,87384.6
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,77109.0
0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,64424.2
1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,73138.4
1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,71037.4
0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,89159.4
0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,87837.2
0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,92868.8
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,80271.6
0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,92295.0
0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,87871.8
1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,88259.2
1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,84764.6
1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,68648.6
1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,68997.2
0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,79729.4
0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,96354.6
1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,84011.4
1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,78498.8
1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,63330.0
1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,76031.8
0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,69240.8
0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,98062.0
0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,90539.8
0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,87891.2
1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,84288.6
1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,64975.6
1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,66669.0
0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,74610.8
0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,83717.4
1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,79991.4
1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,82684.0
0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,93035.4
0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,73562.2
0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,75947.6
0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,71696.4
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,77851.6
0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,88757.0
1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,89441.2
1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,76508.6
1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,86567.0
1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,76497.2
0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,76375.6
1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,71257.0
1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,58220.8
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,71315.8
0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,72317.0
1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,73339.4
1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,88938.6
0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,74329.8
1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,77829.4
0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,85213.6
1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,78639.8
1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,85402.8
1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,66034.0
0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,70832.0
0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,75700.6
1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,62139.2
0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,83644.4
1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,78132.8
1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,85526.4
1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,87103.4
0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,60134.2
1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,86319.0
1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,92300.8
0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,79143.2
0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,69823.2
0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,84022.0
0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,87833.0
1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,76339.4
0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,66206.4
1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,85359.8
