fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,0,1,0,1,64,32,4096,47106.39994626778
1,1,1,1,0,256,2,4096,127337.59991559807
0,0,0,0,1,128,32,256,46034.99997301627
1,0,0,0,0,64,8,256,134959.40003064333
1,0,0,0,1,64,2,1024,132218.00009724128
1,0,1,1,1,128,8,4096,136724.39997175336
0,1,0,1,1,64,8,256,46752.40001430344
0,1,0,1,1,64,2,1024,46520.5999908233
0,1,1,0,0,64,8,1024,46317.79997414118
1,1,1,1,1,128,8,4096,130405.6000172139
0,1,1,0,0,128,2,4096,46235.799990301566
1,0,1,0,0,64,32,256,137126.99997255387
0,0,0,1,1,128,32,256,46408.20003105663
1,0,1,1,0,256,32,1024,143943.20001562466
1,0,0,1,1,128,8,1024,135632.6000898599
0,0,0,1,1,128,2,1024,46407.79994037206
1,1,1,1,1,64,2,256,128684.59995025508
1,0,1,1,0,64,2,4096,140311.8000201574
0,1,1,1,1,128,8,4096,46800.799966390965
0,1,1,0,1,64,8,1024,46293.59998704767
0,1,1,0,0,256,8,256,46092.000079938436
0,0,0,0,0,64,2,1024,47570.99999982823
0,0,1,1,0,128,32,256,46471.00002413866
1,0,0,1,0,128,2,1024,131781.200056066
1,0,1,0,1,64,32,1024,138701.40006110363
0,1,0,1,1,128,2,1024,46445.39994535845
1,0,0,0,1,128,8,256,133596.5999627822
1,0,1,0,1,128,32,1024,140847.20001453036
1,1,1,1,1,256,32,1024,130422.99997821642
1,0,1,0,1,128,2,256,136870.79999431566
0,0,1,1,0,256,32,1024,47774.000020869076
0,1,0,1,1,64,2,256,46400.60002694933
1,0,1,1,0,256,8,256,139655.800069836
1,1,0,0,0,128,32,256,131583.00015196225
1,0,1,0,0,256,2,4096,134997.40008191613
0,0,1,0,0,128,2,4096,46307.200055746245
1,0,0,0,1,64,32,256,134278.20000997302
0,1,1,0,0,256,32,256,46640.599917823674
0,1,0,0,1,256,8,256,46191.99990512171
0,1,0,0,0,64,32,4096,46336.20011627353
1,0,0,1,0,256,8,4096,131930.79999425416
0,0,1,1,0,128,8,4096,46503.19999581139
0,1,0,1,1,128,32,256,46423.199983602186
0,0,0,0,1,64,32,4096,46073.60001568079
1,1,0,1,1,256,32,256,132261.19995967372
0,1,1,0,1,128,8,256,46212.39999784121
0,1,0,1,1,128,2,4096,46322.40003953424
0,0,0,1,0,64,32,1024,46257.99998972804
1,1,0,1,1,128,32,4096,131405.0001098917
1,0,0,0,0,256,32,4096,134589.5999690449
0,0,1,1,0,256,8,256,46479.799959329066
1,1,0,0,1,256,32,256,134256.7999977623
1,0,0,0,0,64,2,4096,132541.99996021998
0,0,1,1,1,128,2,1024,46692.60004338715
1,1,0,0,0,256,32,256,130682.80008770716
0,0,0,0,0,64,32,4096,46314.40001001121
1,0,0,1,1,256,32,256,135542.5999594254
1,1,0,1,1,128,32,256,130087.39992383146
0,0,0,1,0,128,8,4096,46352.20005101819
1,1,1,1,1,256,8,1024,131012.40010274167
1,0,0,1,0,64,8,1024,131169.00002505057
0,1,0,1,0,128,32,1024,47239.799989112944
1,1,1,1,0,256,8,256,124653.8000067518
0,0,1,1,1,256,2,1024,47568.600055197
1,0,0,0,1,256,8,256,136333.8000629126
1,1,1,1,1,256,8,1024,131012.40015543916
1,0,0,0,1,128,32,1024,132768.20007574497
1,0,1,0,1,64,8,256,138369.40009907747
0,1,1,0,0,128,8,1024,46539.19996934247
1,0,0,1,1,128,2,256,131667.79984486138
1,1,1,0,0,256,2,256,129738.1999699301
1,1,0,1,0,64,8,256,133943.00007755216
0,0,1,1,1,128,2,4096,46785.799941852245
0,1,0,1,1,256,2,256,46319.00003858016
0,1,0,1,1,64,2,4096,46521.20005006965
0,1,1,0,0,128,8,1024,46539.19994094967
0,0,1,1,0,128,8,4096,46503.200008636515
1,0,1,0,1,256,32,4096,138982.6000290685
0,0,1,1,0,64,32,4096,46913.99996605576
1,0,1,1,0,128,2,1024,140842.0000382189
1,1,0,0,1,128,8,4096,133286.0000066044
1,0,1,1,1,128,32,1024,142199.60005476105
1,0,1,1,1,256,32,256,137724.1999826492
1,1,1,0,0,64,32,256,136657.39994052483
0,1,0,1,0,128,32,4096,46190.00007786112
0,0,0,0,0,256,2,1024,46194.599991227595
1,1,0,0,0,64,8,1024,134852.20000960224
1,0,1,1,1,128,8,256,136436.00003091028
0,1,1,0,1,64,8,1024,46293.60001286091
0,1,0,0,1,128,2,256,47040.19996594981
0,0,0,1,1,128,32,1024,46258.399945303136
0,1,0,0,0,128,32,4096,46197.799993574736
0,1,0,1,0,64,32,4096,46403.999943364346
1,0,1,1,1,256,2,256,136546.20002065145
1,1,1,1,0,128,2,4096,127278.20007032326
0,0,0,0,1,256,2,4096,47094.79997773268
0,1,1,1,0,128,2,1024,46400.20010740143
1,1,0,0,1,64,32,256,132894.7998893056
0,0,1,1,1,128,2,1024,46692.59998873938
0,1,1,1,0,256,8,1024,46824.799993768334
