new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
3,0,0,1,1,100,1024,0,12138.6
2,1,0,1,0,70,2,6,107355.6
5,1,0,0,1,30,2048,10,299417.2
1,1,0,1,0,100,2048,4,11739.8
4,0,0,1,0,80,128,8,125406.2
2,1,1,1,1,70,1,10,125452.6
2,1,1,0,1,30,8,4,9187.8
4,0,0,0,0,20,128,10,124083.0
1,1,1,0,1,40,512,4,11910.6
1,0,0,0,1,70,16,4,11943.6
1,0,0,1,1,30,512,2,17775.0
3,0,1,0,1,70,4096,0,12172.0
3,1,0,1,1,60,256,4,12016.0
5,1,1,0,1,80,2048,6,47772.8
5,1,1,0,1,70,128,0,9147.8
1,1,0,1,0,80,4,8,114280.2
4,0,1,0,0,70,32,6,19707.0
5,1,0,0,0,30,1,4,9146.8
4,0,1,0,0,90,16,6,20428.4
5,0,0,0,1,100,16,8,121856.0
3,0,0,1,0,40,4096,4,12032.4
5,1,0,1,1,70,512,10,300214.6
4,1,1,1,0,10,16,6,48468.4
1,1,0,0,0,40,128,6,89616.2
4,1,0,0,0,10,1,4,20264.0
1,1,1,1,1,20,2,8,117990.6
4,1,0,0,0,90,512,0,8932.0
2,0,1,0,0,60,1024,6,88683.8
4,1,0,1,1,30,2048,6,49302.0
5,1,1,0,1,80,128,0,9145.0
1,0,1,1,1,40,1,6,116274.6
2,0,0,0,1,40,1,10,83297.0
5,1,0,1,0,0,8,0,9235.6
4,1,0,0,0,90,128,4,12824.8
1,1,0,1,0,10,1,2,17720.2
2,0,1,0,1,60,8,4,9122.0
2,1,0,1,1,70,2,8,117290.8
2,0,1,1,1,100,4,4,12461.6
3,0,0,0,0,70,8,4,12459.0
4,1,0,1,0,30,32,8,124516.2
3,1,0,0,1,20,256,4,12160.4
2,0,1,1,0,20,1024,4,12072.2
3,0,0,0,0,100,512,4,12175.4
5,1,0,1,1,100,64,10,298726.2
1,0,1,0,1,80,1024,6,89812.8
4,0,1,1,1,50,2,6,48827.6
2,0,1,1,1,80,8,2,17634.0
1,1,1,1,1,10,4,0,17692.6
5,1,0,0,1,20,512,10,300502.6
3,0,1,1,1,10,2,10,49010.6
5,0,1,0,0,100,64,0,9160.2
5,1,1,1,0,20,4,8,121104.6
1,1,1,1,0,80,16,6,94210.4
1,0,0,1,0,0,4096,4,18445.0
2,1,0,0,0,20,128,8,101191.8
3,0,1,1,0,100,4,10,46621.4
5,1,1,1,1,20,64,4,9258.8
4,0,1,0,1,90,2,0,9508.2
4,1,0,1,1,90,64,0,35856.2
1,0,0,1,0,90,4,6,103050.8
5,1,1,1,0,20,64,0,9192.8
2,1,0,0,1,90,2,0,7450.4
2,1,1,0,0,20,2,6,73570.8
3,1,0,0,0,0,4,8,44314.2
2,1,1,1,1,80,128,4,11905.6
2,0,1,0,1,60,256,2,4719.6
2,1,1,1,1,90,2,8,117610.6
1,0,1,0,0,100,2,8,79937.6
3,1,1,1,0,40,32,0,12136.4
1,0,1,0,1,80,4,0,17662.0
1,1,0,0,0,100,512,6,89366.2
1,0,1,0,0,100,16,6,84308.4
4,0,1,0,1,90,8,2,9113.4
5,1,1,1,0,10,8,8,121055.4
4,0,1,1,0,30,32,6,49278.4
2,0,1,0,1,30,4096,4,4558.4
5,0,0,1,0,100,256,10,301884.6
1,1,0,0,1,90,4096,2,17791.0
4,1,1,1,1,60,512,10,415705.4
1,1,0,0,0,90,1,4,15231.2
3,0,1,1,1,40,16,8,37732.6
5,0,0,1,0,50,16,2,9118.2
3,1,0,1,1,70,512,0,12270.8
3,0,0,0,0,80,1,6,18158.4
1,1,1,0,1,80,2,8,80136.0
3,0,1,0,1,90,2,10,48844.2
2,0,0,1,1,70,128,6,91089.0
4,0,1,0,1,40,1,6,34948.2
3,0,0,0,0,100,16,2,12257.0
2,0,0,0,0,60,512,10,101565.8
4,1,0,0,0,60,16,4,13204.6
3,1,1,1,0,20,64,0,12151.6
1,0,1,0,0,60,128,2,17726.0
2,0,0,1,0,100,16,4,12035.4
3,0,1,1,0,50,16,6,11231.6
2,0,0,1,0,90,4,10,113905.4
5,0,0,0,0,50,128,6,47557.6
2,1,0,0,1,70,4096,2,4782.0
2,0,1,0,0,70,256,6,85021.8
5,0,0,1,0,60,512,8,122004.6
